date,VIVO,OPPO,3,6,7,Downloads
2020/1/1,225382,932215,1350351,13764674,113164,16385786
2020/1/2,88042,754033,1054167,3138764,112795,5147801
2020/1/3,307445,434971,900901,2500781,113684,4257782
2020/1/4,139890,643464,745023,2232562,84236,3845175
2020/1/5,183350,783722,1243683,13200267,107230,15518252
2020/1/6,520542,592622,890943,3235884,109796,5349787
2020/1/7,336091,442923,772950,2318902,77684,3948550
2020/1/8,60914,522285,562702,11742813,110236,12998950
2020/1/9,82275,10261953,694141,12026049,109891,23174309
2020/1/10,450585,14633606,1605945,23936597,108532,40735265
2020/1/11,858920,5808171,1603947,28375210,106583,36752831
2020/1/12,846501,1991492,2252779,113785556,108843,118985171
2020/1/13,731900,1478764,1737150,4516304,108740,8572858
2020/1/14,648865,1099455,1180872,15641928,108190,18679310
2020/1/15,46604,1228283,1173198,7388968,98520,9935573
2020/1/16,61570,956557,996844,6235410,109763,8360144
2020/1/17,823433,2293592,1025113,7847229,113017,12102384
2020/1/18,838789,14133877,1660180,32331436,108029,49072311
2020/1/19,837367,0,2129917,13998332,110062,17075678
2020/1/20,821570,18176382,1386723,27993019,110201,48487895
2020/1/21,20553,1721792,1484075,108057500,108365,111392285
2020/1/22,11021,1364066,1705194,6401019,108455,9589755
2020/1/23,22525,1317359,1894257,5565762,107250,8907153
2020/1/24,70612,1457258,1936680,6431595,93053,9989198
2020/1/25,358451,1536283,2489031,6916562,90572,11390899
2020/1/26,1106762,1356420,1506253,5234985,84047,9288467
2020/1/27,988163,1207590,1875487,6014232,106975,10192447
2020/1/28,871222,1064399,2330489,35547793,97459,39911362
2020/1/29,813962,995515,1966457,16151105,124015,20051054
2020/1/30,769696,941697,2238596,14971819,106792,19028600
2020/1/31,738827,905555,1746651,4338071,131461,7860565
2020/2/1,713469,873136,2052743,5205070,123810,8968228
2020/2/2,699829,552824,1700910,4090800,107040,7151403
2020/2/3,681369,1025506,1678583,4124080,108373,7617911
2020/2/4,674898,775946,1966070,4904224,113260,8434398
2020/2/5,656403,756655,1548252,24001724,112252,27075286
2020/2/6,649662,747928,1104097,3509070,110057,6120814
2020/2/7,643645,753084,1128601,3167098,110009,5802437
2020/2/8,644789,500341,1327781,3771700,92104,6336715
2020/2/9,682821,1091818,1229132,4003628,106870,7114269
2020/2/10,645221,818364,1403802,3826682,106737,6800806
2020/2/11,9308,818181,582562,2370535,76790,3857376
2020/2/12,659510,820845,669033,3073826,110162,5333376
2020/2/13,649504,806313,661023,2999791,112566,5229197
2020/2/14,642179,488713,879186,2896711,112796,5019585
2020/2/15,8439,1177952,830453,2670972,108286,4796102
2020/2/16,666007,814485,883204,3562391,108787,6034874
2020/2/17,637437,791648,723471,3028851,101332,5282739
2020/2/18,631545,787612,862237,3089745,107445,5478584
2020/2/19,7811,2668795,700606,4219810,80095,7677117
2020/2/20,640606,21486400,813174,26690282,107991,49738453
2020/2/21,635938,9877118,2182391,124986242,107203,137788892
2020/2/22,41100,1934548,2363440,12269617,108968,16717673
2020/2/23,13670,1615416,2288674,7856588,108173,11882521
2020/2/24,674591,1243998,1813912,7961579,106804,11800884
2020/2/25,5328,1148435,1525901,5209164,108696,7997524
2020/2/26,3158,1133455,1478553,4681738,109883,7406787
2020/2/27,674475,946540,1413013,4829520,110001,7973549
2020/2/28,670563,597372,1452830,4388258,109950,7218973
2020/2/29,687810,1590414,1629488,5058710,109856,9076278
2020/3/1,14704,596351,2271185,104799426,110529,107792195
2020/3/2,699466,1562816,1275354,5015577,109553,8662766
2020/3/3,670593,1038502,915235,3988669,109468,6722467
2020/3/4,672856,1021358,0,2973757,109899,4777870
2020/3/5,664554,837674,286377,3009131,109523,4907259
2020/3/6,664747,536953,2641354,5027903,107287,8978244
2020/3/7,26945,1468915,758453,3091886,79029,5425228
2020/3/8,11556,1012727,1045887,2886136,62316,5018622
2020/3/9,695526,995360,1031318,4637820,93273,7453297
2020/3/10,672000,962999,880916,3269118,107326,5892359
2020/3/11,668062,897527,751111,12265713,108506,14690919
2020/3/12,669129,1018905,844076,3581987,108787,6222884
2020/3/13,665810,946366,953789,3620290,108730,6294985
2020/3/14,689147,954455,1000563,3702435,75546,6422146
2020/3/15,705787,963250,1073964,3457614,98190,6298805
2020/3/16,685489,8968027,1262357,12255201,106888,23277962
2020/3/17,658615,18266408,1791919,25752703,108164,46577809
2020/3/18,655956,6999790,1559559,119779089,100329,129094723
2020/3/19,643975,2085029,1445881,10504685,108196,14787766
2020/3/20,637935,1462811,1254986,6406506,92683,9854921
2020/3/21,658918,1573010,1032512,4936402,93837,8294679
2020/3/22,688071,1293461,1226670,5800392,109034,9117628
2020/3/23,665725,903356,880239,4185441,108675,6743436
2020/3/24,631627,1143995,756208,4145562,98092,6775484
2020/3/25,635098,1118793,783771,3489224,107448,6134334
2020/3/26,636563,1094189,746063,4337792,107107,6921714
2020/3/27,628883,1068026,730925,3741241,99662,6268737
2020/3/28,650761,1084035,721696,3315927,108677,5881096
2020/3/29,0,1096633,971611,3362184,108555,5538983
2020/3/30,0,1040261,679556,3354606,108277,5182700
2020/3/31,620100,9760797,727590,12385115,108409,23602011
2020/4/1,2730797,11820498,392833,26714304,98116,41756548
2020/4/2,1170055,3798741,303300,105988289,107285,111367670
2020/4/3,706755,1376527,219353,3617896,108146,6028677
2020/4/4,748082,1373794,197766,2989086,96504,5405232
2020/4/5,686523,1256080,232941,3219059,92721,5487324
2020/4/6,768698,1158240,233102,2885331,107188,5152559
2020/4/7,630957,659117,180753,2025175,72946,3568948
2020/4/8,584699,885984,156192,2100413,97823,3825111
2020/4/9,569908,865607,150091,2034272,109490,3729368
2020/4/10,0,480321,146407,1053166,110130,1790024
2020/4/11,0,2869017,148193,3468025,108479,6593714
2020/4/12,0,1005138,166846,1643532,90118,2905634
2020/4/13,0,31302,147132,612891,107530,898855
2020/4/14,2959175,1664481,129698,5179359,107019,10039732
2020/4/15,531495,780442,113634,1823232,102733,3351536
2020/4/16,525873,770974,77823,1594087,86453,3055210
2020/4/17,532099,8893479,244832,10215695,44687,19930792
2020/4/18,595140,16970564,1020134,20371587,50510,39007935
2020/4/19,684193,6669214,1191557,15887864,42924,24475752
2020/4/20,625894,1905807,1061287,6540296,50336,10183620
2020/4/21,512252,992016,931950,4165561,89444,6691223
2020/4/22,495721,756862,786032,3281905,82764,5403284
2020/4/23,478049,1258476,627165,3414151,108850,5886691
2020/4/24,476354,975682,621401,2989295,108046,5170778
2020/4/25,570398,543464,698455,2736460,107373,4656150
2020/4/26,617309,996750,785171,3359206,109020,5867456
2020/4/27,481475,1220477,552269,3030078,108525,5392824
2020/4/28,446495,1044626,443019,2646879,91050,4672069
2020/4/29,442992,1012708,420785,2561741,110284,4548510
2020/4/30,489849,1041346,397199,2608482,97560,4634436
2020/5/1,834046,1310964,323759,3432922,107469,6009160
2020/5/2,1057030,1504908,397433,3442193,109748,6511312
2020/5/3,816216,1489065,349295,3006341,112758,5773675
2020/5/4,712860,1152755,277154,13141827,109332,15393928
2020/5/5,628523,1017424,263701,2638442,107119,4655209
2020/5/6,582246,930590,210220,1972174,107271,3802501
2020/5/7,450648,806581,141999,1971739,108924,3479891
2020/5/8,434883,702238,165167,11660490,51400,13014178
2020/5/9,466276,730496,168416,1749942,76154,3191284
2020/5/10,606583,856714,218549,2120025,90820,3892691
2020/5/11,639015,930644,136297,12137211,56822,13899989
2020/5/12,393864,782541,146787,1627506,107093,3057791
2020/5/13,382153,608227,124160,1404230,85899,2604669
2020/5/14,385358,596947,134614,1405279,75039,2597237
2020/5/15,399922,1118615,151825,1841349,62151,3573862
2020/5/16,585036,219257,172596,11469133,61070,12507092
2020/5/17,799969,1014873,161350,2447073,57679,4480944
2020/5/18,655938,1091419,125179,2267139,58690,4198365
2020/5/19,384279,807437,106715,1559644,48409,2906484
2020/5/20,374579,628986,97362,11362473,84040,12547440
2020/5/21,391393,626659,69411,1363749,90927,2542139
2020/5/22,399042,626954,130728,1433395,91176,2681295
2020/5/23,576891,754150,172529,1715783,78713,3298066
2020/5/24,808488,1041268,161965,2427233,78978,4517932
2020/5/25,664285,1022851,102943,12377581,74852,14242512
2020/5/26,367508,726835,76714,1420009,89440,2680506
2020/5/27,348052,533270,78466,101197578,78668,102236034
2020/5/28,341870,538861,80981,1200259,90647,2252618
2020/5/29,352318,543533,71570,1210515,76403,2254339
2020/5/30,571925,692047,153375,1762068,75724,3255139
2020/5/31,853062,974115,121743,2426525,63665,4439110
2020/6/1,688941,993439,73070,2137240,45602,3938292
2020/6/2,388258,1078017,66393,11786428,95447,13414543
2020/6/3,340945,177240,57162,719426,108869,1403642
2020/6/4,332505,473084,70009,1109379,108648,2093625
2020/6/5,334438,473002,66687,1105695,108981,2088803
2020/6/6,537768,627219,144579,1630905,109043,3049514
2020/6/7,827468,944935,121897,12342333,108517,14345150
2020/6/8,673803,991888,73414,2108897,108040,3956042
2020/6/9,316607,654305,60450,1253350,95312,2380024
2020/6/10,311267,444083,51900,1027431,107089,1941770
2020/6/11,318456,446355,60998,1048581,108103,1982493
2020/6/12,329337,756982,70257,9320774,108483,10585833
2020/6/13,551973,579890,121656,1572270,108227,2934016
2020/6/14,864081,1064368,93007,2471824,90803,4584083
2020/6/15,703775,1066343,39961,2182290,78301,4070670
2020/6/16,322169,601932,29840,11164918,74881,12193740
2020/6/17,314752,1021244,71125,1621354,110082,3138557
2020/6/18,361420,8642263,730794,11337721,109831,21182029
2020/6/19,374218,624272,692792,7159416,109560,8960258
2020/6/20,572877,1699194,565428,115968478,100170,118906147
2020/6/21,875122,1896944,669592,5927151,109338,9478147
2020/6/22,730577,895620,616886,4541034,109558,6893675
2020/6/23,391025,598828,332182,2343001,110303,3775339
2020/6/24,385991,830542,358694,2139156,110437,3824820
2020/6/25,765536,1440283,385848,3494817,109777,6196261
2020/6/26,1259685,1839450,576127,4834117,109629,8619008
2020/6/27,929285,1260676,574996,3599550,110205,6474712
2020/6/28,706902,940885,429348,12710000,110575,14897710
2020/6/29,419713,442824,190221,4789464,109739,5951961
2020/6/30,406132,669014,247056,3410562,109699,4842463
2020/7/1,433279,18049471,221094,19609525,113153,38426522
2020/7/2,465769,809715,224107,1772182,112997,3384770
2020/7/3,496977,1846924,262034,7987332,112530,10705797
2020/7/4,679678,2189744,383158,3555646,109811,6918037
2020/7/5,908370,1808102,471064,3554118,107429,6849083
2020/7/6,849591,1684986,345238,3226260,106810,6212885
2020/7/7,594764,1388032,324181,2571529,113776,4992282
2020/7/8,575695,920558,300582,2037132,110214,3944181
2020/7/9,643997,1593570,465977,5221888,110101,8035533
2020/7/10,1147064,3079599,499813,6634698,95701,11456875
2020/7/11,884504,13668893,404791,17584525,106594,32649307
2020/7/12,985950,0,345473,102484868,93112,103909403
2020/7/13,869359,6080014,266860,7780260,94122,15090615
2020/7/14,665575,2510738,184253,15762159,106802,19229527
2020/7/15,852636,9410904,298377,10879528,110196,21551641
2020/7/16,742637,6616161,378378,9503907,108733,17349816
2020/7/17,749987,1804123,286382,2856214,106801,5803507
2020/7/18,801404,1582500,274358,5418129,106626,8183017
2020/7/19,880076,1634215,266858,3340980,90703,6212832
2020/7/20,852558,1410042,196689,112892086,92299,115443674
2020/7/21,724578,834439,180684,2050962,106768,3897431
2020/7/22,709403,837157,154960,5460922,110042,7272484
2020/7/23,724399,1209637,128046,4783585,108601,6954268
2020/7/24,698457,1063410,106766,3761006,62052,5691691
2020/7/25,713659,1041737,97768,3711283,60669,5625116
2020/7/26,803032,1152333,118682,3903492,78761,6056300
2020/7/27,785712,1064240,104620,3758836,76379,5789787
2020/7/28,691882,844662,83285,3362591,108212,5090632
2020/7/29,685332,503887,94441,3021903,108495,4414058
2020/7/30,678231,1455259,92564,3924369,108783,6259206
2020/7/31,682733,927479,108031,3438390,108102,5264735
2020/8/1,723706,976292,124806,3468684,102175,5395663
2020/8/2,781566,1081926,127043,3653308,106704,5750547
2020/8/3,769119,994305,101670,3513358,109556,5488008
2020/8/4,691632,906707,124362,3325970,108917,5157588
2020/8/5,717217,793153,156286,1886641,108381,3661678
2020/8/6,707841,1555644,133752,5435829,98700,7931766
2020/8/7,693684,920552,138582,1967373,106848,3827039
2020/8/8,705490,1188207,140384,3662304,107506,5803891
2020/8/9,747056,1245223,134631,5225990,107165,7460065
2020/8/10,747612,1221765,123473,2315210,107542,4515602
2020/8/11,690405,1117165,108498,4641759,102691,6660518
2020/8/12,693868,1211018,118821,2230576,84031,4338314
2020/8/13,697465,1084166,100898,2091027,106630,4080186
2020/8/14,695493,1085000,116963,5751536,91891,7740883
2020/8/15,697193,1328500,104155,2338832,90724,4559404
2020/8/16,731208,1287775,114683,2359255,54090,4547011
2020/8/17,746295,1402785,100652,5651470,45300,7946502
2020/8/18,718582,1312169,140529,2396862,38137,4606279
2020/8/19,730228,1398192,105379,2458420,110110,4802329
2020/8/20,710167,2302851,223029,11764909,108667,15109623
2020/8/21,727488,8604068,593786,12019290,88387,22033019
2020/8/22,719703,14770236,585694,120799476,108558,136983667
2020/8/23,730566,10611149,613799,14174306,110540,26240360
2020/8/24,723563,8329735,634019,11237981,109856,21035154
2020/8/25,696657,7344007,478645,10288427,109854,18917590
2020/8/26,722009,6781487,515646,9755839,109779,17884760
2020/8/27,700707,6373149,576757,9379986,110043,17140642
2020/8/28,716937,5083268,513638,8856000,109387,15279230
2020/8/29,738120,5816310,571600,7595733,109705,14831468
2020/8/30,757707,5616091,541131,8949193,110104,15974226
2020/8/31,711773,5306281,518688,8203059,108131,14847932
2020/9/1,556164,4524695,257952,6615802,108919,12063532
2020/9/2,678840,3872484,462276,8074441,108258,13196299
2020/9/3,0,3483179,79402,10877726,108907,14549214
2020/9/4,301921,3582519,264284,5587404,108861,9844989
2020/9/5,509235,4080051,240797,6336928,106722,11273733
2020/9/6,810089,4311299,293650,6845927,86698,12347663
2020/9/7,632103,3929666,197026,6695141,108055,11561991
2020/9/8,270437,3058778,185280,4817939,109822,8442256
2020/9/9,269782,2930844,161045,4932374,110160,8404205
2020/9/10,269089,3032059,159257,5124404,106625,8691434
2020/9/11,308023,3288643,149878,5094770,107464,8948778
2020/9/12,568651,3721233,211324,5802542,83887,10387637
2020/9/13,902316,3910389,223175,6817275,106894,11960049
2020/9/14,662654,3498294,145786,5293223,106852,9706809
2020/9/15,261070,2941992,140420,4986114,106958,8436554
2020/9/16,256035,2832186,139661,4434061,108822,7770765
2020/9/17,272895,2887900,119028,4273392,91045,7644260
2020/9/18,277744,3109326,151321,4541268,107125,8186784
2020/9/19,545320,3447188,153828,5158363,83735,9388434
2020/9/20,903131,3150414,169575,5286665,106909,9616694
2020/9/21,669897,2581089,204499,4515241,107073,8077799
2020/9/22,263352,2193178,40422,4941475,108868,7547295
2020/9/23,248494,2094253,25411,3489919,113065,5971142
2020/9/24,248366,2385617,233353,4020719,112682,7000737
2020/9/25,604494,5107194,262292,109919844,113112,116006936
2020/9/26,733864,14896825,157274,19162282,112954,35063199
2020/9/27,831411,3268567,101261,5980503,112647,10294389
2020/9/28,307193,1992803,87859,4358816,109982,6856653
2020/9/29,279391,1732527,90544,2499041,108640,4710143
2020/9/30,55021,2274907,153434,2858841,109812,5452015
2020/10/1,971311,3654845,170114,7883612,113319,12793201
2020/10/2,1534768,2827699,144418,6514345,113526,11134756
2020/10/3,1134617,1987771,146123,4446533,108256,7823300
2020/10/4,945481,1733667,119707,3295815,108622,6203292
2020/10/5,839516,1441551,55642,4775660,108278,7220647
2020/10/6,751156,1300611,183508,3771788,108998,6116061
2020/10/7,688876,1247339,104372,3741931,110492,5893010
2020/10/8,632874,1043188,108192,1989819,110003,3884076
2020/10/9,512083,728154,70788,4710270,108406,6129701
2020/10/10,254662,836171,73714,2491018,109003,3764568
2020/10/11,385167,966352,92605,2362836,109085,3916045
2020/10/12,537871,668757,60213,2330631,108914,3706386
2020/10/13,220203,630858,56340,1911286,109934,2928621
2020/10/14,223499,595009,65770,1838229,113587,2836094
2020/10/15,229867,605387,55415,1669555,112480,2672704
2020/10/16,268535,864168,69358,1393958,113666,2709685
2020/10/17,554253,1193580,94063,2031495,113686,3987077
2020/10/18,854408,1043573,84410,2331422,112968,4426781
2020/10/19,616988,645436,49323,1507297,113001,2932045
2020/10/20,238747,515131,43166,964586,112032,1873662
2020/10/21,229352,504171,36134,930308,112671,1812636
2020/10/22,232959,553331,35113,982610,112934,1916947
2020/10/23,474280,753902,46327,1440242,113241,2827992
2020/10/24,512891,1054810,91225,8212287,112846,9984059
2020/10/25,804483,954612,82665,2069853,112450,4024063
2020/10/26,613424,591276,50802,1686333,112735,3054570
2020/10/27,251943,479152,31907,927314,113346,1803662
2020/10/28,255429,557909,46317,10072242,113083,11044980
2020/10/29,292982,522668,40594,928098,109996,1894338
2020/10/30,291831,870914,58510,1412326,112703,2746284
2020/10/31,599638,1123309,85474,1926841,112654,3847916
2020/11/1,904743,1090839,95926,12098071,110650,14300229
2020/11/2,738307,624548,44827,4531716,110210,6049608
2020/11/3,274003,454209,41098,1615070,112664,2497044
2020/11/4,256348,550544,31588,5553715,108308,6500503
2020/11/5,249214,480411,29756,932144,108303,1799828
2020/11/6,263711,786135,38160,1264682,109999,2462687
2020/11/7,519354,1049068,67929,1731851,108437,3476639
2020/11/8,824262,983924,62975,2109442,110452,4091055
2020/11/9,601931,511567,32056,1737730,109736,2993020
2020/11/10,232288,411135,40167,841580,109608,1634778
2020/11/11,228320,454285,34463,10435604,109713,11262385
2020/11/12,11691,436116,32728,1073158,109590,1663283
2020/11/13,33898,738316,46766,998765,109695,1927440
2020/11/14,283338,1013410,64570,1646303,110521,3118142
2020/11/15,318862,919838,72892,1570118,107227,2988937
2020/11/16,640753,439661,37902,1221995,107527,2447838
2020/11/17,255351,421311,30627,761500,108488,1577277
2020/11/18,248964,398565,40810,743125,107392,1538856
2020/11/19,25162,459433,21813,564893,106803,1178104
2020/11/20,17268,658592,24909,761336,108982,1571087
2020/11/21,250751,981507,68288,1394838,100526,2795910
2020/11/22,304116,746280,73471,1128290,100647,2352804
2020/11/23,600453,476768,0,1177528,107394,2362143
2020/11/24,242616,362254,120295,2166605,106635,2998405
2020/11/25,234212,371313,35079,690898,106885,1438387
2020/11/26,232766,348616,31413,665918,91867,1370580
2020/11/27,255230,633747,0,100891075,100212,101880264
2020/11/28,266200,894059,0,1162482,91960,2414701
2020/11/29,292607,129045,0,699821,83351,1204824
2020/11/30,570248,421812,0,995445,98822,2086327
2020/12/1,236885,380413,0,10622152,108852,11348302
2020/12/2,13514,343747,0,416064,108099,881424
2020/12/3,243301,1372647,0,1671474,108384,3395806
2020/12/4,244758,654019,0,957524,110124,1966425
2020/12/5,261236,951671,0,1215296,110240,2538443
2020/12/6,331193,795992,0,1356266,100843,2584294
2020/12/7,597768,373328,0,1072029,75040,2118165
2020/12/8,242077,362218,0,10463521,52950,11120766
2020/12/9,19552,366478,672397,1060425,75807,2194659
2020/12/10,263071,387352,0,708722,90696,1449841
2020/12/11,6321,622489,138239,3329256,91063,4187368
2020/12/12,280283,819136,96873,1447973,90884,2735149
2020/12/13,311034,919913,91987,1701121,46093,3070148
2020/12/14,618670,3108764,47182,4364844,47664,8187124
2020/12/15,250016,510880,34306,959178,77327,1831707
2020/12/16,234312,346613,33441,781667,90749,1486782
2020/12/17,234323,310588,32880,785255,92110,1455156
2020/12/18,13102,594568,48085,4283260,99866,5038881
2020/12/19,251138,874260,79442,1388810,108763,2702413
2020/12/20,299910,763793,74864,1393951,108548,2641066
2020/12/21,574763,374080,40811,1396006,109636,2495296
2020/12/22,235751,296532,36461,727545,108495,1404784
2020/12/23,227519,321613,30466,734460,110391,1424449
2020/12/24,230760,329976,28456,748663,108424,1446279
2020/12/25,10582,529632,40361,691885,137431,1409891
2020/12/26,239728,859909,69005,1341555,136558,2646755
2020/12/27,290295,696848,62488,1296595,137801,2484027
2020/12/28,585484,367762,27352,1205409,129744,2315751
2020/12/29,260225,354868,26839,768567,94907,1505406
2020/12/30,34990,406345,29863,611466,129674,1212338
2020/12/31,34233,796981,57769,1028366,94493,2011842
2021/1/1,427931,1204925,87649,1994722,92762,3807989
2021/1/2,299632,914355,69730,1645251,101284,3030252
2021/1/3,785050,660406,50879,1765128,106847,3368310
2021/1/4,544359,301557,0,1045263,92753,1983932
2021/1/5,270651,390344,79804,870103,107297,1718199
2021/1/6,1588,199174,3965,10335005,107264,10646996
2021/1/7,35633,554923,66858,804793,92831,1555038
2021/1/8,40944,317895,50050,561632,107463,1077984
2021/1/9,232659,1175309,79067,1697052,58501,3242588
2021/1/10,229448,780614,0,1279392,51022,2340476
2021/1/11,619420,395781,0,1234514,91233,2340948
2021/1/12,366765,346077,188062,1050654,99990,2051548
2021/1/13,354059,396855,43766,942567,108714,1845961
2021/1/14,38810,1595588,333834,3432513,108081,5508826
2021/1/15,1337934,3740109,406909,8866967,108824,14460743
2021/1/16,1420015,15244130,379480,20107042,108254,37258921
2021/1/17,1380927,3596907,298959,6710435,115091,12102319
2021/1/18,912403,1347772,198969,3166083,109925,5735152
2021/1/19,557066,1373950,174312,2111719,119313,4336360
2021/1/20,561762,919663,158224,2342356,109632,4091637
2021/1/21,61422,1228611,148133,1758846,109911,3306923
2021/1/22,53711,725629,154827,1257084,110223,2301474
2021/1/23,174484,1287809,154802,1993798,108188,3719081
2021/1/24,108920,1693758,154445,2353273,108327,4418723
2021/1/25,836895,1036184,124548,2350572,44430,4392629
2021/1/26,731084,846242,109449,1985839,79224,3751838
2021/1/27,86020,1286298,88176,1779986,107150,3347630
2021/1/28,8875,923603,85505,1335199,109821,2463003
2021/1/29,48263,1265278,89983,1739501,110082,3253107
2021/1/30,27957,1181566,92594,1653700,110170,3065987
2021/1/31,898128,778517,97666,2128792,108215,4011318
2021/2/1,873268,1169075,96696,2479632,90647,4709318
2021/2/2,851197,3469408,88384,4730548,90976,9230513
2021/2/3,7809,1092128,79378,1497856,91705,2768876
2021/2/4,857311,831632,77136,2076587,107327,3949993
2021/2/5,863571,1010334,67985,2265342,61959,4269191
2021/2/6,25602,1119934,76309,1544463,46428,2812736
2021/2/7,19540,1067006,80200,1513316,74743,2754805
2021/2/8,10100,1238493,84766,11678315,63949,13075623
2021/2/9,22157,1041620,79422,1508701,44381,2696281
2021/2/10,28104,1557719,80771,2035752,95317,3797663
2021/2/11,71504,1161406,91457,1730787,75056,3130210
2021/2/12,232384,1049707,88609,1834824,81084,3286608
2021/2/13,1105364,1659481,81482,3216619,77538,6140484
2021/2/14,1113322,826734,82349,2363967,91500,4477872
2021/2/15,1020984,1414150,81621,2833834,75064,5425653
2021/2/16,965863,2050881,80110,113402388,76134,116575376
2021/2/17,901490,667229,74173,1937502,106832,3687226
2021/2/18,832263,974459,78240,2158203,92438,4135603
2021/2/19,785223,1583423,71885,2694585,132385,5267501
2021/2/20,763971,964227,74242,2050739,109562,3962741
2021/2/21,711109,804939,73597,1831600,110279,3531524
2021/2/22,687530,1801703,71364,2799809,110218,5470624
2021/2/23,631892,524903,68241,1440046,110300,2775382
2021/2/24,630456,775293,65167,1681974,124202,3277092
