"date","earning"
"2024-12-31","1831871"
"2024-12-30","1880778"
"2024-12-29","1837390"
"2024-12-28","1788315"
"2024-12-27","1847606"
"2024-12-26","1847540"
"2024-12-25","1890695"
"2024-12-24","1895486"
"2024-12-23","1886729"
"2024-12-22","1891570"
"2024-12-21","1887673"
"2024-12-20","1836930"
"2024-12-19","1843814"
"2024-12-18","1880860"
"2024-12-17","1874185"
"2024-12-16","1885032"
"2024-12-15","1886946"
"2024-12-14","1889389"
"2024-12-13","1893000"
"2024-12-12","1883691"
"2024-12-11","1878962"
"2024-12-10","1884855"
"2024-12-09","1891372"
"2024-12-08","1888039"
"2024-12-07","1892717"
"2024-12-06","1892860"
"2024-12-05","1897386"
"2024-12-04","1689775"
"2024-12-03","1837459"
"2024-12-02","1896287"
"2024-12-01","1882682"
"2024-11-30","1892262"
"2024-11-29","1840735"
"2024-11-28","1841467"
"2024-11-27","1888111"
"2024-11-26","1882189"
"2024-11-25","1884496"
"2024-11-24","1885823"
"2024-11-23","1896492"
"2024-11-22","1881089"
"2024-11-21","1889433"
"2024-11-20","1887358"
"2024-11-19","1887058"
"2024-11-18","1889021"
"2024-11-17","1899924"
"2024-11-16","1883296"
"2024-11-15","1879125"
"2024-11-14","1834420"
"2024-11-13","1815587"
"2024-11-12","1836020"
"2024-11-11","1883753"
"2024-11-10","1841302"
"2024-11-09","1835998"
"2024-11-08","1879149"
"2024-11-07","1888387"
"2024-11-06","1897887"
"2024-11-05","1898820"
"2024-11-04","1879085"
"2024-11-03","1882291"
"2024-11-02","1881724"
"2024-11-01","1889359"
"2024-10-31","1876365"
"2024-10-30","1884218"
"2024-10-29","1895072"
"2024-10-28","1888357"
"2024-10-27","1887719"
"2024-10-26","1896443"
"2024-10-25","1888920"
"2024-10-24","1888319"
"2024-10-23","1890399"
"2024-10-22","1888150"
"2024-10-21","1836682"
"2024-10-20","1834678"
"2024-10-19","1897363"
"2024-10-18","1878631"
"2024-10-17","1888701"
"2024-10-16","1901188"
"2024-10-15","1900356"
"2024-10-14","1890582"
"2024-10-13","1894705"
"2024-10-12","1892556"
"2024-10-11","1903088"
"2024-10-10","1878958"
"2024-10-09","1897589"
"2024-10-08","1893910"
"2024-10-07","1887141"
"2024-10-06","1880873"
"2024-10-05","1885133"
"2024-10-04","1885259"
"2024-10-03","1889319"
"2024-10-02","1878972"
"2024-10-01","1898175"
"2024-09-30","1877193"
"2024-09-29","1884929"
"2024-09-28","1832328"
"2024-09-27","1830089"
"2024-09-26","1844890"
"2024-09-25","1795323"
"2024-09-24","1836121"
"2024-09-23","1885810"
"2024-09-22","1887748"
"2024-09-21","1883748"
"2024-09-20","1897954"
"2024-09-19","1896803"
"2024-09-18","1887783"
"2024-09-17","1874404"
"2024-09-16","1888162"
"2024-09-15","1902778"
"2024-09-14","1841687"
"2024-09-13","1828746"
"2024-09-12","1841467"
"2024-09-11","1805958"
"2024-09-10","1896700"
"2024-09-09","1891405"
"2024-09-08","1879083"
"2024-09-07","1872816"
"2024-09-06","1895181"
"2024-09-05","1885974"
"2024-09-04","1891310"
"2024-09-03","1885807"
"2024-09-02","1892556"
"2024-09-01","1836442"
"2024-08-31","1841307"
"2024-08-30","1826717"
"2024-08-29","1847040"
"2024-08-28","1887508"
"2024-08-27","1889097"
"2024-08-26","1883504"
"2024-08-25","1881725"
"2024-08-24","1886412"
"2024-08-23","1894114"
"2024-08-22","1831579"
