时间,实际销售收入:游戏:中国:累计值:半年,实际销售收入:游戏:中国:累计同比:半年,实际销售收入:中国自主研发游戏:国内市场:累计值:半年,实际销售收入:中国自主研发游戏:国内市场:累计同比:半年,实际销售收入:中国自主研发游戏:海外市场:累计值:半年,实际销售收入:中国自主研发游戏:海外市场:累计同比:半年,实际销售收入:电子竞技游戏:中国:累计值:半年
2024-12-31 00:00:00,3257.83,7.53,2607.36,1.7,185.57,13.39,1429.45
2024-06-30 00:00:00,1472.67,2.08,1177.36,-3.32,85.54,4.24,691.43
2023-12-31 00:00:00,3029.64,13.95,2563.75,15.29,163.66,-5.65,1329.45
2023-06-30 00:00:00,1442.63,-2.39,1217.84,-2.25,82.06,-8.72,644.76
2022-12-31 00:00:00,2658.84,-10.33,2223.77,-13.07,173.46,-3.7,1178.02
2022-06-30 00:00:00,1477.89,-1.8,1245.82,-4.25,89.89,6.16,637.12
2021-12-31 00:00:00,2965.13,6.4,2558.19,6.51,180.13,16.59,1401.81
2021-06-30 00:00:00,1504.93,7.89,1301.12,8.3,84.68,11.58,720.61
2020-12-31 00:00:00,2786.87,20.71,2401.92,26.74,154.5,33.25,1365.57
2020-06-30 00:00:00,1394.93,22.34,1201.4,30.38,75.89,36.32,719.36
2019-12-31 00:00:00,2308.8,7.7,1895.1,15.3,115.9,21,947.3
2019-06-30 00:00:00,1140.2,8.6,921.4,15.4,55.7,20.2,465
2018-12-31 00:00:00,2144.4,5.3,1643.9,17.6,95.9,15.8,834.4
2018-06-30 00:00:00,1050,5.2,798.2,15.1,46.3,16,417.9
2017-12-31 00:00:00,2036.1,23,1397.4,18.2,82.8,14.5,730.5
2017-06-30 00:00:00,997.8,26.7,693.7,21.6,39.9,57.7,359.9
2016-12-31 00:00:00,1655.7,17.7,1182.5,19.9,72.3,36.2,504.6
2016-06-30 00:00:00,787.5,30.1,570.4,24.5,25.3,43.7,251.35
2015-12-31 00:00:00,1407,22.9,986.7,35.8,53.1,69,
2015-06-30 00:00:00,605.1,21.95,458.3,33.3,17.6,121.38,
2014-12-31 00:00:00,1144.8,37.7,726.6,52.5,30.76,69,
2014-06-30 00:00:00,496.2,46.4,343.9,41.3,7.95,65.65,
2013-12-31 00:00:00,831.7,38,476.6,29.5,18.2,219.3,
2013-06-30 00:00:00,338.9,36.4,243.4,44.5,4.8,165.3,
2012-12-31 00:00:00,602.8,35.1,368.1,35.6,5.7,57.5,
2012-06-30 00:00:00,248.4,18.5,168.5,20.9,1.8,73.4,
2011-12-31 00:00:00,446.1,34,271.5,40.7,3.6,56.5,
2011-06-30 00:00:00,209.7,34,139.4,44.5,1.1,66.4,
2010-12-31 00:00:00,333,26.7,193,16.8,2.3,111,
2010-06-30 00:00:00,156.5,26.4,96.5,16.7,0.6,114.7,
2009-12-31 00:00:00,262.8,41.6,165.3,50.1,1.1,55.7,
2009-06-30 00:00:00,123.8,39.1,82.7,50.1,0.3,54.5,
2008-12-31 00:00:00,185.6,72.5,110.1,60,0.7,28.6,
2008-06-30 00:00:00,89,71.3,55.1,,0.2,,
2007-12-31 00:00:00,105.7,61.5,68.8,62.3,0.6,,
2006-12-31 00:00:00,65.4,73.5,42.4,,0.2,,
2005-12-31 00:00:00,37.7,52.6,22.6,,,,
2004-12-31 00:00:00,24.7,47.9,,,,,
