"日期","收入预估~iPad"
"2025-03-28","117236"
"2025-03-27","116838"
"2025-03-26","117356"
"2025-03-25","116697"
"2025-03-24","116950"
"2025-03-23","117161"
"2025-03-22","117635"
"2025-03-21","116967"
"2025-03-20","117157"
"2025-03-19","117547"
"2025-03-18","116891"
"2025-03-17","116554"
"2025-03-16","116801"
"2025-03-15","117809"
"2025-03-14","117548"
"2025-03-13","117164"
"2025-03-12","116810"
"2025-03-11","117167"
"2025-03-10","117523"
"2025-03-09","116850"
"2025-03-08","117003"
"2025-03-07","117229"
"2025-03-06","117827"
"2025-03-05","116900"
"2025-03-04","116796"
"2025-03-03","117278"
"2025-03-02","117702"
"2025-03-01","116666"
"2025-02-28","117060"
"2025-02-27","117247"
"2025-02-26","116614"
"2025-02-25","117512"
"2025-02-24","117265"
"2025-02-23","117202"
"2025-02-22","117174"
"2025-02-21","116865"
"2025-02-20","116881"
"2025-02-19","117526"
"2025-02-18","116925"
"2025-02-17","117807"
"2025-02-16","117478"
"2025-02-15","117144"
"2025-02-14","116916"
"2025-02-13","116963"
"2025-02-12","117629"
"2025-02-11","117642"
"2025-02-10","116819"
"2025-02-09","117695"
"2025-02-08","117935"
"2025-02-07","117633"
"2025-02-06","117457"
"2025-02-05","116768"
"2025-02-04","116911"
"2025-02-03","117469"
"2025-02-02","0"
"2025-02-01","116934"
"2025-01-31","117372"
"2025-01-30","117051"
"2025-01-29","117237"
"2025-01-28","117141"
"2025-01-27","117044"
"2025-01-26","117566"
"2025-01-25","117590"
"2025-01-24","117187"
"2025-01-23","117093"
"2025-01-22","117621"
"2025-01-21","117513"
"2025-01-20","117412"
"2025-01-19","116736"
"2025-01-18","116931"
"2025-01-17","117631"
"2025-01-16","117808"
"2025-01-15","117806"
"2025-01-14","116506"
"2025-01-13","116915"
"2025-01-12","117472"
"2025-01-11","117293"
"2025-01-10","117151"
"2025-01-09","117478"
"2025-01-08","117440"
"2025-01-07","117333"
"2025-01-06","117913"
"2025-01-05","117931"
"2025-01-04","117666"
"2025-01-03","117008"
"2025-01-02","117619"
"2025-01-01","117298"
"2024-12-31","117416"
"2024-12-30","116757"
"2024-12-29","117538"
"2024-12-28","117094"
"2024-12-27","117134"
"2024-12-26","117253"
"2024-12-25","117445"
"2024-12-24","116703"
"2024-12-23","117633"
"2024-12-22","117094"
"2024-12-21","117000"
"2024-12-20","117194"
"2024-12-19","117285"
"2024-12-18","117419"
"2024-12-17","117201"
"2024-12-16","117861"
"2024-12-15","117474"
"2024-12-14","117477"
"2024-12-13","117420"
"2024-12-12","117489"
"2024-12-11","116517"
"2024-12-10","117168"
"2024-12-09","117247"
"2024-12-08","116685"
"2024-12-07","117059"
"2024-12-06","117206"
"2024-12-05","117013"
"2024-12-04","117381"
"2024-12-03","116902"
"2024-12-02","117706"
"2024-12-01","116757"
"2024-11-30","116896"
"2024-11-29","116951"
"2024-11-28","117612"
"2024-11-27","117104"
"2024-11-26","117064"
"2024-11-25","117747"
"2024-11-24","117192"
"2024-11-23","116565"
"2024-11-22","117066"
"2024-11-21","116858"
"2024-11-20","117100"
"2024-11-19","117714"
"2024-11-18","117032"
"2024-11-17","117181"
"2024-11-16","117449"
"2024-11-15","116976"
"2024-11-14","116673"
"2024-11-13","120500"
"2024-11-12","120934"
"2024-11-11","120015"
"2024-11-10","119793"
"2024-11-09","120168"
"2024-11-08","120544"
"2024-11-07","120795"
"2024-11-06","120792"
"2024-11-05","121264"
"2024-11-04","119982"
"2024-11-03","120719"
"2024-11-02","120197"
"2024-11-01","119796"
"2024-10-31","119616"
"2024-10-30","120015"
"2024-10-29","120142"
"2024-10-28","116930"
"2024-10-27","117210"
"2024-10-26","116706"
"2024-10-25","120015"
"2024-10-24","120415"
"2024-10-23","120334"
"2024-10-22","120396"
"2024-10-21","121097"
"2024-10-20","120946"
"2024-10-19","119824"
"2024-10-18","120695"
"2024-10-17","120799"
"2024-10-16","120283"
"2024-10-15","119475"
"2024-10-14","120595"
"2024-10-13","120648"
"2024-10-12","120826"
"2024-10-11","121009"
"2024-10-10","120258"
"2024-10-09","120400"
"2024-10-08","120948"
"2024-10-07","121383"
"2024-10-06","121182"
"2024-10-05","120280"
"2024-10-04","119780"
"2024-10-03","120747"
"2024-10-02","121004"
"2024-10-01","120186"
"2024-09-30","116853"
"2024-09-29","117332"
"2024-09-28","117360"
"2024-09-27","120572"
"2024-09-26","120530"
"2024-09-25","120182"
"2024-09-24","117293"
"2024-09-23","120328"
"2024-09-22","119997"
"2024-09-21","120535"
"2024-09-20","121212"
"2024-09-19","120048"
"2024-09-18","120202"
"2024-09-17","120453"
"2024-09-16","120359"
"2024-09-15","120865"
"2024-09-14","121076"
"2024-09-13","120528"
"2024-09-12","120602"
"2024-09-11","120217"
"2024-09-10","120202"
"2024-09-09","119772"
"2024-09-08","120508"
"2024-09-07","120822"
"2024-09-06","119927"
"2024-09-05","120450"
"2024-09-04","121172"
"2024-09-03","119573"
"2024-09-02","120130"
"2024-09-01","120473"
"2024-08-31","120120"
"2024-08-30","119652"
"2024-08-29","120631"
"2024-08-28","120886"
"2024-08-27","120898"
"2024-08-26","120788"
"2024-08-25","119956"
"2024-08-24","120781"
"2024-08-23","120855"
"2024-08-22","119999"
"2024-08-21","120553"
