"日期","1星","2星","3星","4星","5星"
"2020-01-01","130","13","23","25","237"
"2020-01-02","36","12","11","12","100"
"2020-01-03","20","0","12","9","57"
"2020-01-04","100","15","29","30","193"
"2020-01-05","86","11","18","24","139"
"2020-01-06","32","6","13","13","79"
"2020-01-07","39","8","15","9","91"
"2020-01-08","51","8","14","20","159"
"2020-01-09","82","12","18","26","165"
"2020-01-10","53","12","18","13","122"
"2020-01-11","105","17","27","40","235"
"2020-01-12","89","17","26","23","139"
"2020-01-13","77","18","26","36","205"
"2020-01-14","73","13","32","32","172"
"2020-01-15","-50","7","27","32","171"
"2020-01-16","64","21","23","25","144"
"2020-01-17","75","24","46","33","211"
"2020-01-18","135","19","26","21","154"
"2020-01-19","70","16","20","26","155"
"2020-01-20","-149","3","23","19","175"
"2020-01-21","61","17","30","28","198"
"2020-01-22","37","14","48","41","204"
"2020-01-23","85","15","29","20","167"
"2020-01-24","95","12","32","27","134"
"2020-01-25","400","57","80","64","231"
"2020-01-26","-225","16","42","40","212"
"2020-01-27","42","10","17","21","71"
"2020-01-28","136","46","65","48","231"
"2020-01-29","111","17","25","26","156"
"2020-01-30","135","22","33","32","147"
"2020-01-31","196","31","62","54","272"
"2020-02-01","54","21","19","24","134"
"2020-02-02","192","40","71","52","292"
"2020-02-03","-15","2","6","4","26"
"2020-02-04","175","36","58","68","345"
"2020-02-05","119","25","32","39","193"
"2020-02-06","138","17","56","40","222"
"2020-02-07","57","4","41","25","131"
"2020-02-08","222","35","44","46","261"
"2020-02-09","313","26","61","49","401"
"2020-02-10","-45","24","25","38","273"
"2020-02-11","141","20","47","48","306"
"2020-02-12","132","26","59","37","302"
"2020-02-13","89","19","35","56","361"
"2020-02-14","110","21","30","41","345"
"2020-02-15","325","36","63","65","412"
"2020-02-16","255","26","48","53","275"
"2020-02-17","-92","10","39","48","265"
"2020-02-18","236","26","60","40","451"
"2020-02-19","243","26","68","66","356"
"2020-02-20","140","21","35","50","316"
"2020-02-21","210","38","65","56","426"
"2020-02-22","189","14","30","31","204"
"2020-02-23","389","48","72","66","393"
"2020-02-24","103","40","103","128","758"
"2020-02-25","222","42","74","75","435"
"2020-02-26","268","52","85","72","506"
"2020-02-27","231","27","59","60","414"
"2020-02-28","229","40","61","63","387"
"2020-02-29","221","41","56","52","401"
"2020-03-01","118","10","23","27","150"
"2020-03-02","219","56","107","108","735"
"2020-03-03","341","51","105","86","539"
"2020-03-04","292","48","94","86","511"
"2020-03-05","267","43","89","87","444"
"2020-03-06","355","59","76","70","442"
"2020-03-07","201","25","43","29","161"
"2020-03-08","491","56","97","69","408"
"2020-03-09","156","56","109","122","619"
"2020-03-10","161","32","51","44","244"
"2020-03-11","330","78","126","133","778"
"2020-03-12","206","38","80","77","443"
"2020-03-13","252","55","101","90","476"
"2020-03-14","223","41","69","68","371"
"2020-03-15","199","35","40","53","239"
"2020-03-16","378","68","118","135","709"
"2020-03-17","269","39","80","84","538"
"2020-03-18","282","50","81","78","486"
"2020-03-19","198","44","88","68","461"
"2020-03-20","307","47","94","96","536"
"2020-03-21","300","63","115","99","772"
"2020-03-22","276","31","64","42","309"
"2020-03-23","304","64","135","148","893"
"2020-03-24","328","30","100","108","552"
"2020-03-25","214","48","89","91","435"
"2020-03-26","281","48","90","102","488"
"2020-03-27","226","52","98","91","469"
"2020-03-28","336","51","84","109","406"
"2020-03-29","300","40","42","46","240"
