"日期","华为","小米","VIVO","OPPO","魅族","应用宝","百度","360"
"2020-01-01","0","582062","179124","947550","300534","130739","10000000","10516"
"2020-01-02","0","433672","218503","706347","217798","169460","0","11266"
"2020-01-03","0","290746","321061","375286","209055","93097","0","6594"
"2020-01-04","0","310186","135285","270384","217674","108544","10000000","12217"
"2020-01-05","0","393546","264001","667192","36720","153695","0","3972"
"2020-01-06","0","376706","607869","985927","255299","0","0","6602"
"2020-01-07","0","313316","374699","210250","298255","230552","10000000","5472"
"2020-01-08","0","298200","76769","465972","12210","105999","0","4819"
"2020-01-09","0","336826","140671","580680","163511","125115","0","9348"
"2020-01-10","0","353518","95066","653391","153251","139379","10000000","9459"
"2020-01-11","0","403188","139266","1317063","340150","161045","0","20065"
"2020-01-12","0","465602","954296","999877","205526","190466","0","0"
"2020-01-13","0","0","885029","892838","23973","172095","10000000","13790"
"2020-01-14","0","800668","806525","482598","322776","152172","0","13352"
"2020-01-15","0","394536","56175","1226339","158554","0","0","9572"
"2020-01-16","0","429008","65261","1312137","142588","331061","0","12123"
"2020-01-17","0","438236","946472","928420","149398","0","0","9419"
"2020-01-18","0","462162","989760","613543","156171","179552","0","12960"
"2020-01-19","0","478144","49180","417056","5629","393430","0","13066"
"2020-01-20","0","479100","1035945","2186436","295283","0","0","17540"
"2020-01-21","100000000","499476","41193","1105169","156887","403389","0","12691"
"2020-01-22","0","509226","17408","1081345","7288","205056","0","5119"
"2020-01-23","0","544204","51167","985154","169339","0","0","11905"
"2020-01-24","0","568496","18789","977659","183590","213874","0","17187"
"2020-01-25","0","675550","336980","1584260","356795","495649","0","10189"
"2020-01-26","0","706902","1503527","1463163","159557","272006","0","13960"
"2020-01-27","0","726830","1411242","1387734","203058","0","0","12643"
"2020-01-28","0","655608","1231688","1214163","169652","270352","20000000","17198"
"2020-01-29","0","649892","1151544","1132653","16569","468739","10000000","5516"
"2020-01-30","0","632772","1086745","1064139","336584","0","10000000","10292"
"2020-01-31","0","608124","1046382","1031273","144634","0","10000000","15834"
"2020-02-01","0","566554","1014306","989909","181710","407302","0","0"
"2020-02-02","0","540096","1005599","624128","147629","0","0","0"
"2020-02-03","0","526370","989005","1295665","22287","0","0","0"
"2020-02-04","0","509934","977408","956235","314227","605925","0","35096"
"2020-02-05","0","491648","961143","934856","149095","192468","10000000","7385"
"2020-02-06","0","485984","953604","925435","133381","189692","0","9405"
"2020-02-07","0","481126","953754","933135","159039","189159","0","0"
"2020-02-08","0","472922","3132","597658","136598","186942","0","14903"
"2020-02-09","0","491954","1018567","1362366","162218","0","0","9452"
"2020-02-10","0","471410","978420","984262","5907","378477","0","11828"
"2020-02-11","0","475094","24210","997916","260071","195289","0","14068"
"2020-02-12","0","476920","19130","1028187","125676","194253","0","7874"
"2020-02-13","0","476238","1024372","1022815","134568","194355","0","0"
"2020-02-14","0","458758","978128","577696","129989","186753","0","0"
"2020-02-15","0","476362","959922","1439522","125456","0","0","27217"
"2020-02-16","0","475088","64630","1018427","138390","378224","0","0"
"2020-02-17","0","458692","997007","1006058","110390","181933","0","19012"
"2020-02-18","0","425378","972809","981207","116246","175804","0","0"
"2020-02-19","0","425710","10359","987070","129657","175106","0","24076"
"2020-02-20","0","434002","982480","996344","119363","171756","0","0"
"2020-02-21","0","429254","984674","1022389","117367","0","0","12771"
"2020-02-22","0","444868","86042","633728","141671","173021","0","9462"
"2020-02-23","0","465842","41416","1541311","140461","0","0","0"
"2020-02-24","0","463416","1093548","1105134","116620","524454","0","19522"
"2020-02-25","0","441446","1078211","1051270","10162","168670","0","9772"
"2020-02-26","0","437576","1071240","557126","237148","0","0","10000"
"2020-02-27","0","444748","1064374","1593963","11540","333800","0","9747"
"2020-02-28","0","449856","1066703","582057","247061","171949","0","12678"
"2020-02-29","0","463022","1092891","1504954","134869","172891","0","10688"
"2020-03-01","0","483824","36298","622703","134524","178180","0","6278"
"2020-03-02","0","484236","1117934","1641887","112020","184767","0","15838"
"2020-03-03","0","442918","1059814","1084506","129991","170869","0","10186"
"2020-03-04","0","472402","36379","1077049","0","175198","0","5459"
"2020-03-05","0","450796","1064616","605274","113826","171287","0","7726"
"2020-03-06","0","436670","1051703","831307","352670","164883","0","11554"
"2020-03-07","0","454718","35435","1601244","120872","170871","0","0"
"2020-03-08","0","484526","73361","1172584","12412","178072","0","21017"
"2020-03-09","0","472154","1115827","1123671","232491","171946","0","10330"
"2020-03-10","0","445752","1052851","1068577","12484","0","0","13633"
"2020-03-11","0","433014","1042283","979235","113462","175153","0","9950"
"2020-03-12","0","429636","1047093","1123718","218143","169072","0","11852"
"2020-03-13","0","435418","1057780","1062463","105607","169878","0","0"
"2020-03-14","100000000","462608","1085237","1103870","117854","180052","0","13652"
"2020-03-15","0","499980","1162905","1164351","128619","0","0","6321"
"2020-03-16","0","477992","1121505","1112185","102772","366846","0","15137"
"2020-03-17","0","440536","1052012","1044548","114661","169617","0","2873"
"2020-03-18","0","434776","1049850","978742","105123","0","0","10504"
"2020-03-19","0","441782","1044261","1050792","98059","168752","0","0"
"2020-03-20","0","440180","1051475","1071491","88903","0","0","18709"
"2020-03-21","0","479768","1094384","1199615","102229","510141","0","0"
"2020-03-22","0","510968","1176918","1209393","98178","0","0","19198"
"2020-03-23","0","481202","1100156","1097858","84609","361431","0","0"
"2020-03-24","0","433832","1017667","1008783","83246","159779","0","15457"
"2020-03-25","0","419976","1012783","1012555","1622","156275","0","14724"
"2020-03-26","0","424458","1027432","1023708","174465","157989","0","2572"
