"日期","一星","二星","三星","四星","五星"
"2020-01-01","373","205","310","884","13377"
"2020-01-02","209","84","174","464","7657"
"2020-01-03","295","95","265","547","9553"
"2020-01-04","350","189","361","831","14199"
"2020-01-05","346","146","317","681","12606"
"2020-01-06","242","105","188","513","8831"
"2020-01-07","272","129","235","564","10029"
"2020-01-08","318","137","241","668","12276"
"2020-01-09","365","128","282","764","13688"
"2020-01-10","358","164","338","818","15384"
"2020-01-11","389","203","354","929","18748"
"2020-01-12","339","208","355","886","16758"
"2020-01-13","307","148","295","756","14152"
"2020-01-14","327","136","342","782","15561"
"2020-01-15","320","209","329","885","16155"
"2020-01-16","394","212","412","956","18061"
"2020-01-17","409","217","428","985","18699"
"2020-01-18","478","193","477","1276","22488"
"2020-01-19","371","194","413","1013","21410"
"2020-01-20","423","196","463","1066","21746"
"2020-01-21","415","241","506","1284","23550"
"2020-01-22","516","257","490","1450","24855"
"2020-01-23","492","264","525","1422","26840"
"2020-01-24","665","268","641","1642","34015"
"2020-01-25","856","398","598","1692","34431"
"2020-01-26","682","367","624","1629","30517"
"2020-01-27","685","348","616","1401","25911"
"2020-01-28","623","317","623","1424","25501"
"2020-01-29","684","342","656","1713","31335"
"2020-01-30","682","353","679","1611","28138"
"2020-01-31","458","256","303","447","1158"
"2020-02-01","307","230","297","263","494"
"2020-02-02","371","228","291","403","1245"
"2020-02-03","398","247","290","360","1018"
"2020-02-04","351","240","298","376","1189"
"2020-02-05","-1254","14","36","44","-1419"
"2020-02-06","394","261","301","387","1142"
"2020-02-07","478","349","370","498","1444"
"2020-02-08","550","322","374","477","1478"
"2020-02-09","473","266","367","444","1316"
"2020-02-10","535","377","397","464","1623"
"2020-02-11","612","362","406","578","1651"
"2020-02-12","608","378","443","563","1769"
"2020-02-13","676","422","492","647","1839"
"2020-02-14","608","357","384","528","1633"
"2020-02-15","622","337","454","557","1743"
"2020-02-16","614","336","393","505","1565"
"2020-02-17","591","334","392","489","1812"
"2020-02-18","625","347","391","520","1955"
"2020-02-19","664","364","475","584","1821"
"2020-02-20","576","330","442","502","1749"
"2020-02-21","417","287","223","455","2044"
"2020-02-22","425","259","305","400","1921"
"2020-02-23","324","152","204","423","2022"
"2020-02-24","450","165","240","312","1838"
"2020-02-25","714","220","376","583","2752"
"2020-02-26","1546","1161","1229","1278","1282"
"2020-02-27","604","419","463","607","1871"
"2020-02-28","608","380","428","563","1943"
"2020-02-29","640","390","464","590","1923"
"2020-03-01","609","387","386","523","1710"
"2020-03-02","-6337","-3820","-4318","-5734","-19306"
"2020-03-03","0","0","0","0","0"
"2020-03-04","7895","4797","5480","7014","18288"
"2020-03-05","363","251","229","207","-3277"
"2020-03-06","634","381","429","529","1492"
"2020-03-07","657","390","479","661","1977"
"2020-03-08","683","380","430","575","1884"
"2020-03-09","682","372","449","628","1986"
"2020-03-10","535","297","364","461","1523"
"2020-03-11","568","336","436","532","1721"
"2020-03-12","616","335","476","580","2009"
"2020-03-13","224","133","171","224","695"
"2020-03-14","9","0","6","6","22"
"2020-03-15","0","2","1","-1","7"
"2020-03-16","58","46","53","72","204"
"2020-03-17","1521","833","918","1172","4075"
"2020-03-18","2280","1248","1421","1911","5932"
"2020-03-19","577","303","297","488","1341"
"2020-03-20","683","422","458","530","1604"
"2020-03-21","1251","578","605","769","2239"
"2020-03-22","642","324","385","449","1355"
"2020-03-23","642","319","362","404","1315"
"2020-03-24","745","361","535","610","1988"
"2020-03-25","670","353","384","441","1563"
"2020-03-26","660","299","389","519","1617"
"2020-03-27","613","254","349","521","1471"
"2020-03-28","647","358","436","460","1561"
"2020-03-29","632","331","408","529","1544"
"2020-03-30","554","301","403","505","1472"
"2020-03-31","810","369","414","609","2178"
"2020-04-01","20171","9503","11925","16413","51758"
"2020-04-02","4239","2240","2714","3807","10972"
"2020-04-03","2241","1120","1339","1738","5314"
"2020-04-04","1938","1246","1483","1631","3758"
"2020-04-05","1321","723","881","1167","3827"
"2020-04-06","696","410","459","618","2057"
"2020-04-07","1012","574","703","1015","3452"
"2020-04-08","747","438","533","682","2330"
"2020-04-09","839","464","495","708","2385"
"2020-04-10","948","279","481","1180","16506"
"2020-04-11","757","287","445","1058","19243"
"2020-04-12","678","281","475","993","11546"
"2020-04-13","538","181","346","705","7903"
"2020-04-14","456","224","237","537","5597"
"2020-04-15","536","234","334","535","5300"
"2020-04-16","554","226","327","511","4762"
"2020-04-17","596","290","308","554","4695"
"2020-04-18","630","327","396","650","4903"
"2020-04-19","547","287","432","607","4118"
"2020-04-20","466","197","267","407","2759"
"2020-04-21","425","183","251","261","1240"
"2020-04-22","421","231","276","415","2489"
"2020-04-23","350","177","230","400","2066"
"2020-04-24","472","263","343","471","3081"
"2020-04-25","408","260","280","397","2423"
"2020-04-26","449","233","279","431","2761"
"2020-04-27","450","194","297","458","2557"
"2020-04-28","500","198","250","495","2272"
"2020-04-29","454","239","279","419","1981"
"2020-04-30","655","326","376","531","2981"
"2020-05-01","772","393","438","719","3522"
"2020-05-02","726","360","468","696","3698"
"2020-05-03","652","328","415","648","3311"
"2020-05-04","680","273","376","535","2978"
"2020-05-05","470","239","298","364","1706"
"2020-05-06","529","208","258","395","1858"
"2020-05-07","539","254","253","347","1990"
"2020-05-08","416","169","251","305","1548"
"2020-05-09","398","190","299","418","2032"
"2020-05-10","315","182","230","319","1859"
"2020-05-11","31","124","149","178","713"
"2020-05-12","330","169","208","285","1683"
"2020-05-13","322","160","159","260","1398"
"2020-05-14","151","131","169","188","969"
"2020-05-15","-219","149","118","135","-1951"
"2020-05-16","-181","214","260","309","980"
"2020-05-17","436","221","335","396","2133"
"2020-05-18","202","131","135","198","971"
"2020-05-19","153","140","155","240","1098"
"2020-05-20","249","112","140","303","1555"
"2020-05-21","316","175","213","315","1778"
"2020-05-22","296","188","232","307","1758"
"2020-05-23","407","277","347","473","2680"
"2020-05-24","443","283","330","360","2371"
"2020-05-25","212","124","162","199","1139"
"2020-05-26","267","132","137","234","1253"
"2020-05-27","233","126","131","160","1130"
"2020-05-28","201","117","127","207","1161"
"2020-05-29","263","185","214","311","1663"
"2020-05-30","397","274","317","438","2236"
"2020-05-31","326","257","260","356","2137"
"2020-06-01","204","125","123","166","1075"
"2020-06-02","163","92","116","130","829"
"2020-06-03","189","80","83","219","912"
"2020-06-04","154","71","78","123","650"
"2020-06-05","244","127","156","266","1463"
"2020-06-06","371","254","342","460","2420"
"2020-06-07","334","241","237","343","1768"
"2020-06-08","84","34","65","46","383"
"2020-06-09","180","52","68","148","791"
"2020-06-10","146","66","78","106","694"
"2020-06-11","146","90","76","145","713"
"2020-06-12","227","101","164","229","1266"
"2020-06-13","384","347","419","598","2946"
"2020-06-14","337","198","240","307","1869"
"2020-06-15","129","75","44","89","402"
"2020-06-16","256","124","157","220","1025"
"2020-06-17","6636","3440","4339","6368","26569"
"2020-06-18","1859","893","1111","1612","6859"
"2020-06-19","1365","890","1166","1524","5816"
"2020-06-20","1046","702","1011","1362","4491"
"2020-06-21","896","500","616","878","3526"
"2020-06-22","675","340","389","586","2324"
"2020-06-23","601","259","316","413","1351"
"2020-06-24","657","439","524","679","2715"
"2020-06-25","1182","722","885","1180","4314"
"2020-06-26","780","412","458","721","2812"
"2020-06-27","496","315","379","505","1832"
"2020-06-28","264","127","104","165","828"
"2020-06-29","294","154","188","171","945"
"2020-06-30","310","161","184","271","1223"
"2020-07-01","240","155","187","266","1031"
"2020-07-02","362","187","199","298","1233"
"2020-07-03","376","205","229","389","1255"
"2020-07-04","440","270","393","439","1524"
