"日期","收入预估~iPad"
"2024-12-31","35125"
"2024-12-30","35160"
"2024-12-29","35118"
"2024-12-28","35181"
"2024-12-27","34999"
"2024-12-26","34945"
"2024-12-25","35036"
"2024-12-24","35008"
"2024-12-23","34986"
"2024-12-22","35119"
"2024-12-21","35064"
"2024-12-20","35064"
"2024-12-19","35143"
"2024-12-18","35007"
"2024-12-17","35033"
"2024-12-16","35099"
"2024-12-15","35129"
"2024-12-14","34917"
"2024-12-13","35230"
"2024-12-12","34889"
"2024-12-11","34935"
"2024-12-10","35141"
"2024-12-09","35094"
"2024-12-08","34938"
"2024-12-07","35070"
"2024-12-06","35006"
"2024-12-05","34967"
"2024-12-04","35229"
"2024-12-03","34946"
"2024-12-02","35142"
"2024-12-01","35088"
"2024-11-30","35095"
"2024-11-29","35182"
"2024-11-28","35032"
"2024-11-27","35014"
"2024-11-26","34889"
"2024-11-25","35204"
"2024-11-24","34983"
"2024-11-23","35098"
"2024-11-22","35228"
"2024-11-21","35052"
"2024-11-20","35120"
"2024-11-19","35047"
"2024-11-18","34898"
"2024-11-17","34927"
"2024-11-16","34933"
"2024-11-15","35102"
"2024-11-14","34939"
"2024-11-13","36390"
"2024-11-12","54742"
"2024-11-11","54585"
"2024-11-10","54734"
"2024-11-09","54635"
"2024-11-08","54845"
"2024-11-07","55100"
"2024-11-06","44887"
"2024-11-05","74822"
"2024-11-04","115202"
"2024-11-03","115661"
"2024-11-02","116035"
"2024-11-01","113617"
"2024-10-31","117232"
"2024-10-30","117762"
"2024-10-29","117452"
"2024-10-28","120588"
"2024-10-27","119992"
"2024-10-26","74805"
"2024-10-25","52966"
"2024-10-24","42370"
"2024-10-23","95651"
"2024-10-22","115899"
"2024-10-21","113848"
"2024-10-20","117244"
"2024-10-19","114677"
"2024-10-18","30052"
"2024-10-17","35023"
"2024-10-16","34894"
"2024-10-15","49532"
"2024-10-14","44806"
"2024-10-13","44746"
"2024-10-12","45119"
"2024-10-11","35075"
"2024-10-10","38212"
"2024-10-09","52469"
"2024-10-08","117220"
"2024-10-07","117302"
"2024-10-06","117291"
"2024-10-05","117214"
"2024-10-04","114120"
"2024-10-03","117936"
"2024-10-02","82973"
"2024-10-01","94124"
"2024-09-30","94237"
"2024-09-29","115698"
"2024-09-28","38257"
"2024-09-27","34237"
"2024-09-26","37937"
"2024-09-25","39419"
"2024-09-24","74306"
"2024-09-23","114470"
"2024-09-22","88995"
"2024-09-21","34990"
"2024-09-20","35069"
"2024-09-19","52402"
"2024-09-18","94698"
"2024-09-17","114393"
"2024-09-16","116185"
"2024-09-15","117206"
"2024-09-14","53634"
"2024-09-13","35108"
"2024-09-12","35158"
"2024-09-11","41375"
"2024-09-10","83575"
"2024-09-09","94066"
"2024-09-08","79206"
"2024-09-07","93894"
"2024-09-06","44033"
"2024-09-05","92213"
"2024-09-04","80813"
"2024-09-03","94297"
"2024-09-02","116512"
"2024-09-01","59252"
"2024-08-31","41363"
"2024-08-30","54812"
"2024-08-29","53309"
"2024-08-28","77652"
"2024-08-27","115782"
"2024-08-26","113983"
"2024-08-25","115507"
"2024-08-24","117304"
"2024-08-23","114301"
"2024-08-22","114481"
"2024-08-21","74813"
"2024-08-20","78441"
"2024-08-19","94469"
"2024-08-18","99031"
"2024-08-17","81239"
"2024-08-16","82845"
"2024-08-15","113767"
"2024-08-14","117192"
"2024-08-13","116970"
"2024-08-12","117919"
"2024-08-11","116859"
"2024-08-10","94678"
"2024-08-09","74372"
"2024-08-08","76198"
"2024-08-07","113745"
"2024-08-06","80833"
"2024-08-05","114552"
"2024-08-04","116152"
"2024-08-03","81137"
"2024-08-02","28757"
"2024-08-01","38743"
"2024-07-31","93942"
"2024-07-30","93894"
"2024-07-29","94322"
"2024-07-28","94225"
"2024-07-27","74763"
"2024-07-26","37548"
"2024-07-25","47831"
"2024-07-24","114035"
"2024-07-23","115834"
"2024-07-22","117301"
"2024-07-21","116500"
"2024-07-20","117215"
"2024-07-19","74895"
"2024-07-18","70634"
"2024-07-17","53100"
"2024-07-16","68264"
"2024-07-15","48092"
"2024-07-14","83463"
"2024-07-13","115427"
"2024-07-12","34970"
"2024-07-11","29483"
"2024-07-10","38657"
"2024-07-09","74406"
"2024-07-08","74527"
"2024-07-07","74336"
"2024-07-06","74588"
"2024-07-05","64336"
"2024-07-04","47908"
"2024-07-03","116232"
"2024-07-02","115530"
"2024-07-01","115686"
"2024-06-30","115525"
"2024-06-29","114251"
"2024-06-28","18457"
"2024-06-27","22571"
"2024-06-26","30467"
"2024-06-25","35029"
"2024-06-24","54828"
"2024-06-23","45003"
"2024-06-22","44926"
"2024-06-21","37771"
"2024-06-20","38775"
"2024-06-19","76051"
"2024-06-18","80654"
"2024-06-17","39598"
"2024-06-16","44805"
"2024-06-15","52876"
"2024-06-14","46952"
"2024-06-13","74803"
"2024-06-12","94527"
"2024-06-11","94301"
"2024-06-10","84054"
"2024-06-09","94610"
"2024-06-08","74301"
"2024-06-07","22430"
"2024-06-06","35127"
"2024-06-05","47714"
"2024-06-04","94252"
"2024-06-03","80820"
"2024-06-02","94761"
"2024-06-01","80989"
"2024-05-31","74446"
"2024-05-30","82132"
"2024-05-29","114443"
"2024-05-28","114574"
"2024-05-27","113668"
"2024-05-26","114542"
"2024-05-25","94174"
"2024-05-24","116222"
"2024-05-23","114395"
"2024-05-22","113967"
"2024-05-21","117597"
"2024-05-20","116926"
"2024-05-19","117732"
"2024-05-18","117810"
"2024-05-17","76260"
"2024-05-16","22055"
"2024-05-15","35179"
"2024-05-14","53634"
"2024-05-13","53246"
"2024-05-12","82935"
"2024-05-11","74442"
"2024-05-10","74500"
"2024-05-09","105027"
"2024-05-08","76312"
"2024-05-07","115864"
"2024-05-06","116999"
"2024-05-05","117183"
"2024-05-04","114331"
"2024-05-03","115931"
"2024-05-02","115845"
"2024-05-01","117079"
"2024-04-30","117560"
"2024-04-29","117547"
"2024-04-28","74394"
"2024-04-27","81206"
"2024-04-26","74379"
"2024-04-25","94534"
"2024-04-24","117657"
"2024-04-23","116575"
"2024-04-22","116605"
"2024-04-21","116607"
"2024-04-20","114210"
"2024-04-19","74364"
"2024-04-18","74594"
"2024-04-17","94228"
"2024-04-16","116913"
"2024-04-15","117543"
"2024-04-14","117462"
"2024-04-13","115882"
"2024-04-12","116004"
"2024-04-11","83458"
"2024-04-10","94324"
"2024-04-09","114276"
"2024-04-08","117340"
"2024-04-07","117643"
"2024-04-06","117699"
"2024-04-05","116761"
"2024-04-04","74600"
"2024-04-03","82986"
"2024-04-02","74889"
"2024-04-01","74339"
"2024-03-31","74823"
"2024-03-30","54751"
"2024-03-29","54771"
"2024-03-28","47915"
"2024-03-27","115463"
"2024-03-26","114300"
"2024-03-25","76395"
"2024-03-24","94621"
"2024-03-23","59346"
"2024-03-22","32202"
"2024-03-21","35142"
"2024-03-20","54975"
"2024-03-19","48156"
"2024-03-18","74692"
"2024-03-17","74374"
"2024-03-16","94141"
"2024-03-15","79825"
"2024-03-14","72892"
"2024-03-13","107664"
"2024-03-12","94596"
