"日期","下载量预估~iPhone"
"2024-12-31","113164"
"2024-12-30","112795"
"2024-12-29","113684"
"2024-12-28","84236"
"2024-12-27","107230"
"2024-12-26","109796"
"2024-12-25","77684"
"2024-12-24","110236"
"2024-12-23","109891"
"2024-12-22","108532"
"2024-12-21","106583"
"2024-12-20","108843"
"2024-12-19","108740"
"2024-12-18","108190"
"2024-12-17","98520"
"2024-12-16","109763"
"2024-12-15","113017"
"2024-12-14","108029"
"2024-12-13","110062"
"2024-12-12","110201"
"2024-12-11","108365"
"2024-12-10","108455"
"2024-12-09","107250"
"2024-12-08","93053"
"2024-12-07","90572"
"2024-12-06","84047"
"2024-12-05","106975"
"2024-12-04","97459"
"2024-12-03","124015"
"2024-12-02","106792"
"2024-12-01","131461"
"2024-11-30","123810"
"2024-11-29","107040"
"2024-11-28","108373"
"2024-11-27","113260"
"2024-11-26","112252"
"2024-11-25","110057"
"2024-11-24","110009"
"2024-11-23","92104"
"2024-11-22","106870"
"2024-11-21","106737"
"2024-11-20","76790"
"2024-11-19","110162"
"2024-11-18","112566"
"2024-11-17","112796"
"2024-11-16","108286"
"2024-11-15","108787"
"2024-11-14","101332"
"2024-11-13","107445"
"2024-11-12","80095"
"2024-11-11","107991"
"2024-11-10","107203"
"2024-11-09","108968"
"2024-11-08","108173"
"2024-11-07","106804"
"2024-11-06","108696"
"2024-11-05","109883"
"2024-11-04","110001"
"2024-11-03","109950"
"2024-11-02","109856"
"2024-11-01","110529"
"2024-10-31","109553"
"2024-10-30","109468"
"2024-10-29","109899"
"2024-10-28","109523"
"2024-10-27","107287"
"2024-10-26","79029"
"2024-10-25","62316"
"2024-10-24","93273"
"2024-10-23","107326"
"2024-10-22","108506"
"2024-10-21","108787"
"2024-10-20","108730"
"2024-10-19","75546"
"2024-10-18","98190"
"2024-10-17","106888"
"2024-10-16","108164"
"2024-10-15","100329"
"2024-10-14","108196"
"2024-10-13","92683"
"2024-10-12","93837"
"2024-10-11","109034"
"2024-10-10","108675"
"2024-10-09","98092"
"2024-10-08","107448"
"2024-10-07","107107"
"2024-10-06","99662"
"2024-10-05","108677"
"2024-10-04","108555"
"2024-10-03","108277"
"2024-10-02","108409"
"2024-10-01","98116"
"2024-09-30","107285"
"2024-09-29","108146"
"2024-09-28","96504"
"2024-09-27","92721"
"2024-09-26","107188"
"2024-09-25","72946"
"2024-09-24","97823"
"2024-09-23","109490"
"2024-09-22","110130"
"2024-09-21","108479"
"2024-09-20","90118"
"2024-09-19","107530"
"2024-09-18","107019"
"2024-09-17","102733"
"2024-09-16","86453"
"2024-09-15","44687"
"2024-09-14","50510"
"2024-09-13","42924"
"2024-09-12","50336"
"2024-09-11","89444"
"2024-09-10","82764"
"2024-09-09","108850"
"2024-09-08","108046"
"2024-09-07","107373"
"2024-09-06","109020"
"2024-09-05","108525"
