"日期","1星","2星","3星","4星","5星"
"2020-01-01","129","20","22","28","217"
"2020-01-02","70","8","17","11","95"
"2020-01-03","84","10","11","12","121"
"2020-01-04","181","28","38","43","266"
"2020-01-05","153","13","27","25","195"
"2020-01-06","131","11","14","18","127"
"2020-01-07","93","16","16","16","148"
"2020-01-08","120","9","12","13","144"
"2020-01-09","1949","241","293","191","901"
"2020-01-10","1243","153","199","119","555"
"2020-01-11","711","88","111","67","382"
"2020-01-12","530","51","70","40","322"
"2020-01-13","493","43","69","34","279"
"2020-01-14","350","40","52","32","243"
"2020-01-15","347","29","51","39","253"
"2020-01-16","464","50","76","42","297"
"2020-01-17","493","74","74","50","288"
"2020-01-18","396","51","62","41","270"
"2020-01-19","442","41","59","51","376"
"2020-01-20","300","23","48","36","240"
"2020-01-21","458","38","61","53","335"
"2020-01-22","373","35","72","44","273"
"2020-01-23","370","36","57","50","334"
"2020-01-24","1498","172","208","148","599"
"2020-01-25","338","35","46","36","237"
"2020-01-26","400","42","57","45","273"
"2020-01-27","501","48","47","44","301"
"2020-01-28","382","39","58","38","265"
"2020-01-29","387","50","55","39","263"
"2020-01-30","470","43","58","53","305"
"2020-01-31","222","36","61","56","282"
"2020-02-01","141","20","21","11","108"
"2020-02-02","789","79","89","92","448"
"2020-02-03","360","40","51","37","270"
"2020-02-04","431","38","58","54","325"
"2020-02-05","402","41","55","51","303"
"2020-02-06","527","30","78","69","328"
"2020-02-07","362","39","44","35","285"
"2020-02-08","442","31","56","39","344"
"2020-02-09","504","41","62","68","361"
"2020-02-10","431","36","59","58","415"
"2020-02-11","654","58","102","95","714"
"2020-02-12","660","58","85","70","726"
"2020-02-13","693","53","96","87","726"
"2020-02-14","735","51","101","73","699"
"2020-02-15","651","49","73","71","551"
"2020-02-16","680","42","72","54","684"
"2020-02-17","777","71","91","92","804"
"2020-02-18","666","58","95","62","633"
"2020-02-19","693","60","83","82","717"
"2020-02-20","713","55","95","73","642"
"2020-02-21","820","64","117","92","701"
"2020-02-22","674","48","74","65","586"
"2020-02-23","827","62","89","101","571"
"2020-02-24","727","56","101","75","612"
"2020-02-25","735","65","90","76","679"
"2020-02-26","674","57","78","87","626"
"2020-02-27","769","48","88","80","691"
"2020-02-28","705","67","104","78","675"
"2020-02-29","668","43","86","56","514"
"2020-03-01","728","55","88","79","604"
"2020-03-02","687","63","77","75","676"
"2020-03-03","624","59","75","65","647"
"2020-03-04","757","61","79","69","606"
"2020-03-05","636","53","63","84","609"
"2020-03-06","680","60","84","67","615"
"2020-03-07","648","51","85","59","580"
"2020-03-08","694","53","76","71","549"
"2020-03-09","924","70","95","81","683"
"2020-03-10","537","52","70","69","537"
"2020-03-11","937","71","132","106","813"
"2020-03-12","637","59","78","62","545"
"2020-03-13","771","62","96","88","653"
"2020-03-14","664","57","86","71","536"
"2020-03-15","537","46","53","54","454"
"2020-03-16","947","76","116","89","882"
"2020-03-17","720","55","93","87","670"
"2020-03-18","695","61","100","73","630"
"2020-03-19","684","47","84","86","616"
"2020-03-20","567","48","73","77","563"
"2020-03-21","629","55","85","52","491"
"2020-03-22","639","45","92","70","493"
"2020-03-23","624","41","78","73","571"
"2020-03-24","687","54","97","84","591"
"2020-03-25","694","52","98","83","629"
"2020-03-26","752","68","105","72","563"
"2020-03-27","610","46","76","60","473"
"2020-03-28","575","42","73","62","452"
"2020-03-29","587","39","83","66","471"
"2020-03-30","682","44","85","89","644"
"2020-03-31","18120","1563","1943","1207","5439"
"2020-04-01","3186","334","414","291","1331"
"2020-04-02","1018","84","124","108","691"
"2020-04-03","875","81","134","101","637"
"2020-04-04","-15","0","-1","0","-2"
"2020-04-05","599","44","74","58","470"
"2020-04-06","550","45","89","63","490"
"2020-04-07","553","39","57","67","562"
"2020-04-08","556","43","92","67","473"
"2020-04-09","543","54","78","60","553"
"2020-04-10","574","38","73","78","526"
"2020-04-11","570","51","66","48","457"
"2020-04-12","559","49","68","48","501"
"2020-04-13","574","38","63","71","454"
"2020-04-14","549","35","66","50","510"
"2020-04-15","558","45","56","70","472"
"2020-04-16","533","46","90","61","529"
"2020-04-17","479","34","66","52","462"
"2020-04-18","332","40","57","57","513"
"2020-04-19","464","47","70","55","477"
"2020-04-20","452","39","52","59","428"
"2020-04-21","457","41","61","60","445"
"2020-04-22","410","27","58","43","437"
"2020-04-23","20","18","35","42","265"
"2020-04-24","358","29","45","37","365"
"2020-04-25","383","37","54","51","412"
"2020-04-26","517","46","45","51","438"
"2020-04-27","317","24","36","47","359"
"2020-04-28","316","20","36","33","334"
"2020-04-29","484","41","69","47","568"
"2020-04-30","1210","97","142","114","873"
"2020-05-01","0","0","0","0","0"
"2020-05-02","439220","39711","67370","68420","477252"
"2020-05-03","810","59","100","85","711"
"2020-05-04","0","0","0","0","0"
"2020-05-05","440847","39827","67578","68601","478695"
"2020-05-06","497","44","60","76","589"
"2020-05-07","589","57","76","60","694"
"2020-05-08","423","22","39","42","418"
"2020-05-09","381","31","42","32","342"
"2020-05-10","438","34","43","33","417"
"2020-05-11","321","24","36","28","264"
"2020-05-12","267","25","31","21","256"
"2020-05-13","453","25","43","31","304"
"2020-05-14","400","19","47","22","279"
"2020-05-15","414","21","39","28","355"
"2020-05-16","404","37","61","36","403"
"2020-05-17","432","31","57","33","354"
"2020-05-18","326","17","33","23","299"
"2020-05-19","251","12","34","31","228"
"2020-05-20","93","5","10","14","73"
"2020-05-21","0","0","0","0","0"
"2020-05-22","-1","0","0","0","0"
"2020-05-23","0","0","0","0","0"
"2020-05-24","-7","0","0","0","-1"
"2020-05-25","265","21","33","17","208"
"2020-05-26","341","28","32","36","245"
"2020-05-27","218","11","32","21","210"
"2020-05-28","271","15","18","22","239"
"2020-05-29","349","14","32","36","288"
"2020-05-30","346","25","40","36","346"
"2020-05-31","426","23","52","38","422"
"2020-06-01","166","13","10","16","245"
"2020-06-02","72","5","10","9","62"
"2020-06-03","0","0","0","0","-1"
"2020-06-04","-94","-4","-6","-3","-28"
"2020-06-05","148","11","25","19","171"
"2020-06-06","316","28","42","38","386"
"2020-06-07","334","21","34","56","339"
"2020-06-08","189","18","19","14","180"
"2020-06-09","165","23","26","28","191"
"2020-06-10","174","13","17","20","160"
"2020-06-11","140","10","15","18","174"
"2020-06-12","185","12","25","23","240"
"2020-06-13","324","15","43","39","358"
"2020-06-14","312","17","46","47","335"
"2020-06-15","163","14","26","15","180"
"2020-06-16","126","6","17","19","180"
"2020-06-17","191","30","29","30","287"
"2020-06-18","294","32","77","64","507"
"2020-06-19","266","24","62","69","442"
"2020-06-20","343","47","64","74","566"
"2020-06-21","361","41","45","53","504"
"2020-06-22","246","20","33","35","298"
"2020-06-23","294","27","30","36","316"
"2020-06-24","259","13","47","43","385"
"2020-06-25","405","32","69","74","555"
"2020-06-26","366","31","46","54","449"
"2020-06-27","285","38","42","45","369"
"2020-06-28","193","15","27","27","254"
"2020-06-29","236","17","29","41","233"
"2020-06-30","323","34","45","31","339"
"2020-07-01","187","18","32","25","255"
"2020-07-02","252","30","34","42","346"
"2020-07-03","245","25","38","36","325"
"2020-07-04","332","21","45","59","456"
"2020-07-05","364","29","41","45","410"
"2020-07-06","290","23","31","32","314"
"2020-07-07","404","35","32","47","324"
"2020-07-08","69","5","5","9","86"
"2020-07-09","0","0","0","0","0"
"2020-07-10","4158","470","614","500","2885"
"2020-07-11","557","73","90","77","587"
"2020-07-12","602","58","72","75","534"
"2020-07-13","374","30","50","51","444"
"2020-07-14","1368","139","183","130","782"
"2020-07-15","572","50","93","65","527"
"2020-07-16","455","27","56","60","465"
"2020-07-17","491","44","68","60","463"
"2020-07-18","563","42","67","65","520"
"2020-07-19","458","32","44","51","405"
"2020-07-20","431","36","49","52","429"
"2020-07-21","464","47","56","60","417"
"2020-07-22","561","45","72","73","499"
"2020-07-23","413","33","55","52","381"
"2020-07-24","445","27","70","48","401"
"2020-07-25","490","26","66","52","504"
"2020-07-26","457","42","46","45","436"
"2020-07-27","341","27","65","45","400"
"2020-07-28","574","52","54","46","535"
"2020-07-29","453","42","61","59","448"
"2020-07-30","400","30","62","40","337"
"2020-07-31","536","39","56","45","509"
"2020-08-01","495","35","52","50","478"
"2020-08-02","479","42","48","49","430"
"2020-08-03","416","34","53","55","396"
"2020-08-04","528","32","66","70","399"
"2020-08-05","577","44","63","66","438"
"2020-08-06","493","39","57","65","481"
"2020-08-07","423","33","49","54","430"
"2020-08-08","451","35","50","59","440"
"2020-08-09","419","21","51","48","438"
"2020-08-10","379","26","58","40","337"
"2020-08-11","422","43","53","54","476"
"2020-08-12","432","37","58","43","393"
"2020-08-13","551","39","62","83","496"
"2020-08-14","534","47","70","44","433"
"2020-08-15","389","38","39","44","352"
"2020-08-16","423","49","66","51","445"
"2020-08-17","504","40","56","65","640"
"2020-08-18","522","35","70","62","449"
"2020-08-19","605","36","82","56","532"
"2020-08-20","409","39","103","148","1103"
"2020-08-21","343","35","75","83","544"
"2020-08-22","386","29","67","56","469"
"2020-08-23","364","35","36","34","430"
"2020-08-24","263","16","36","44","379"
"2020-08-25","415","34","76","77","461"
"2020-08-26","376","31","50","61","372"
"2020-08-27","387","46","56","55","398"
"2020-08-28","389","35","36","42","406"
"2020-08-29","310","26","52","26","284"
"2020-08-30","328","33","43","38","352"
"2020-08-31","223","14","22","31","264"
"2020-09-01","159","10","19","23","160"
"2020-09-02","106","9","24","17","92"
"2020-09-03","125","11","13","16","139"
"2020-09-04","96","9","22","10","175"
"2020-09-05","199","22","34","28","256"
"2020-09-06","299","21","40","25","420"
"2020-09-07","133","6","11","16","158"
"2020-09-08","95","7","11","14","94"
"2020-09-09","149","10","16","18","159"
"2020-09-10","97","8","10","9","99"
