ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2020/1/1,241,14,21,12,68
2020/1/2,510,35,51,36,234
2020/1/3,145,21,22,13,101
2020/1/4,281,14,15,22,81
2020/1/5,629,43,55,30,238
2020/1/6,78,14,17,13,88
2020/1/7,150,23,19,12,94
2020/1/8,264,21,28,28,161
2020/1/9,3405,694,1112,893,4924
2020/1/10,983,299,463,311,1583
2020/1/11,681,151,279,205,945
2020/1/12,1322,184,205,139,659
2020/1/13,609,85,146,84,388
2020/1/14,566,94,106,77,352
2020/1/15,-905,34,84,53,267
2020/1/16,322,98,112,68,264
2020/1/17,178,51,44,28,118
2020/1/18,1253,118,191,100,508
2020/1/19,479,67,105,73,236
2020/1/20,-1365,9,52,17,62
2020/1/21,321,48,75,49,194
2020/1/22,-50,58,74,42,227
2020/1/23,687,89,77,64,326
2020/1/24,312,423,434,259,614
2020/1/25,374,51,57,47,163
2020/1/26,735,103,87,70,251
2020/1/27,201,45,49,34,157
2020/1/28,483,55,72,39,199
2020/1/29,516,53,72,41,243
2020/1/30,819,81,132,79,314
2020/1/31,101,31,31,31,131
2020/2/1,616,70,91,56,267
2020/2/2,422,64,83,49,239
2020/2/3,444,32,29,17,83
2020/2/4,98,67,101,54,286
2020/2/5,852,85,98,58,276
2020/2/6,438,72,63,48,206
2020/2/7,259,30,42,28,102
2020/2/8,1297,90,95,61,255
2020/2/9,1211,56,94,67,262
2020/2/10,-633,26,88,42,299
2020/2/11,621,71,97,57,353
2020/2/12,835,59,103,52,398
2020/2/13,581,64,88,67,371
2020/2/14,1176,108,154,138,735
2020/2/15,1470,62,100,76,359
2020/2/16,2406,133,151,116,704
2020/2/17,-1464,-5,53,59,338
2020/2/18,851,64,81,80,372
2020/2/19,638,45,60,56,317
2020/2/20,1217,104,112,105,611
2020/2/21,542,63,69,50,389
2020/2/22,962,35,52,31,204
2020/2/23,2145,92,116,63,536
2020/2/24,-678,62,107,102,716
2020/2/25,1052,128,204,128,876
2020/2/26,1069,124,183,107,698
2020/2/27,797,59,47,34,147
2020/2/28,1013,107,178,149,916
2020/2/29,1050,83,115,95,578
2020/3/1,771,39,55,23,189
2020/3/2,913,115,153,135,861
2020/3/3,468,47,73,51,279
2020/3/4,1676,123,165,137,759
2020/3/5,884,86,95,86,506
2020/3/6,1119,76,111,73,509
2020/3/7,868,45,54,39,168
2020/3/8,1873,115,115,80,527
2020/3/9,-408,72,132,155,811
2020/3/10,793,79,132,75,536
2020/3/11,1014,84,136,79,534
2020/3/12,695,65,115,83,450
2020/3/13,873,89,120,100,472
2020/3/14,700,82,97,76,427
2020/3/15,855,45,43,43,155
2020/3/16,1099,166,232,191,958
2020/3/17,1008,83,173,143,740
2020/3/18,1015,109,157,103,700
2020/3/19,680,76,104,74,611
2020/3/20,1128,99,136,122,738
2020/3/21,252,43,52,48,357
2020/3/22,840,45,71,45,309
2020/3/23,663,84,148,128,1022
2020/3/24,906,88,127,103,656
2020/3/25,678,61,110,86,530
2020/3/26,718,53,114,95,563
2020/3/27,849,95,115,134,703
2020/3/28,420,57,89,59,395
2020/3/29,1574,88,102,104,438
2020/3/30,-313,17,73,91,431
2020/3/31,15859,2547,3606,2519,10943
2020/4/1,3345,585,676,355,1488
2020/4/2,-27,67,94,30,217
2020/4/3,363,73,79,72,205
2020/4/4,2675,351,554,458,2586
2020/4/5,1645,100,162,106,567
2020/4/6,437,64,37,26,193
2020/4/7,-768,-2,23,18,213
2020/4/8,-197,23,58,23,218
2020/4/9,344,65,76,71,387
2020/4/10,252,36,48,57,291
2020/4/11,942,87,84,61,224
2020/4/12,1780,95,135,70,440
2020/4/13,-1128,-35,9,1,18
2020/4/14,747,71,80,56,297
2020/4/15,-10,45,69,54,269
2020/4/16,477,63,70,55,296
2020/4/17,-1896,-300,-492,-347,-1616
2020/4/18,-350,-62,-55,-10,-2
2020/4/19,67,-91,-56,-30,-166
2020/4/20,-45,-3,29,36,316
2020/4/21,690,36,53,74,340
2020/4/22,73,19,36,28,123
2020/4/23,748,45,83,67,321
2020/4/24,311,15,38,46,233
2020/4/25,897,51,64,45,221
2020/4/26,-706,-17,-18,-3,-73
2020/4/27,-55,-9,6,1,-88
2020/4/28,-8,5,38,23,74
2020/4/29,264,58,69,48,270
2020/4/30,879,121,195,145,830
2020/5/1,1081,153,149,136,551
2020/5/2,-139,-9,4,26,46
2020/5/3,418,68,82,74,382
2020/5/4,0,0,0,0,0
2020/5/5,115241,14621,20302,14663,77920
2020/5/6,-145,20,1,39,102
2020/5/7,0,0,0,0,0
2020/5/8,114359,14651,20368,14778,78256
2020/5/9,554,50,82,52,307
2020/5/10,159,-6,-22,-23,-119
2020/5/11,725,70,151,84,370
2020/5/12,-485,-12,0,12,53
2020/5/13,244,36,47,29,135
2020/5/14,189,39,54,34,193
2020/5/15,484,22,34,18,83
2020/5/16,217,62,98,59,361
2020/5/17,800,58,54,65,130
2020/5/18,-23,10,8,20,25
2020/5/19,-664,-16,9,38,132
2020/5/20,40,-2,10,13,55
2020/5/21,105,3,30,32,129
2020/5/22,382,22,47,42,225
2020/5/23,135,11,50,22,215
2020/5/24,716,33,36,38,146
2020/5/25,-214,9,2,5,59
2020/5/26,-764,-19,-6,-2,16
2020/5/27,92,15,21,20,145
2020/5/28,82,13,19,19,107
2020/5/29,51,8,7,17,95
2020/5/30,362,35,39,28,263
2020/5/31,1192,74,106,52,434
2020/6/1,-905,-36,-26,-14,-46
2020/6/2,42,9,20,14,37
2020/6/3,105,11,25,3,95
2020/6/4,75,15,11,2,55
2020/6/5,430,13,46,38,214
2020/6/6,559,46,38,27,272
2020/6/7,965,37,38,16,313
2020/6/8,-571,-41,-19,-15,-92
2020/6/9,-458,-21,-2,-15,-78
2020/6/10,-123,-7,-5,12,-31
2020/6/11,254,9,25,26,180
2020/6/12,173,15,29,16,94
2020/6/13,-171,5,8,-4,38
2020/6/14,887,29,69,50,257
2020/6/15,-783,-22,-2,2,-72
2020/6/16,251,6,-7,-5,51
2020/6/17,-30,8,1,9,86
2020/6/18,540,77,172,139,841
2020/6/19,173,19,72,55,349
2020/6/20,687,83,150,136,871
2020/6/21,544,26,38,21,179
2020/6/22,-1075,-38,-33,-10,-120
2020/6/23,258,37,63,67,329
2020/6/24,24,1,24,26,135
2020/6/25,786,43,80,83,482
2020/6/26,1505,101,104,114,671
2020/6/27,722,36,54,51,271
2020/6/28,-1746,-38,-45,-12,-134
2020/6/29,-146,-12,6,-17,-56
2020/6/30,111,14,26,8,104
2020/7/1,88,-8,12,10,89
2020/7/2,11,12,45,28,59
2020/7/3,-99,11,9,14,84
2020/7/4,420,19,47,43,240
2020/7/5,1055,50,94,62,439
2020/7/6,-673,-7,-4,1,-39
2020/7/7,-59,9,46,28,116
2020/7/8,93,31,39,32,99
2020/7/9,1570,288,436,402,1705
2020/7/10,-1990,-550,-884,-710,-4195
2020/7/11,141,-118,-209,-117,-593
2020/7/12,-179,-97,-163,-100,-506
2020/7/13,-671,-42,-25,-7,26
2020/7/14,238,41,57,30,-139
2020/7/15,257,33,47,38,230
2020/7/16,696,19,-7,56,294
2020/7/17,-878,-118,-67,-23,-17
2020/7/18,-452,-62,-75,-27,-174
2020/7/19,624,4,11,19,167
2020/7/20,756,22,35,39,300
2020/7/21,-1061,-13,-8,-10,-6
2020/7/22,399,27,51,73,393
2020/7/23,21,-1,2,46,133
2020/7/24,136,39,509,880,1863
2020/7/25,-177,-333,-280,-116,-293
2020/7/26,935,97,342,472,1270
2020/7/27,-112,-53,-12,17,65
2020/7/28,-858,6,25,104,107
2020/7/29,128,-13,1,20,1
2020/7/30,82,2,45,74,233
2020/7/31,86,6,1,19,74
2020/8/1,831,41,62,55,267
2020/8/2,321,-40,-46,-18,23
2020/8/3,184,30,30,66,248
2020/8/4,-211,-45,-55,-29,-183
2020/8/5,-969,-42,22,24,34
2020/8/6,187,-26,-11,-8,29
2020/8/7,-94,-28,10,19,71
2020/8/8,0,0,0,0,0
2020/8/9,122583,14791,22494,17994,90226
2020/8/10,553,33,85,166,427
2020/8/11,-1405,-44,-51,7,-192
2020/8/12,-406,-26,-51,-4,-160
2020/8/13,-454,21,48,50,38
2020/8/14,-242,-37,-77,-41,-273
2020/8/15,-280,-21,-15,-7,-200
2020/8/16,0,0,0,0,0
2020/8/17,119463,14674,22420,18226,89941
2020/8/18,-110,1,-13,25,-38
2020/8/19,-646,-62,-37,-44,-367
2020/8/20,-438,-26,2,13,-181
2020/8/21,-178,25,80,124,542
2020/8/22,-347,38,38,52,21
2020/8/23,281,7,40,29,-49
2020/8/24,-726,-21,-10,6,-177
2020/8/25,-772,-76,-94,-69,-501
2020/8/26,-1511,-130,-168,-66,-685
2020/8/27,-554,-60,-56,-47,-331
2020/8/28,-415,-35,-35,-11,-228
2020/8/29,-434,-12,-15,-14,-188
2020/8/30,611,36,40,38,226
2020/8/31,-154,22,45,31,167
2020/9/1,-620,-59,-82,-72,-412
2020/9/2,-739,-58,-78,-57,-407
2020/9/3,-613,-53,-84,-74,-449
2020/9/4,-645,-61,-78,-66,-401
2020/9/5,-408,-53,-56,-57,-360
2020/9/6,345,14,-8,1,99
2020/9/7,-687,-63,-99,-80,-415
2020/9/8,-1149,-82,-89,-89,-486
2020/9/9,154,12,22,23,32
2020/9/10,-1691,-138,-205,-172,-973
2020/9/11,-797,-67,-104,-57,-422
2020/9/12,-412,-54,-93,-58,-179
2020/9/13,-727,-72,-84,-78,-380
2020/9/14,-224,-48,-58,-36,-227
2020/9/15,-1401,-91,-73,-70,-337
2020/9/16,-906,-71,-101,-89,-534
2020/9/17,-789,-108,-208,-168,-880
2020/9/18,-884,-70,-108,-96,-490
2020/9/19,-631,-43,-79,-51,-397
2020/9/20,0,0,0,0,0
2020/9/21,101106,13170,20503,16904,80247
2020/9/22,-1596,-126,-183,-155,-1040
2020/9/23,0,0,0,0,0
2020/9/24,0,0,0,0,0
2020/9/25,99042,13155,20563,16904,79819
2020/9/26,799,111,224,178,799
2020/9/27,-1472,-64,-91,-58,-373
2020/9/28,-509,-62,-64,-95,-663
2020/9/29,0,0,0,0,0
2020/9/30,96809,13015,20476,16760,78732
2020/10/1,-16213,-2668,-3685,-2612,-11382
2020/10/2,-2230,-353,-408,-157,-743
2020/10/3,-745,-82,-77,-42,-384
2020/10/4,-354,-104,-122,-93,-579
2020/10/5,-104,-9,-56,-32,-431
2020/10/6,-605,-62,-83,-33,-249
2020/10/7,-268,-22,-51,-34,-212
2020/10/8,-487,-74,-68,-54,-430
2020/10/9,-594,-81,-116,-71,-485
2020/10/10,-754,-68,-70,-84,-418
2020/10/11,-56,-39,-70,-37,-168
2020/10/12,124,5,15,4,35
2020/10/13,-722,-71,-95,-57,-291
2020/10/14,-1063,-102,-172,-138,-780
2020/10/15,-620,-87,-99,-78,-436
2020/10/16,-423,-49,-80,-62,-289
2020/10/17,-987,-69,-65,-37,-298
2020/10/18,0,0,0,0,0
2020/10/19,70151,8981,14992,12973,60239
2020/10/20,-859,-58,-104,-68,-440
2020/10/21,0,0,0,0,0
2020/10/22,68432,8853,14753,12796,59197
2020/10/23,-398,-56,-78,-57,-258
2020/10/24,0,0,0,0,0
2020/10/25,0,0,0,0,0
2020/10/26,0,0,0,0,0
2020/10/27,66821,8671,14545,12628,58254
2020/10/28,-247,-36,-45,-59,-227
2020/10/29,0,0,0,0,0
2020/10/30,0,0,0,0,0
2020/10/31,0,0,0,0,0
2020/11/1,0,0,0,0,0
2020/11/2,0,0,0,0,0
2020/11/3,64352,8276,14048,12211,56474
2020/11/4,0,0,0,0,0
2020/11/5,0,0,0,0,0
2020/11/6,62985,8111,13827,12050,55554
2020/11/7,0,0,0,0,0
2020/11/8,63502,8118,13793,12011,55462
2020/11/9,-254,-46,-69,-49,-307
2020/11/10,-432,-46,-73,-40,-290
2020/11/11,-1194,-67,-97,-52,-318
2020/11/12,-208,-26,-51,-41,-170
2020/11/13,-294,-39,-50,-41,-190
2020/11/14,-126,-42,-67,-31,-193
2020/11/15,328,-20,-6,-4,24
2020/11/16,-158,-31,-64,-13,-127
