日期,华为,小米,VIVO,OPPO,魅族,应用宝,百度,360
2020/1/1,0,985500,225382,932215,1350351,246890,10000000,24336
2020/1/2,0,927384,88042,754033,1054167,285474,0,29664
2020/1/3,0,676030,307445,434971,900901,175595,0,5839
2020/1/4,0,686800,139890,643464,745023,0,0,17385
2020/1/5,0,782918,183350,783722,1243683,193257,10000000,13337
2020/1/6,0,748264,520542,592622,890943,472179,0,11334
2020/1/7,0,590716,336091,442923,772950,166297,0,9925
2020/1/8,0,570540,60914,522285,562702,0,10000000,26372
2020/1/9,0,606314,82275,10261953,694141,367287,0,14079
2020/1/10,0,6408740,450585,14633606,1605945,813534,0,24187
2020/1/11,0,9239262,858920,5808171,1603947,808707,10000000,56203
2020/1/12,100000000,7974504,846501,1991492,2252779,679641,0,40639
2020/1/13,0,0,731900,1478764,1737150,523829,0,44661
2020/1/14,0,12249024,648865,1099455,1180872,423990,0,39722
2020/1/15,0,4506704,46604,1228283,1173198,409707,0,24472
2020/1/16,0,3769210,61570,956557,996844,418359,0,32870
2020/1/17,0,3226232,823433,2293592,1025113,449460,0,29399
2020/1/18,0,5343400,838789,14133877,1660180,641590,9682676,30924
2020/1/19,0,10096896,837367,0,2129917,905230,0,28922
2020/1/20,0,6890126,821570,18176382,1386723,696969,0,21249
2020/1/21,100000000,4244066,20553,1721792,1484075,560374,0,26640
2020/1/22,0,2785692,11021,1364066,1705194,511597,0,23449
2020/1/23,0,2311700,22525,1317359,1894257,0,0,19921
2020/1/24,0,1940150,70612,1457258,1936680,980176,0,46719
2020/1/25,0,1837396,358451,1536283,2489031,666005,0,29396
2020/1/26,0,1234844,1106762,1356420,1506253,0,0,30706
2020/1/27,0,1436778,988163,1207590,1875487,484806,0,21408
2020/1/28,0,1247698,871222,1064399,2330489,0,30000000,33985
2020/1/29,0,1115084,813962,995515,1966457,1246203,10000000,13884
2020/1/30,0,1000766,769696,941697,2238596,0,10000000,21064
2020/1/31,0,918226,738827,905555,1746651,0,0,28812
2020/2/1,0,834786,713469,873136,2052743,730936,0,0
2020/2/2,0,773690,699829,552824,1700910,363547,0,0
2020/2/3,0,738622,681369,1025506,1678583,0,0,0
2020/2/4,0,711792,674898,775946,1966070,705015,0,70503
2020/2/5,0,681534,656403,756655,1548252,341271,20000000,17609
2020/2/6,0,662610,649662,747928,1104097,329041,0,15732
2020/2/7,0,641768,643645,753084,1128601,0,0,0
2020/2/8,0,629070,644789,500341,1327781,642409,0,27310
2020/2/9,0,649854,682821,1091818,1229132,331214,0,18789
2020/2/10,0,617300,645221,818364,1403802,320000,0,21995
2020/2/11,0,599464,9308,818181,582562,334448,0,26572
2020/2/12,0,588074,659510,820845,669033,323174,0,13190
2020/2/13,0,572126,649504,806313,661023,310825,0,0
2020/2/14,0,576822,642179,488713,879186,309811,0,0
