日期,一星,二星,三星,四星,五星
2020/1/1,430,112,160,191,969
2020/1/2,264,40,67,100,492
2020/1/3,367,98,123,156,680
2020/1/4,430,145,186,268,1138
2020/1/5,405,122,144,189,865
2020/1/6,304,88,112,116,537
2020/1/7,317,83,95,134,682
2020/1/8,569,154,177,250,1340
2020/1/9,17340,4512,6021,8503,38322
2020/1/10,2584,798,1075,1585,6134
2020/1/11,1234,422,572,788,3809
2020/1/12,963,301,403,526,2381
2020/1/13,655,240,264,368,1768
2020/1/14,597,157,257,303,1556
2020/1/15,617,200,267,384,1610
2020/1/16,852,249,268,436,1803
2020/1/17,801,286,291,458,2010
2020/1/18,1031,294,387,478,2173
2020/1/19,810,264,307,461,2012
2020/1/20,770,223,294,377,1679
2020/1/21,926,279,352,450,1756
2020/1/22,1000,312,383,470,2031
2020/1/23,899,318,370,567,2303
2020/1/24,2805,581,712,1018,4494
2020/1/25,1132,411,454,650,2303
2020/1/26,1200,377,487,637,2368
2020/1/27,1141,320,487,543,2318
2020/1/28,1077,427,409,650,2330
2020/1/29,991,321,400,544,2134
2020/1/30,1057,423,397,511,2074
2020/1/31,1041,334,391,532,2115
2020/2/1,921,246,349,436,1703
2020/2/2,1117,313,405,440,1858
2020/2/3,914,319,349,412,1717
2020/2/4,987,315,371,497,1823
2020/2/5,1165,346,353,509,1819
2020/2/6,1221,406,444,515,1987
2020/2/7,1273,387,367,537,2114
2020/2/8,1020,358,379,452,2152
2020/2/9,1228,346,371,398,1720
2020/2/10,1058,310,404,480,2180
2020/2/11,1519,405,459,505,2281
2020/2/12,1383,401,376,561,2108
2020/2/13,1696,464,478,631,2535
2020/2/14,1761,478,537,690,2622
2020/2/15,1766,457,471,661,2484
2020/2/16,1776,451,434,618,2362
2020/2/17,1680,441,434,527,2362
2020/2/18,1955,411,469,537,2437
2020/2/19,1734,373,450,618,2386
2020/2/20,1402,334,386,445,2170
2020/2/21,1133,256,190,386,2433
2020/2/22,1040,220,204,380,2100
2020/2/23,817,189,186,443,2965
2020/2/24,1097,311,333,571,4210
2020/2/25,4458,1081,1294,1094,711
2020/2/26,1607,355,417,488,2107
2020/2/27,1363,324,357,502,1883
2020/2/28,1234,312,343,391,1928
2020/2/29,1366,291,335,399,1859
2020/3/1,1181,264,294,415,1673
2020/3/2,1081,271,294,389,1655
2020/3/3,605,269,258,380,1666
2020/3/4,320,35,27,-21,-651
2020/3/5,817,160,216,314,1310
2020/3/6,1075,274,300,347,1391
2020/3/7,1117,260,324,419,1822
2020/3/8,1289,261,303,360,1643
2020/3/9,1257,288,325,403,1794
2020/3/10,1221,265,270,438,1610
2020/3/11,1142,243,308,411,1814
2020/3/12,1205,285,300,367,1715
2020/3/13,398,94,129,159,770
2020/3/14,12,6,4,5,23
2020/3/15,2,3,-1,1,5
2020/3/16,122,35,32,55,202
2020/3/17,2595,566,672,916,3886
2020/3/18,4843,1321,1547,2093,8704
2020/3/19,1165,366,407,537,1838
