日期,下载量预估~iPhone
2024/12/31,22611
2024/12/30,23575
2024/12/29,25229
2024/12/28,21386
2024/12/27,17413
2024/12/26,16945
2024/12/25,17866
2024/12/24,20765
2024/12/23,22001
2024/12/22,30040
2024/12/21,21948
2024/12/20,17468
2024/12/19,21577
2024/12/18,20525
2024/12/17,22404
2024/12/16,22375
2024/12/15,29996
2024/12/14,20484
2024/12/13,17887
2024/12/12,17757
2024/12/11,20711
2024/12/10,20750
2024/12/9,22920
2024/12/8,25772
2024/12/7,19904
2024/12/6,18470
2024/12/5,17706
2024/12/4,17952
2024/12/3,26305
2024/12/2,24380
2024/12/1,35493
2024/11/30,19771
2024/11/29,20435
2024/11/28,17867
2024/11/27,20620
2024/11/26,21790
2024/11/25,24340
2024/11/24,19686
2024/11/23,12931
2024/11/22,17919
2024/11/21,17715
2024/11/20,20812
2024/11/19,25400
2024/11/18,33173
2024/11/17,31972
2024/11/16,16022
2024/11/15,18474
2024/11/14,19349
2024/11/13,18899
2024/11/12,21705
2024/11/11,24686
2024/11/10,31012
2024/11/9,21899
2024/11/8,16818
2024/11/7,17842
2024/11/6,18561
2024/11/5,29400
2024/11/4,32898
2024/11/3,36628
2024/11/2,19208
2024/11/1,20013
2024/10/31,17577
2024/10/30,20533
2024/10/29,21602
2024/10/28,36434
2024/10/27,33085
2024/10/26,22040
2024/10/25,17227
2024/10/24,20532
2024/10/23,20806
2024/10/22,22565
2024/10/21,42703
2024/10/20,32899
2024/10/19,24627
2024/10/18,21468
2024/10/17,21024
2024/10/16,21763
2024/10/15,27564
2024/10/14,28013
2024/10/13,31339
2024/10/12,22689
2024/10/11,19708
2024/10/10,25204
2024/10/9,28370
2024/10/8,32462
2024/10/7,39078
2024/10/6,39672
2024/10/5,37574
2024/10/4,39276
2024/10/3,25315
2024/10/2,31177
2024/10/1,26855
2024/9/30,23505
2024/9/29,27713
2024/9/28,21892
2024/9/27,23655
2024/9/26,16765
2024/9/25,18600
2024/9/24,26507
2024/9/23,37265
2024/9/22,35347
2024/9/21,22885
2024/9/20,24499
2024/9/19,22624
2024/9/18,36331
2024/9/17,32615
2024/9/16,31298
