"日期","收入预估~iPhone"
"2024-12-31","517355"
"2024-12-30","487370"
"2024-12-29","517943"
"2024-12-28","516201"
"2024-12-27","258229"
"2024-12-26","368712"
"2024-12-25","380540"
"2024-12-24","455772"
"2024-12-23","477725"
"2024-12-22","432219"
"2024-12-21","452319"
"2024-12-20","316582"
"2024-12-19","352312"
"2024-12-18","518326"
"2024-12-17","429558"
"2024-12-16","470139"
"2024-12-15","474485"
"2024-12-14","698469"
"2024-12-13","1212018"
"2024-12-12","412460"
"2024-12-11","454257"
"2024-12-10","518122"
"2024-12-09","516372"
"2024-12-08","658946"
"2024-12-07","1487451"
"2024-12-06","1507824"
"2024-12-05","384457"
"2024-12-04","491940"
"2024-12-03","520517"
"2024-12-02","508657"
"2024-12-01","749417"
"2024-11-30","494846"
"2024-11-29","764276"
"2024-11-28","699659"
"2024-11-27","635549"
"2024-11-26","1155958"
"2024-11-25","1248858"
"2024-11-24","648538"
"2024-11-23","321476"
"2024-11-22","333338"
"2024-11-21","427498"
"2024-11-20","547723"
"2024-11-19","619236"
"2024-11-18","760948"
"2024-11-17","703861"
"2024-11-16","866291"
"2024-11-15","526115"
"2024-11-14","617739"
"2024-11-13","622071"
"2024-11-12","648835"
"2024-11-11","1812353"
"2024-11-10","1630468"
"2024-11-09","1782435"
"2024-11-08","1013352"
"2024-11-07","468222"
"2024-11-06","658838"
"2024-11-05","1434558"
"2024-11-04","496960"
"2024-11-03","503998"
"2024-11-02","674422"
"2024-11-01","425342"
"2024-10-31","487834"
"2024-10-30","520554"
"2024-10-29","562411"
"2024-10-28","659002"
"2024-10-27","569032"
"2024-10-26","622132"
"2024-10-25","300519"
"2024-10-24","335389"
"2024-10-23","454687"
"2024-10-22","499519"
"2024-10-21","694529"
"2024-10-20","707138"
"2024-10-19","1264104"
"2024-10-18","1486734"
"2024-10-17","175821"
"2024-10-16","237311"
"2024-10-15","246227"
"2024-10-14","268420"
"2024-10-13","313199"
"2024-10-12","276948"
"2024-10-11","235101"
"2024-10-10","227976"
"2024-10-09","267208"
"2024-10-08","313166"
"2024-10-07","311235"
"2024-10-06","230063"
"2024-10-05","298968"
"2024-10-04","356713"
"2024-10-03","348970"
"2024-10-02","334016"
"2024-10-01","478712"
"2024-09-30","544272"
"2024-09-29","309608"
"2024-09-28","610478"
"2024-09-27","311613"
"2024-09-26","326974"
"2024-09-25","485881"
"2024-09-24","444836"
"2024-09-23","343528"
"2024-09-22","372681"
"2024-09-21","705692"
"2024-09-20","397561"
"2024-09-19","520146"
"2024-09-18","577828"
"2024-09-17","621637"
"2024-09-16","1397358"
"2024-09-15","1269194"
"2024-09-14","1658046"
"2024-09-13","1817524"
"2024-09-12","434909"
"2024-09-11","486402"
"2024-09-10","575285"
"2024-09-09","654816"
"2024-09-08","1258726"
"2024-09-07","1258156"
"2024-09-06","543442"
"2024-09-05","246846"
"2024-09-04","255996"
"2024-09-03","311728"
"2024-09-02","288345"
"2024-09-01","250371"
"2024-08-31","268176"
"2024-08-30","177624"
"2024-08-29","238650"
"2024-08-28","236373"
"2024-08-27","313462"
"2024-08-26","468951"
"2024-08-25","498274"
"2024-08-24","437084"
"2024-08-23","397599"
"2024-08-22","571169"
"2024-08-21","549673"
"2024-08-20","472624"
"2024-08-19","567760"
