date,sum
2020/1/31,272764381
2020/2/29,87730877
2020/3/31,185615545
2020/4/30,226032211
2020/5/31,127888405
2020/6/30,361469187
2020/7/31,96961968
2020/8/31,185916952
2020/9/30,130433187
2020/10/31,194067685
2020/11/30,121906086
2020/12/31,76431671
2021/1/31,195875055
2021/2/28,103859670
2021/3/31,43859885
2021/4/30,194823685
2021/5/31,92758131
2021/6/30,207633445
2021/7/31,304888194
2021/8/31,192874220
2021/9/30,164581456
2021/10/31,123694270
2021/11/30,245706831
2021/12/31,82549240
2022/1/31,168328040
2022/2/28,274773187
2022/3/31,94447082
2022/4/30,139268074
2022/5/31,100562790
2022/6/30,32983844
2022/7/31,157364216
2022/8/31,50860768
2022/9/30,85466140
2022/10/31,144326737
2022/11/30,41157461
2022/12/31,62023553
2023/1/31,65040453
2023/2/28,139477149
2023/3/31,48475123
2023/4/30,35711491
2023/5/31,32609104
2023/6/30,39148600
2023/7/31,67614527
2023/8/31,153118201
2023/9/30,43482799
2023/10/31,28707373
2023/11/30,23057151
2023/12/31,40370557
2024/1/31,139463038
2024/2/29,51312390
2024/3/31,44766045
2024/4/30,64234324
2024/5/31,30010677
2024/6/30,51211947
2024/7/31,51808567
2024/8/31,145979279
2024/9/30,39719802
2024/10/31,13311919
2024/11/30,12210955
2024/12/31,12340368
2025/1/31,3032205
2025/2/28,2859954
2025/3/31,2550877
