date,monthearning
2020/1/31,56783284
2020/2/29,55798335
2020/3/31,59964423
2020/4/30,57208934
2020/5/31,57430703
2020/6/30,52138813
2020/7/31,53725969
2020/8/31,57017216
2020/9/30,52123495
2020/10/31,52924354
2020/11/30,50278018
2020/12/31,53503920
2021/1/31,63023226
2021/2/28,73809248
2021/3/31,69345722
2021/4/30,65803626
2021/5/31,67564314
2021/6/30,51289841
2021/7/31,87880156
2021/8/31,77376735
2021/9/30,51514830
2021/10/31,42574589
2021/11/30,70165380
2021/12/31,79136310
2022/1/31,75784832
2022/2/28,66976448
2022/3/31,52132812
2022/4/30,57354402
2022/5/31,63640470
2022/6/30,47553939
2022/7/31,60305780
2022/8/31,53515917
2022/9/30,47712037
2022/10/31,51788377
2022/11/30,47714519
2022/12/31,61022319
2023/1/31,74677968
2023/2/28,54878131
2023/3/31,47191197
2023/4/30,50280138
2023/5/31,50475082
2023/6/30,49442933
2023/7/31,54741187
2023/8/31,51236553
2023/9/30,49063458
2023/10/31,52057547
2023/11/30,50537769
2023/12/31,53551341
2024/1/31,45688013
2024/2/29,50530948
2024/3/31,55807346
2024/4/30,54257836
2024/5/31,55684338
2024/6/30,47883628
2024/7/31,52422796
2024/8/31,52601783
2024/9/30,53086179
2024/10/31,55215810
2024/11/30,52441187
2024/12/31,30505320
2025/1/31,52755150
2025/2/28,51450213
2025/3/31,51203530
