date,VIVO,OPPO,3,6,7,monthDownloads
2020-01-31,14681829,91036301,46140699,561841128,3287640,716987597
2020-02-29,14651085,58643842,38893122,292448406,3096296,407732751
2020-03-31,17288598,73772779,32301125,393079532,3171995,519614029
2020-04-30,20061237,75077734,12777320,250757317,2804054,361477662
2020-05-31,17264258,26381224,5093003,221191827,2567080,272497392
2020-06-30,16335026,34175121,7642369,246857562,3093249,308103327
2020-07-31,22977288,89022531,7669514,385850305,3145374,508665012
2020-08-31,22341057,109049176,8681999,297398603,3080109,440550944
2020-09-30,13496982,108120099,5261314,279342440,3181553,409402388
2020-10-31,16954094,32495301,2452309,92550540,3456915,147909159
2020-11-30,10176967,18247308,1220508,163165698,3172604,195983085
2020-12-31,7676794,20193415,1799567,60529305,3091656,93290737
2021-01-31,13452815,47709829,3970645,92299781,3102822,160535892
2021-02-28,15407505,32882662,2156903,188931426,2591930,241970426
2021-03-31,8640092,15721340,1282361,45206441,3419788,74270022
2021-04-30,7866544,31445620,2516120,76495574,3188351,121512209
2021-05-31,46050260,17915119,1283753,75699350,2946662,143895144
2021-06-30,87140622,33978137,1780644,251467686,2989597,377356686
2021-07-31,91114264,24572049,1663640,138911830,3036830,259298613
2021-08-31,116529370,55066760,3270953,300197499,2989754,478054336
2021-09-30,72292674,39166010,4181345,145261109,2961759,263862897
2021-10-31,77447108,17318958,1330910,110809239,3121750,210027965
2021-11-30,59198039,10510506,620182,177562417,3288311,251179455
2021-12-31,54964749,10218085,548267,71194336,3376583,140302020
2022-01-31,92312040,37498000,986104,250410169,3191995,384398308
2022-02-28,117920140,38658437,1112126,178384871,2956964,339032538
2022-03-31,68135795,19001017,900408,105814690,3159582,197011492
2022-04-30,59848866,28257406,725357,204741391,2840526,296413546
2022-05-31,55929558,13526529,370609,78743014,3083604,151653314
2022-06-30,9133277,19466770,496920,44490137,2766501,76353605
2022-07-31,16693353,20417171,448366,45737638,2341788,85638316
2022-08-31,15592138,17600047,364939,142614643,1676307,177848074
2022-09-30,10795179,20742379,372140,36365410,2449430,70724538
2022-10-31,12504820,15553040,321115,36676763,2010405,67066143
2022-11-30,11186816,12225941,215965,32892246,2651980,59172948
2022-12-31,13551869,16739133,221481,37585213,2962485,71060181
2023-01-31,18397706,36038257,447082,162891566,1838536,219613147
2023-02-28,10223655,12978133,207763,29574331,1712916,54696798
2023-03-31,8962167,11238156,164313,26476434,2010722,48851792
2023-04-30,10228919,23512274,297421,41926928,2337012,78302554
2023-05-31,9843930,13703616,223248,32971236,2868492,59610522
2023-06-30,11596678,23019021,393873,145339135,2634245,182982952
2023-07-31,15079254,26686647,271961,57183438,3055300,102276600
2023-08-31,14151968,17172124,215103,43437001,2173276,77149472
2023-09-30,9704124,50249815,513108,169233389,2908482,232608918
2023-10-31,9455809,14169030,158409,29950463,2174521,55908232
2023-11-30,7705274,8987901,115442,22456112,2733153,41997882
2023-12-31,8913333,11078652,124653,27761180,3728273,51606091
2024-01-31,12654457,42872017,478190,163734087,3431817,223170568
2024-02-29,16312654,23023328,162952,49904270,3405774,92808978
2024-03-31,10574646,16944170,192339,34478398,3432831,65622384
2024-04-30,9894618,20692443,178449,79263496,3274947,113303953
2024-05-31,10875070,13566864,133513,35093401,3321142,62989990
2024-06-30,12579265,20415824,233831,144587845,3310393,181127158
2024-07-31,14651993,26363374,230194,51522289,3114339,95882189
2024-08-31,12755304,16694613,125761,2393620776,3113786,2426310240
2024-09-30,9571861,8943223,223769,4737501766,2154948,4758395567
2024-10-31,10653580,0,181789,11939199,2042383,24816951
2024-11-30,8751962,0,97639,111818526,1806560,122474687
2024-12-31,9140158,0,201826,10753413,1787586,21882983
