date,monthearning
2020-01-31,59648217
2020-02-29,55228429
2020-03-31,59149817
2020-04-30,57535457
2020-05-31,59144033
2020-06-30,56446407
2020-07-31,57950760
2020-08-31,58301471
2020-09-30,56395435
2020-10-31,57879021
2020-11-30,55930844
2020-12-31,58434094
2021-01-31,90907366
2021-02-28,90585233
2021-03-31,110203875
2021-04-30,107787076
2021-05-31,108137337
2021-06-30,108360069
2021-07-31,95833022
2021-08-31,108538948
2021-09-30,84643947
2021-10-31,114696120
2021-11-30,72998295
2021-12-31,62924914
2022-01-31,106010768
2022-02-28,100378342
2022-03-31,110192370
2022-04-30,105255679
2022-05-31,111039691
2022-06-30,106710847
2022-07-31,106034173
2022-08-31,109393049
2022-09-30,97285232
2022-10-31,89448648
2022-11-30,103095540
2022-12-31,90150708
2023-01-31,107437369
2023-02-28,97513999
2023-03-31,99848960
2023-04-30,83261697
2023-05-31,58127021
2023-06-30,54749318
2023-07-31,57637420
2023-08-31,57147327
2023-09-30,56413160
2023-10-31,56733302
2023-11-30,55560124
2023-12-31,57352775
2024-01-31,52740354
2024-02-29,54691469
2024-03-31,58267006
2024-04-30,56500650
2024-05-31,57952893
2024-06-30,54813769
2024-07-31,57356887
2024-08-31,58105100
2024-09-30,56051195
2024-10-31,58477821
2024-11-30,56251661
2024-12-31,57891894
