date,monthsum_download,monthdownload,
2020/1/31,22968454,290836,23259290
2020/2/29,9734070,239039,9973109
2020/3/31,8861104,241071,9102175
2020/4/30,15347412,299503,15646915
2020/5/31,22493057,303341,22796398
2020/6/30,16473655,287429,16761084
2020/7/31,137759576,406953,138166529
2020/8/31,23485161,304735,23789896
2020/9/30,10288922,267806,10556728
2020/10/31,10428129,298725,10726854
2020/11/30,9235706,313294,9549000
2020/12/31,7238686,246381,7485067
2021/1/31,6465726,204487,6670213
2021/2/28,11101855,358419,11460274
2021/3/31,5082037,301425,5383462
2021/4/30,2778712,293621,3072333
2021/5/31,6811132,287340,7098472
2021/6/30,9957914,298596,10256510
2021/7/31,11924530,356948,12281478
2021/8/31,16748335,357984,17106319
2021/9/30,10655168,223852,10879020
2021/10/31,9016482,268177,9284659
2021/11/30,7424861,272027,7696888
2021/12/31,5511884,255478,5767362
2022/1/31,50178542,292071,50470613
2022/2/28,11389846,279698,11669544
2022/3/31,7897728,313953,8211681
2022/4/30,10309707,327652,10637359
2022/5/31,17978258,361440,18339698
2022/6/30,3420925,337047,3757972
2022/7/31,5006965,375720,5382685
2022/8/31,4319164,344162,4663326
2022/9/30,29207657,260325,29467982
2022/10/31,3082150,307548,3389698
2022/11/30,2784369,336913,3121282
2022/12/31,4732002,354989,5086991
2023/1/31,5197331,334543,5531874
2023/2/28,2970656,274319,3244975
2023/3/31,2463670,262941,2726611
2023/4/30,4328264,292536,4620800
2023/5/31,2651322,289711,2941033
2023/6/30,3951439,356584,4308023
2023/7/31,5415553,394113,5809666
2023/8/31,5587823,379663,5967486
2023/9/30,3202702,264150,3466852
2023/10/31,3225521,329021,3554542
2023/11/30,2735553,378277,3113830
2023/12/31,3410708,469975,3880683
2024/1/31,5909609,640176,6549785
2024/2/29,8792067,752888,9544955
2024/3/31,6608763,1372504,7981267
2024/4/30,8825457,1321910,10147367
2024/5/31,7721843,1127822,8849665
2024/6/30,9542085,990623,10532708
2024/7/31,15405106,1507122,16912228
2024/8/31,62995479,947735,63943214
2024/9/30,127211912,793921,128005833
2024/10/31,146756083,851181,147607264
2024/11/30,100544377,667845,101212222
2024/12/31,78534982,680615,79215597
