date,monthearning
2020-01-31,2400592
2020-02-29,1676894
2020-03-31,1696609
2020-04-30,4224201
2020-05-31,2566856
2020-06-30,2010648
2020-07-31,2114808
2020-08-31,3135471
2020-09-30,1917159
2020-10-31,1283884
2020-11-30,1230257
2020-12-31,2156083
2021-01-31,1025379
2021-02-28,1510108
2021-03-31,1126577
2021-04-30,1811821
2021-05-31,1427473
2021-06-30,1286051
2021-07-31,1258871
2021-08-31,2211737
2021-09-30,1053686
2021-10-31,899420
2021-11-30,1285202
2021-12-31,1025659
2022-01-31,1873870
2022-02-28,1912977
2022-03-31,1199846
2022-04-30,3609365
2022-05-31,2066132
2022-06-30,1982624
2022-07-31,3029197
2022-08-31,3318491
2022-09-30,1658341
2022-10-31,1211728
2022-11-30,2226830
2022-12-31,1560444
2023-01-31,3791658
2023-02-28,4493496
2023-03-31,2677868
2023-04-30,2149268
2023-05-31,1658424
2023-06-30,2226921
2023-07-31,2394034
2023-08-31,4193127
2023-09-30,1506169
2023-10-31,1504590
2023-11-30,2268058
2023-12-31,2129042
2024-01-31,3307790
2024-02-29,6353061
2024-03-31,9021014
2024-04-30,12700633
2024-05-31,6390687
2024-06-30,8733020
2024-07-31,10355500
2024-08-31,13546559
2024-09-30,4908984
2024-10-31,6224546
2024-11-30,13547605
2024-12-31,7411824
