date,monthdownload,monthearning,sum
2020/1/31,0,0,0
2020/2/29,0,0,0
2020/3/31,0,0,0
2020/4/30,0,0,0
2020/5/31,0,0,0
2020/6/30,0,0,0
2020/7/31,0,0,0
2020/8/31,0,0,0
2020/9/30,0,0,0
2020/10/31,0,0,0
2020/11/30,0,0,0
2020/12/31,0,0,0
2021/1/31,0,0,0
2021/2/28,107,0,107
2021/3/31,126,0,126
2021/4/30,160,0,160
2021/5/31,261,0,261
2021/6/30,360,0,360
2021/7/31,428,0,428
2021/8/31,631,0,631
2021/9/30,1009,0,1009
2021/10/31,148070828,43687346,191758174
2021/11/30,38008690,33299539,71308229
2021/12/31,86248881,27787536,114036417
2022/1/31,40443643,27626415,68070058
2022/2/28,23485381,19282369,42767750
2022/3/31,16906892,16665601,33572493
2022/4/30,10787258,15803763,26591021
2022/5/31,12769703,17633404,30403107
2022/6/30,5207246,17304773,22512019
2022/7/31,7905552,15521847,23427399
2022/8/31,5339028,15796251,21135279
2022/9/30,5134652,22372879,27507531
2022/10/31,4694634,21822944,26517578
2022/11/30,6290080,23334367,29624447
2022/12/31,5197745,17020214,22217959
2023/1/31,6621085,18675387,25296472
2023/2/28,4081119,15800886,19882005
2023/3/31,5650601,16213207,21863808
2023/4/30,4190150,13397946,17588096
2023/5/31,5425751,19962682,25388433
2023/6/30,5267378,27357223,32624601
2023/7/31,7002661,23771832,30774493
2023/8/31,6956455,24446176,31402631
2023/9/30,4756404,22893026,27649430
2023/10/31,5136845,18287805,23424650
2023/11/30,5319179,28483070,33802249
2023/12/31,4965360,34270674,39236034
2024/1/31,6029179,23700758,29729937
2024/2/29,5973260,33728784,39702044
2024/3/31,4546986,26345910,30892896
2024/4/30,12663780,23187823,35851603
2024/5/31,4761577,23769262,28530839
2024/6/30,4355254,18535498,22890752
2024/7/31,6568973,21814975,28383948
2024/8/31,3578490,21039713,24618203
2024/9/30,1869933,19279879,21149812
2024/10/31,154676613,14083638,168760251
2024/11/30,151889294,23543763,175433057
2024/12/31,249527841,17546694,267074535
