date,monthearning
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,43687346.0
2021-11-30,33299539.0
2021-12-31,27787536.0
2022-01-31,27626415.0
2022-02-28,19282369.0
2022-03-31,16665601.0
2022-04-30,15803763.0
2022-05-31,17633404.0
2022-06-30,17304773.0
2022-07-31,15521847.0
2022-08-31,15796251.0
2022-09-30,22372879.0
2022-10-31,21822944.0
2022-11-30,23334367.0
2022-12-31,17020214.0
2023-01-31,18675387.0
2023-02-28,15800886.0
2023-03-31,16213207.0
2023-04-30,13397946.0
2023-05-31,19962682.0
2023-06-30,27357223.0
2023-07-31,23771832.0
2023-08-31,24446176.0
2023-09-30,22893026.0
2023-10-31,18287805.0
2023-11-30,28483070.0
2023-12-31,34270674.0
2024-01-31,23700758.0
2024-02-29,33728784.0
2024-03-31,26345910.0
2024-04-30,23187823.0
2024-05-31,23769262.0
2024-06-30,18535498.0
2024-07-31,21814975.0
2024-08-31,21039713.0
2024-09-30,19279879.0
2024-10-31,14083638.0
2024-11-30,23543763.0
2024-12-31,17546694.0
