date,points
2020/1/1,4.789726027
2020/1/2,4.801507538
2020/1/3,4.697089947
2020/1/4,4.762585034
2020/1/5,4.746656176
2020/1/6,4.733102253
2020/1/7,4.874197689
2020/1/8,4.796006944
2020/1/9,4.778631822
2020/1/10,4.790529248
2020/1/11,4.827285922
2020/1/12,4.760797342
2020/1/13,4.827754108
2020/1/14,4.761128527
2020/1/15,4.808242702
2020/1/16,4.782092772
2020/1/17,4.803358613
2020/1/18,4.78622816
2020/1/19,4.829179647
2020/1/20,4.825274725
2020/1/21,4.77037037
2020/1/22,4.799095023
2020/1/23,4.829026701
2020/1/24,4.820109439
2020/1/25,4.819871337
2020/1/26,4.777777778
2020/1/27,4.774600097
2020/1/28,4.794102694
2020/1/29,4.790201729
2020/1/30,4.799892415
2020/1/31,4.769771529
2020/2/1,4.771576898
2020/2/2,4.75875
2020/2/3,4.735792019
2020/2/4,4.705111402
2020/2/5,4.739892183
2020/2/6,4.728430805
2020/2/7,4.71601541
2020/2/8,4.718478261
2020/2/9,4.714285714
2020/2/10,4.657509158
2020/2/11,4.6876101
2020/2/12,4.694297472
2020/2/13,4.672679045
2020/2/14,4.629612546
2020/2/15,4.70433145
2020/2/16,4.690360273
2020/2/17,4.654871795
2020/2/18,4.646679881
2020/2/19,4.637168142
2020/2/20,4.632051922
2020/2/21,4.613018279
2020/2/22,4.603503919
2020/2/23,4.68627451
2020/2/24,4.749635036
2020/2/25,4.734590283
2020/2/26,4.711139348
2020/2/27,4.49004894
2020/2/28,4.641280353
2020/2/29,4.696428571
2020/3/1,4.675013319
2020/3/2,4.76276771
2020/3/3,4.644558617
2020/3/4,#DIV/0!
2020/3/5,4.644651946
2020/3/6,#DIV/0!
2020/3/7,4.648906672
2020/3/8,4.66359977
2020/3/9,4.665363128
2020/3/10,#DIV/0!
2020/3/11,4.65425062
2020/3/12,4.610614525
2020/3/13,4.698033708
2020/3/14,4.230769231
2020/3/15,4
2020/3/16,4.595628415
2020/3/17,4.654487494
2020/3/18,4.59458042
2020/3/19,4.598068799
2020/3/20,4.602531646
2020/3/21,4.658356941
2020/3/22,4.664765526
2020/3/23,4.635055592
2020/3/24,4.55703951
2020/3/25,4.67377261
2020/3/26,4.631176471
2020/3/27,4.69344473
2020/3/28,4.725543478
2020/3/29,4.668852459
2020/3/30,4.710810811
2020/3/31,4.584525358
2020/4/1,4.691328078
2020/4/2,4.683564356
2020/4/3,4.605510332
2020/4/4,3.87099903
2020/4/5,4.727676369
2020/4/6,4.688085106
2020/4/7,4.636323268
2020/4/8,4.664673413
2020/4/9,4.512439983
2020/4/10,4.6235
2020/4/11,4.73463839
2020/4/12,4.692974013
2020/4/13,4.736321304
2020/4/14,4.777327935
2020/4/15,4.741579559
2020/4/16,4.785519126
2020/4/17,4.655677656
2020/4/18,4.708562844
2020/4/19,4.595844156
2020/4/20,4.564208782
2020/4/21,4.605048255
2020/4/22,4.691970803
2020/4/23,4.626962142
2020/4/24,4.748613678
2020/4/25,4.734309623
