"日期","1星","2星","3星","4星","5星"
"2020-01-01","59","9","20","15","125"
"2020-01-02","-2338","-412","-943","-1109","-5737"
"2020-01-03","39","4","9","10","58"
"2020-01-04","2411","427","960","1133","5886"
"2020-01-05","43","5","20","28","96"
"2020-01-06","43","6","15","18","56"
"2020-01-07","35","-1","8","6","69"
"2020-01-08","-2303","-406","-934","-1103","-5685"
"2020-01-09","2432","424","958","1138","5882"
"2020-01-10","46","13","4","13","97"
"2020-01-11","81","9","24","23","142"
"2020-01-12","-2286","-407","-928","-1096","-5662"
"2020-01-13","2430","430","963","1142","5891"
"2020-01-14","69","13","22","19","154"
"2020-01-15","-2299","-408","-932","-1096","-5683"
"2020-01-16","2442","428","962","1145","5946"
"2020-01-17","84","12","9","12","109"
"2020-01-18","-2265","-402","-930","-1090","-5660"
"2020-01-19","2448","425","980","1140","5913"
"2020-01-20","115","11","24","31","154"
"2020-01-21","93","14","29","26","158"
"2020-01-22","-2267","-405","-917","-1100","-5621"
"2020-01-23","2461","423","973","1153","5928"
"2020-01-24","131","13","33","22","175"
"2020-01-25","298","29","39","39","179"
"2020-01-26","128","12","27","19","184"
"2020-01-27","112","13","21","38","178"
"2020-01-28","98","7","30","15","187"
"2020-01-29","-2238","-394","-932","-1089","-5607"
"2020-01-30","2454","425","967","1143","5926"
"2020-01-31","112","2","27","27","197"
"2020-02-01","128","14","35","39","200"
"2020-02-02","95","9","27","18","172"
"2020-02-03","-2234","-400","-915","-1072","-5580"
"2020-02-04","114","15","33","33","180"
"2020-02-05","2470","437","979","1149","5972"
"2020-02-06","-2268","-398","-903","-1086","-5572"
"2020-02-07","2471","433","980","1154","5964"
"2020-02-08","-2220","-407","-914","-1084","-5550"
"2020-02-09","2466","441","979","1147","5973"
"2020-02-10","-2246","-404","-935","-1085","-5557"
"2020-02-11","133","14","37","47","272"
"2020-02-12","2513","437","984","1165","6063"
"2020-02-13","162","29","42","51","310"
"2020-02-14","157","11","45","43","272"
"2020-02-15","-2233","-395","-909","-1077","-5518"
"2020-02-16","2487","428","978","1167","6038"
"2020-02-17","161","18","49","42","372"
"2020-02-18","-2197","-394","-906","-1061","-5446"
"2020-02-19","2509","436","1004","1173","6096"
"2020-02-20","-2175","-406","-907","-1047","-5432"
"2020-02-21","185","30","49","62","380"
"2020-02-22","164","20","52","42","341"
