ÈÕÆÚ,ºÃÆÀ,²îÆÀ
2020/1/1,9,4
2020/1/2,1,6
2020/1/3,2,5
2020/1/4,9,1
2020/1/5,15,5
2020/1/6,2,1
2020/1/7,4,0
2020/1/8,3,4
2020/1/9,11,5
2020/1/10,9,4
2020/1/11,23,5
2020/1/12,6,2
2020/1/13,7,4
2020/1/14,7,4
2020/1/15,11,3
2020/1/16,10,2
2020/1/17,4,1
2020/1/18,13,2
2020/1/19,8,8
2020/1/20,13,6
2020/1/21,11,5
2020/1/22,6,0
2020/1/23,10,8
2020/1/24,-14987,-5466
2020/1/25,15007,5477
2020/1/26,12,3
2020/1/27,10,2
2020/1/28,9,3
2020/1/29,14,2
2020/1/30,7,6
2020/1/31,11,1
2020/2/1,10,2
2020/2/2,10,2
2020/2/3,14,3
2020/2/4,11,6
2020/2/5,9,2
2020/2/6,7,3
2020/2/7,7,2
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,-1,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,9,1
2020/3/3,0,0
2020/3/4,12,4
2020/3/5,25,7
2020/3/6,18,7
2020/3/7,17,12
2020/3/8,17,4
2020/3/9,23,9
2020/3/10,19,6
2020/3/11,19,4
2020/3/12,14,5
2020/3/13,11,3
2020/3/14,21,10
2020/3/15,23,6
2020/3/16,22,6
2020/3/17,24,8
2020/3/18,22,8
2020/3/19,27,8
2020/3/20,11,9
2020/3/21,21,7
2020/3/22,20,9
2020/3/23,14,5
2020/3/24,13,3
2020/3/25,21,5
2020/3/26,20,8
2020/3/27,17,5
2020/3/28,11,4
2020/3/29,14,1
2020/3/30,20,5
2020/3/31,26,2
2020/4/1,36,9
2020/4/2,71,8
2020/4/3,41,7
2020/4/4,3,0
2020/4/5,0,0
2020/4/6,0,0
2020/4/7,0,0
2020/4/8,0,0
2020/4/9,0,0
2020/4/10,0,0
2020/4/11,0,0
2020/4/12,0,0
2020/4/13,10,1
2020/4/14,22,7
2020/4/15,22,8
2020/4/16,25,11
2020/4/17,14,10
2020/4/18,17,14
2020/4/19,15,10
2020/4/20,23,10
2020/4/21,19,9
2020/4/22,14,9
2020/4/23,24,4
2020/4/24,11,3
2020/4/25,13,13
2020/4/26,10,5
2020/4/27,11,8
2020/4/28,9,4
2020/4/29,20,0
2020/4/30,24,5
2020/5/1,20,9
2020/5/2,10,7
2020/5/3,17,10
2020/5/4,14,4
2020/5/5,14,5
2020/5/6,17,7
2020/5/7,13,4
2020/5/8,16,9
2020/5/9,9,3
2020/5/10,12,8
2020/5/11,9,1
2020/5/12,12,9
2020/5/13,7,5
2020/5/14,9,5
2020/5/15,2,4
2020/5/16,5,5
2020/5/17,19,12
2020/5/18,6,1
2020/5/19,6,4
2020/5/20,5,4
2020/5/21,0,0
2020/5/22,0,0
2020/5/23,0,0
2020/5/24,0,0
2020/5/25,0,0
2020/5/26,16344,5956
2020/5/27,0,0
2020/5/28,0,0
2020/5/29,0,0
2020/5/30,0,0
2020/5/31,0,0
2020/6/1,0,0
2020/6/2,0,0
2020/6/3,0,0
2020/6/4,0,0
2020/6/5,0,0
2020/6/6,0,0
2020/6/7,0,0
2020/6/8,3,1
2020/6/9,5,1
2020/6/10,7,4
2020/6/11,8,4
2020/6/12,2,5
2020/6/13,14,9
2020/6/14,8,6
2020/6/15,5,6
2020/6/16,5,3
2020/6/17,3,1
2020/6/18,4,3
2020/6/19,2,6
2020/6/20,14,4
2020/6/21,6,6
2020/6/22,2,2
2020/6/23,4,1
2020/6/24,6,4
2020/6/25,8,5
2020/6/26,11,11
2020/6/27,7,1
2020/6/28,1,2
2020/6/29,0,0
2020/6/30,0,0
2020/7/1,0,0
2020/7/2,0,0
2020/7/3,0,0
2020/7/4,0,0
2020/7/5,0,0
2020/7/6,0,0
2020/7/7,0,0
2020/7/8,0,0
2020/7/9,0,0
2020/7/10,0,0
2020/7/11,0,0
2020/7/12,0,0
2020/7/13,0,0
2020/7/14,0,0
2020/7/15,0,0
2020/7/16,0,0
2020/7/17,0,0
2020/7/18,0,0
2020/7/19,0,0
2020/7/20,0,0
2020/7/21,0,0
2020/7/22,0,0
2020/7/23,0,0
2020/7/24,0,0
2020/7/25,0,0
2020/7/26,0,0
2020/7/27,0,0
2020/7/28,0,0
2020/7/29,0,0
2020/7/30,0,0
2020/7/31,0,0
2020/8/1,0,0
2020/8/2,0,0
2020/8/3,0,0
2020/8/4,0,0
2020/8/5,0,0
2020/8/6,0,0
2020/8/7,0,0
2020/8/8,0,0
2020/8/9,0,0
2020/8/10,0,0
2020/8/11,0,0
2020/8/12,0,0
2020/8/13,0,0
2020/8/14,0,0
2020/8/15,0,0
2020/8/16,0,0
2020/8/17,0,0
2020/8/18,0,0
2020/8/19,0,0
2020/8/20,0,0
2020/8/21,0,0
2020/8/22,0,0
2020/8/23,0,0
2020/8/24,0,0
2020/8/25,0,0
2020/8/26,0,0
2020/8/27,0,0
2020/8/28,0,0
2020/8/29,0,0
2020/8/30,0,0
2020/8/31,0,0
2020/9/1,0,0
2020/9/2,0,0
2020/9/3,0,0
2020/9/4,0,0
2020/9/5,0,0
2020/9/6,0,0
2020/9/7,0,0
2020/9/8,0,0
2020/9/9,0,0
2020/9/10,0,0
2020/9/11,0,0
2020/9/12,0,0
2020/9/13,0,0
2020/9/14,0,0
2020/9/15,0,0
2020/9/16,0,0
2020/9/17,0,0
2020/9/18,0,0
2020/9/19,0,0
2020/9/20,0,0
2020/9/21,0,0
2020/9/22,0,0
2020/9/23,0,0
2020/9/24,0,0
2020/9/25,0,0
2020/9/26,0,0
2020/9/27,0,0
2020/9/28,0,0
2020/9/29,0,0
2020/9/30,0,0
2020/10/1,0,0
2020/10/2,0,0
2020/10/3,0,0
2020/10/4,0,0
2020/10/5,0,0
2020/10/6,0,0
2020/10/7,0,0
2020/10/8,0,0
2020/10/9,0,0
2020/10/10,0,0
2020/10/11,0,0
2020/10/12,0,0
2020/10/13,0,0
2020/10/14,0,0
2020/10/15,0,0
2020/10/16,0,0
2020/10/17,0,0
2020/10/18,0,0
2020/10/19,0,0
2020/10/20,0,0
2020/10/21,0,0
2020/10/22,0,0
2020/10/23,0,0
2020/10/24,0,0
2020/10/25,0,0
2020/10/26,0,0
2020/10/27,0,0
2020/10/28,0,0
2020/10/29,0,0
2020/10/30,0,0
2020/10/31,0,0
2020/11/1,0,0
2020/11/2,0,0
2020/11/3,0,0
2020/11/4,0,0
2020/11/5,0,0
2020/11/6,0,0
2020/11/7,0,0
2020/11/8,0,0
2020/11/9,0,0
2020/11/10,0,0
2020/11/11,0,0
2020/11/12,0,0
2020/11/13,0,0
2020/11/14,0,0
2020/11/15,0,0
2020/11/16,0,0
2020/11/17,0,0
2020/11/18,0,0
2020/11/19,0,0
2020/11/20,0,0
2020/11/21,0,0
2020/11/22,0,0
2020/11/23,0,0
2020/11/24,0,0
2020/11/25,0,0
2020/11/26,0,0
2020/11/27,0,0
2020/11/28,0,0
2020/11/29,0,0
2020/11/30,0,0
2020/12/1,0,0
2020/12/2,0,0
2020/12/3,0,0
2020/12/4,0,0
2020/12/5,0,0
2020/12/6,0,0
2020/12/7,0,0
2020/12/8,0,0
2020/12/9,0,0
2020/12/10,0,0
2020/12/11,0,0
2020/12/12,0,0
2020/12/13,0,0
2020/12/14,0,0
2020/12/15,0,0
2020/12/16,0,0
2020/12/17,0,0
2020/12/18,0,0
2020/12/19,0,0
2020/12/20,0,0
2020/12/21,0,0
2020/12/22,0,0
2020/12/23,0,0
2020/12/24,0,0
2020/12/25,0,0
2020/12/26,0,0
2020/12/27,0,0
2020/12/28,0,0
2020/12/29,0,0
2020/12/30,0,0
2020/12/31,0,0
2021/1/1,0,0
2021/1/2,0,0
2021/1/3,0,0
2021/1/4,0,0
2021/1/5,0,0
2021/1/6,0,0
2021/1/7,0,0
2021/1/8,0,0
2021/1/9,0,0
2021/1/10,0,0
2021/1/11,0,0
2021/1/12,0,0
2021/1/13,0,0
2021/1/14,0,0
2021/1/15,0,0
2021/1/16,0,0
2021/1/17,0,0
2021/1/18,0,0
2021/1/19,0,0
2021/1/20,0,0
2021/1/21,0,0
2021/1/22,0,0
2021/1/23,0,0
2021/1/24,0,0
2021/1/25,0,0
2021/1/26,0,0
2021/1/27,0,0
2021/1/28,0,0
2021/1/29,0,0
2021/1/30,0,0
2021/1/31,0,0
2021/2/1,0,0
2021/2/2,0,0
2021/2/3,0,0
2021/2/4,0,0
2021/2/5,0,0
2021/2/6,0,0
2021/2/7,0,0
2021/2/8,0,0
2021/2/9,0,0
2021/2/10,0,0
2021/2/11,0,0
2021/2/12,0,0
2021/2/13,0,0
2021/2/14,0,0
2021/2/15,0,0
2021/2/16,0,0
2021/2/17,0,0
2021/2/18,0,0
2021/2/19,0,0
2021/2/20,0,0
2021/2/21,0,0
2021/2/22,0,0
2021/2/23,0,0
2021/2/24,0,0
2021/2/25,0,0
2021/2/26,0,0
2021/2/27,0,0
2021/2/28,0,0
2021/3/1,0,0
2021/3/2,0,0
2021/3/3,0,0
2021/3/4,0,0
2021/3/5,0,0
2021/3/6,0,0
2021/3/7,0,0
2021/3/8,0,0
2021/3/9,0,0
2021/3/10,0,0
2021/3/11,0,0
2021/3/12,0,0
2021/3/13,0,0
2021/3/14,0,0
2021/3/15,0,0
2021/3/16,0,0
2021/3/17,0,0
2021/3/18,0,0
2021/3/19,0,0
2021/3/20,0,0
2021/3/21,0,0
2021/3/22,0,0
2021/3/23,0,0
2021/3/24,0,0
2021/3/25,0,0
2021/3/26,0,0
2021/3/27,0,0
