"日期","收入预估~iPad"
"2024-12-31","23778"
"2024-12-30","23818"
"2024-12-29","23862"
"2024-12-28","23729"
"2024-12-27","23706"
"2024-12-26","23901"
"2024-12-25","23887"
"2024-12-24","23856"
"2024-12-23","23812"
"2024-12-22","23938"
"2024-12-21","23899"
"2024-12-20","23723"
"2024-12-19","23932"
"2024-12-18","23802"
"2024-12-17","23854"
"2024-12-16","23771"
"2024-12-15","23728"
"2024-12-14","23761"
"2024-12-13","23859"
"2024-12-12","23710"
"2024-12-11","23774"
"2024-12-10","23717"
"2024-12-09","23747"
"2024-12-08","23826"
"2024-12-07","23912"
"2024-12-06","23728"
"2024-12-05","23876"
"2024-12-04","23765"
"2024-12-03","23889"
"2024-12-02","23919"
"2024-12-01","23705"
"2024-11-30","23838"
"2024-11-29","23938"
"2024-11-28","23732"
"2024-11-27","23881"
"2024-11-26","23790"
"2024-11-25","23801"
"2024-11-24","23774"
"2024-11-23","23766"
"2024-11-22","23940"
"2024-11-21","23860"
"2024-11-20","23789"
"2024-11-19","23860"
"2024-11-18","23746"
"2024-11-17","23839"
"2024-11-16","23940"
"2024-11-15","23743"
"2024-11-14","23879"
"2024-11-13","23838"
"2024-11-12","28000"
"2024-11-11","28023"
"2024-11-10","27896"
"2024-11-09","28062"
"2024-11-08","27890"
"2024-11-07","28055"
"2024-11-06","27874"
"2024-11-05","27911"
"2024-11-04","24057"
"2024-11-03","28071"
"2024-11-02","23966"
"2024-11-01","29255"
"2024-10-31","43885"
"2024-10-30","38468"
"2024-10-29","28709"
"2024-10-28","33399"
"2024-10-27","28001"
"2024-10-26","22367"
"2024-10-25","20147"
"2024-10-24","22369"
"2024-10-23","23084"
"2024-10-22","24010"
"2024-10-21","27820"
"2024-10-20","22865"
"2024-10-19","22478"
"2024-10-18","25267"
"2024-10-17","41673"
"2024-10-16","54942"
"2024-10-15","38673"
"2024-10-14","74552"
"2024-10-13","94407"
"2024-10-12","94317"
"2024-10-11","117770"
"2024-10-10","117763"
"2024-10-09","33331"
"2024-10-08","28846"
"2024-10-07","28655"
"2024-10-06","22372"
"2024-10-05","22863"
"2024-10-04","20422"
"2024-10-03","20105"
"2024-10-02","22368"
"2024-10-01","19268"
"2024-09-30","20301"
"2024-09-29","22510"
"2024-09-28","14583"
"2024-09-27","18297"
"2024-09-26","18674"
"2024-09-25","23956"
"2024-09-24","55093"
"2024-09-23","53163"
"2024-09-22","64601"
"2024-09-21","38652"
"2024-09-20","116164"
"2024-09-19","117538"
"2024-09-18","115455"
"2024-09-17","21469"
"2024-09-16","18105"
"2024-09-15","13554"
"2024-09-14","17579"
"2024-09-13","17678"
"2024-09-12","17775"
"2024-09-11","21879"
"2024-09-10","32015"
"2024-09-09","20672"
"2024-09-08","24654"
"2024-09-07","22911"
"2024-09-06","23000"
"2024-09-05","30269"
"2024-09-04","32088"
"2024-09-03","34902"
"2024-09-02","69757"
"2024-09-01","86629"
"2024-08-31","80822"
"2024-08-30","115171"
"2024-08-29","114593"
"2024-08-28","36424"
"2024-08-27","32446"
"2024-08-26","28753"
"2024-08-25","22513"
"2024-08-24","20192"
"2024-08-23","22382"
