"日期","收入预估~iPad"
"2024-12-31","31395"
"2024-12-30","31559"
"2024-12-29","31540"
"2024-12-28","31439"
"2024-12-27","31538"
"2024-12-26","31490"
"2024-12-25","31415"
"2024-12-24","31382"
"2024-12-23","31600"
"2024-12-22","31624"
"2024-12-21","31623"
"2024-12-20","31636"
"2024-12-19","31647"
"2024-12-18","31468"
"2024-12-17","31568"
"2024-12-16","31367"
"2024-12-15","31390"
"2024-12-14","31381"
"2024-12-13","31631"
"2024-12-12","31605"
"2024-12-11","31488"
"2024-12-10","31521"
"2024-12-09","31579"
"2024-12-08","31469"
"2024-12-07","31436"
"2024-12-06","31545"
"2024-12-05","31432"
"2024-12-04","31661"
"2024-12-03","31355"
"2024-12-02","31662"
"2024-12-01","31566"
"2024-11-30","31534"
"2024-11-29","31574"
"2024-11-28","31528"
"2024-11-27","31517"
"2024-11-26","31590"
"2024-11-25","31473"
"2024-11-24","31377"
"2024-11-23","31360"
"2024-11-22","31516"
"2024-11-21","31554"
"2024-11-20","31582"
"2024-11-19","31568"
"2024-11-18","31552"
"2024-11-17","31464"
"2024-11-16","31432"
"2024-11-15","31630"
"2024-11-14","31658"
"2024-11-13","33691"
"2024-11-12","34998"
"2024-11-11","34973"
"2024-11-10","35054"
"2024-11-09","35211"
"2024-11-08","34916"
"2024-11-07","35162"
"2024-11-06","39919"
"2024-11-05","54686"
"2024-11-04","103498"
"2024-11-03","94199"
"2024-11-02","70039"
"2024-11-01","22581"
"2024-10-31","23257"
"2024-10-30","33548"
"2024-10-29","54599"
"2024-10-28","54921"
"2024-10-27","55021"
"2024-10-26","25262"
"2024-10-25","23552"
"2024-10-24","18712"
"2024-10-23","22691"
"2024-10-22","30451"
"2024-10-21","33198"
"2024-10-20","35163"
"2024-10-19","33112"
"2024-10-18","20788"
"2024-10-17","22535"
"2024-10-16","23955"
"2024-10-15","35183"
"2024-10-14","32254"
"2024-10-13","30188"
"2024-10-12","26926"
"2024-10-11","23835"
"2024-10-10","25545"
"2024-10-09","54878"
"2024-10-08","52123"
"2024-10-07","94318"
"2024-10-06","94148"
"2024-10-05","74520"
"2024-10-04","72254"
"2024-10-03","55038"
"2024-10-02","52312"
"2024-10-01","74655"
"2024-09-30","31290"
"2024-09-29","23866"
"2024-09-28","18515"
"2024-09-27","17334"
"2024-09-26","16610"
"2024-09-25","23395"
"2024-09-24","34996"
"2024-09-23","44022"
"2024-09-22","32140"
"2024-09-21","23945"
"2024-09-20","21856"
"2024-09-19","55046"
"2024-09-18","55021"
"2024-09-17","100467"
"2024-09-16","88911"
"2024-09-15","38125"
"2024-09-14","30429"
"2024-09-13","19933"
"2024-09-12","23253"
"2024-09-11","29440"
"2024-09-10","53226"
"2024-09-09","117462"
"2024-09-08","117588"
"2024-09-07","115626"
"2024-09-06","22548"
"2024-09-05","25541"
"2024-09-04","29271"
"2024-09-03","33125"
"2024-09-02","52310"
"2024-09-01","34945"
"2024-08-31","38169"
"2024-08-30","35053"
"2024-08-29","35135"
"2024-08-28","35136"
"2024-08-27","54836"
"2024-08-26","42533"
"2024-08-25","74510"
"2024-08-24","78606"
"2024-08-23","54977"
"2024-08-22","38728"
"2024-08-21","47953"
"2024-08-20","42220"
"2024-08-19","74762"
"2024-08-18","52531"
"2024-08-17","55471"
"2024-08-16","30198"
"2024-08-15","32226"
"2024-08-14","39559"
"2024-08-13","54774"
"2024-08-12","45091"
"2024-08-11","44819"
"2024-08-10","35045"
"2024-08-09","23153"
"2024-08-08","25054"
"2024-08-07","29020"
"2024-08-06","43933"
"2024-08-05","36940"
"2024-08-04","34228"
"2024-08-03","38934"
"2024-08-02","31802"
"2024-08-01","35789"
"2024-07-31","54926"
"2024-07-30","55049"
"2024-07-29","54759"
"2024-07-28","54736"
"2024-07-27","54735"
"2024-07-26","31424"
"2024-07-25","35011"
"2024-07-24","55021"
"2024-07-23","34940"
"2024-07-22","41648"
"2024-07-21","55001"
"2024-07-20","33939"
"2024-07-19","35004"
"2024-07-18","34919"
"2024-07-17","38616"
"2024-07-16","44798"
"2024-07-15","114247"
"2024-07-14","114178"
"2024-07-13","94524"
"2024-07-12","22701"
"2024-07-11","24051"
"2024-07-10","44221"
"2024-07-09","54702"
"2024-07-08","55073"
"2024-07-07","54927"
"2024-07-06","44723"
"2024-07-05","49863"
"2024-07-04","53430"
"2024-07-03","74954"
"2024-07-02","74638"
"2024-07-01","74398"
"2024-06-30","93942"
"2024-06-29","64367"
"2024-06-28","49462"
"2024-06-27","38137"
"2024-06-26","54910"
"2024-06-25","47886"
"2024-06-24","94518"
"2024-06-23","94335"
"2024-06-22","94377"
"2024-06-21","36558"
"2024-06-20","40226"
"2024-06-19","38743"
"2024-06-18","113992"
"2024-06-17","114586"
"2024-06-16","116278"
"2024-06-15","81186"
"2024-06-14","23718"
"2024-06-13","45142"
"2024-06-12","35233"
"2024-06-11","44803"
"2024-06-10","36076"
"2024-06-09","32682"
"2024-06-08","23998"
"2024-06-07","17664"
"2024-06-06","22516"
"2024-06-05","34968"
"2024-06-04","55067"
"2024-06-03","48016"
"2024-06-02","74851"
"2024-06-01","31946"
"2024-05-31","32019"
"2024-05-30","28654"
"2024-05-29","32715"
"2024-05-28","38097"
"2024-05-27","44829"
"2024-05-26","50877"
"2024-05-25","34098"
"2024-05-24","23103"
