"日期","下载量预估~iPhone"
"2024-12-31","49161"
"2024-12-30","53788"
"2024-12-29","51557"
"2024-12-28","41857"
"2024-12-27","30103"
"2024-12-26","26815"
"2024-12-25","27796"
"2024-12-24","44127"
"2024-12-23","47229"
"2024-12-22","45203"
"2024-12-21","35904"
"2024-12-20","42525"
"2024-12-19","40687"
"2024-12-18","41235"
"2024-12-17","42490"
"2024-12-16","84846"
"2024-12-15","45816"
"2024-12-14","31649"
"2024-12-13","29515"
"2024-12-12","31808"
"2024-12-11","39963"
"2024-12-10","46726"
"2024-12-09","65777"
"2024-12-08","45868"
"2024-12-07","27840"
"2024-12-06","30323"
"2024-12-05","39424"
"2024-12-04","33737"
"2024-12-03","41899"
"2024-12-02","40255"
"2024-12-01","39429"
"2024-11-30","34643"
"2024-11-29","40570"
"2024-11-28","32599"
"2024-11-27","40900"
"2024-11-26","41162"
"2024-11-25","42657"
"2024-11-24","35923"
"2024-11-23","25368"
"2024-11-22","26035"
"2024-11-21","30127"
"2024-11-20","29600"
"2024-11-19","40425"
"2024-11-18","50752"
"2024-11-17","41189"
"2024-11-16","39892"
"2024-11-15","28418"
"2024-11-14","29817"
"2024-11-13","28973"
"2024-11-12","31087"
"2024-11-11","39879"
"2024-11-10","41242"
"2024-11-09","25578"
"2024-11-08","23416"
"2024-11-07","32492"
"2024-11-06","35883"
"2024-11-05","46437"
"2024-11-04","43554"
"2024-11-03","78945"
"2024-11-02","33310"
"2024-11-01","29626"
"2024-10-31","32913"
"2024-10-30","27380"
"2024-10-29","41330"
"2024-10-28","44896"
"2024-10-27","42682"
"2024-10-26","29271"
"2024-10-25","29490"
"2024-10-24","31680"
"2024-10-23","38285"
"2024-10-22","50510"
"2024-10-21","42479"
"2024-10-20","34642"
"2024-10-19","39464"
"2024-10-18","40078"
"2024-10-17","42606"
"2024-10-16","69137"
"2024-10-15","47011"
"2024-10-14","42462"
"2024-10-13","41560"
"2024-10-12","34545"
"2024-10-11","29709"
"2024-10-10","50435"
"2024-10-09","53584"
"2024-10-08","58623"
"2024-10-07","44632"
"2024-10-06","75944"
"2024-10-05","78582"
"2024-10-04","90582"
"2024-10-03","74666"
"2024-10-02","42136"
"2024-10-01","28580"
"2024-09-30","30112"
"2024-09-29","28921"
"2024-09-28","38592"
"2024-09-27","29897"
"2024-09-26","26152"
"2024-09-25","26693"
"2024-09-24","28915"
"2024-09-23","44025"
"2024-09-22","41346"
"2024-09-21","29220"
"2024-09-20","32130"
"2024-09-19","44690"
"2024-09-18","43463"
"2024-09-17","51671"
"2024-09-16","39059"
"2024-09-15","27849"
"2024-09-14","24769"
