"日期","下载量预估~iPhone"
"2024-12-31","38607"
"2024-12-30","39295"
"2024-12-29","36576"
"2024-12-28","42346"
"2024-12-27","42394"
"2024-12-26","37911"
"2024-12-25","38750"
"2024-12-24","40114"
"2024-12-23","41251"
"2024-12-22","43001"
"2024-12-21","50404"
"2024-12-20","49447"
"2024-12-19","64587"
"2024-12-18","50451"
"2024-12-17","50448"
"2024-12-16","52156"
"2024-12-15","44051"
"2024-12-14","58815"
"2024-12-13","42671"
"2024-12-12","43078"
"2024-12-11","46903"
"2024-12-10","50660"
"2024-12-09","42559"
"2024-12-08","40805"
"2024-12-07","42399"
"2024-12-06","42551"
"2024-12-05","50016"
"2024-12-04","86989"
"2024-12-03","72376"
"2024-12-02","79512"
"2024-12-01","95428"
"2024-11-30","115425"
"2024-11-29","63656"
"2024-11-28","90571"
"2024-11-27","110324"
"2024-11-26","107130"
"2024-11-25","98538"
"2024-11-24","108687"
"2024-11-23","108739"
"2024-11-22","39189"
"2024-11-21","66159"
"2024-11-20","43044"
"2024-11-19","51150"
"2024-11-18","74600"
"2024-11-17","86655"
"2024-11-16","77018"
"2024-11-15","92184"
"2024-11-14","96376"
"2024-11-13","74893"
"2024-11-12","57250"
"2024-11-11","74863"
"2024-11-10","74860"
"2024-11-09","75838"
"2024-11-08","76895"
"2024-11-07","78696"
"2024-11-06","107060"
"2024-11-05","82677"
"2024-11-04","75349"
"2024-11-03","78955"
"2024-11-02","107414"
"2024-11-01","76699"
"2024-10-31","106989"
"2024-10-30","92139"
"2024-10-29","78001"
"2024-10-28","51587"
"2024-10-27","45841"
"2024-10-26","44711"
"2024-10-25","45463"
"2024-10-24","51462"
"2024-10-23","46902"
"2024-10-22","91062"
"2024-10-21","75040"
"2024-10-20","75040"
"2024-10-19","66162"
"2024-10-18","88897"
"2024-10-17","107274"
"2024-10-16","104295"
"2024-10-15","93517"
"2024-10-14","78679"
"2024-10-13","78223"
"2024-10-12","53764"
"2024-10-11","75191"
"2024-10-10","107200"
"2024-10-09","89933"
"2024-10-08","74525"
