时间,用户规模:游戏:中国:累计值:半年,用户规模:游戏:中国:累计同比:半年,用户规模:电子竞技游戏:中国:累计值:半年,用户规模:电子竞技游戏:中国:累计同比:半年
2024-12-31 00:00:00,6.7436,0.94,,
2024-06-30 00:00:00,6.7389,0.88,4.8985,0.52
2023-12-31 00:00:00,6.6809,0.61,4.8804,0.1
2023-06-30 00:00:00,6.6802,0.35,4.8731,-0.02
2022-12-31 00:00:00,6.6407,-0.33,4.8756,-0.33
2022-06-30 00:00:00,6.6569,-0.13,4.874,-0.41
2021-12-31 00:00:00,6.6624,0.22,4.8916,0.27
2021-06-30 00:00:00,6.6657,1.38,4.8943,1.13
2020-12-31 00:00:00,6.6479,3.7,4.8786,9.65
2020-06-30 00:00:00,6.5748,1.97,4.8396,9.94
2019-12-31 00:00:00,6.4108,2.5,4.4493,3.9
2019-06-30 00:00:00,6.4477,22.5,4.4022,11.2
2018-12-31 00:00:00,6.26,7.3,4.2823,17.51
2018-06-30 00:00:00,5.3,4,3.9588,
2017-12-31 00:00:00,5.83,3.1,3.6442,21.11
2017-06-30 00:00:00,5.07,3.6,,
2016-12-31 00:00:00,5.66,5.9,3.0089,38.02
2016-06-30 00:00:00,4.892,6.7,,
2015-12-31 00:00:00,5.34,3.3,2.18,42.48
2015-06-30 00:00:00,4.5853,14.35,,
2014-12-31 00:00:00,5.17,4.6,1.53,
2014-06-30 00:00:00,4.01,9.5,,
2013-12-31 00:00:00,4.95,20.6,,
2013-06-30 00:00:00,3.662,34.2,,
2012-12-31 00:00:00,4.1,24.1,,
2012-06-30 00:00:00,2.728,32.2,,
2011-12-31 00:00:00,3.3,68.5,,
2011-06-30 00:00:00,2.063,46.6,,
2010-12-31 00:00:00,1.96,71.1,,
2010-06-30 00:00:00,1.407,62.5,,
2009-12-31 00:00:00,1.15,70,,
2009-06-30 00:00:00,0.866,42.9,,
2008-12-31 00:00:00,0.67,22.9,,
2008-06-30 00:00:00,0.606,,,
2007-12-31 00:00:00,0.4017,23,,
2006-12-31 00:00:00,0.326,23.8,,
2005-12-31 00:00:00,0.2634,30.1,,
