"日期","1星","2星","3星","4星","5星"
"2020-01-01","89","2","14","23","220"
"2020-01-02","46","6","12","13","122"
"2020-01-03","29","6","11","9","91"
"2020-01-04","78","7","17","25","231"
"2020-01-05","73","12","17","15","196"
"2020-01-06","33","12","7","10","96"
"2020-01-07","34","3","10","6","115"
"2020-01-08","70","11","13","11","209"
"2020-01-09","73","10","9","19","207"
"2020-01-10","90","13","16","14","247"
"2020-01-11","99","8","16","25","269"
"2020-01-12","107","10","18","20","242"
"2020-01-13","100","12","17","17","227"
"2020-01-14","89","13","21","13","213"
"2020-01-15","112","13","18","24","298"
"2020-01-16","144","17","24","35","387"
"2020-01-17","91","16","23","20","198"
"2020-01-18","117","15","20","26","304"
"2020-01-19","114","9","20","19","280"
"2020-01-20","128","17","16","37","306"
"2020-01-21","94","15","16","31","268"
"2020-01-22","141","18","24","29","312"
"2020-01-23","105","17","18","29","334"
"2020-01-24","138","17","23","25","343"
"2020-01-25","416","38","42","44","418"
"2020-01-26","152","17","20","31","364"
"2020-01-27","90","19","28","32","327"
"2020-01-28","141","21","25","25","374"
"2020-01-29","123","13","24","35","337"
"2020-01-30","115","14","23","31","352"
"2020-01-31","134","12","18","29","336"
"2020-02-01","52","6","13","14","232"
"2020-02-02","178","25","34","44","547"
"2020-02-03","129","14","30","30","337"
"2020-02-04","137","18","33","37","397"
"2020-02-05","143","18","29","42","375"
"2020-02-06","157","23","40","43","438"
"2020-02-07","148","23","38","37","455"
"2020-02-08","152","17","37","34","427"
"2020-02-09","98","12","31","33","353"
"2020-02-10","163","24","33","40","513"
"2020-02-11","185","15","37","56","500"
"2020-02-12","202","23","48","46","592"
"2020-02-13","197","19","33","39","630"
"2020-02-14","251","25","47","52","601"
"2020-02-15","238","22","42","55","613"
"2020-02-16","175","22","25","45","512"
"2020-02-17","179","27","54","41","601"
"2020-02-18","285","30","59","62","746"
"2020-02-19","248","28","57","49","693"
"2020-02-20","213","26","37","64","763"
"2020-02-21","205","25","55","70","676"
"2020-02-22","216","32","47","46","720"
"2020-02-23","242","25","43","60","625"
"2020-02-24","290","47","56","57","850"
"2020-02-25","244","41","56","55","810"
"2020-02-26","300","30","63","74","854"
"2020-02-27","223","33","61","75","796"
"2020-02-28","272","22","47","54","724"
"2020-02-29","283","26","47","67","662"
"2020-03-01","231","22","56","52","692"
"2020-03-02","234","36","54","70","809"
"2020-03-03","458","57","80","96","1017"
"2020-03-04","251","37","44","60","722"
"2020-03-05","250","32","64","50","704"
"2020-03-06","311","41","60","80","867"
"2020-03-07","235","29","46","56","601"
"2020-03-08","218","31","53","62","654"
"2020-03-09","271","33","59","71","797"
"2020-03-10","363","32","76","61","863"
"2020-03-11","287","27","47","72","775"
"2020-03-12","304","37","56","70","769"
"2020-03-13","317","37","50","63","743"
"2020-03-14","296","34","56","79","688"
"2020-03-15","233","25","48","48","532"
"2020-03-16","417","40","80","68","935"
"2020-03-17","366","46","59","101","807"
"2020-03-18","392","52","72","70","881"
"2020-03-19","367","36","61","67","867"
"2020-03-20","368","40","72","64","855"
"2020-03-21","500","52","95","79","1034"
"2020-03-22","280","28","45","60","529"
"2020-03-23","363","48","54","78","846"
"2020-03-24","363","47","51","57","841"
"2020-03-25","376","51","70","73","896"
"2020-03-26","353","34","70","65","826"
"2020-03-27","335","43","51","86","853"
"2020-03-28","302","34","41","69","685"
"2020-03-29","305","48","62","69","604"
"2020-03-30","315","37","64","69","847"
"2020-03-31","409","61","105","99","1122"
"2020-04-01","4246","491","533","493","3409"
"2020-04-02","1734","186","206","189","1614"
"2020-04-03","973","113","162","127","1230"
"2020-04-04","56","6","6","10","80"
"2020-04-05","710","72","79","79","792"
"2020-04-06","507","61","74","90","868"
"2020-04-07","670","76","101","94","1031"
"2020-04-08","576","64","87","89","1009"
"2020-04-09","479","63","80","79","992"
"2020-04-10","488","68","81","82","860"
