"日期","好评","差评"
"2020-01-01","12","26"
"2020-01-02","9","14"
"2020-01-03","3","12"
"2020-01-04","13","15"
"2020-01-05","12","19"
"2020-01-06","9","14"
"2020-01-07","14","9"
"2020-01-08","9","16"
"2020-01-09","17","18"
"2020-01-10","12","9"
"2020-01-11","14","25"
"2020-01-12","17","26"
"2020-01-13","8","15"
"2020-01-14","19","19"
"2020-01-15","20","23"
"2020-01-16","20","38"
"2020-01-17","13","24"
"2020-01-18","12","12"
"2020-01-19","16","32"
"2020-01-20","16","21"
"2020-01-21","20","35"
"2020-01-22","20","18"
"2020-01-23","23","36"
"2020-01-24","-31971","-40160"
"2020-01-25","32025","40261"
"2020-01-26","28","27"
"2020-01-27","20","25"
"2020-01-28","16","19"
"2020-01-29","23","30"
"2020-01-30","25","42"
"2020-01-31","20","44"
"2020-02-01","30","24"
"2020-02-02","18","33"
"2020-02-03","26","25"
"2020-02-04","30","35"
"2020-02-05","22","31"
"2020-02-06","25","31"
"2020-02-07","23","27"
"2020-02-08","1","0"
"2020-02-09","0","0"
"2020-02-10","-1","0"
"2020-02-11","-31169","-38908"
"2020-02-12","-38","-56"
"2020-02-13","31208","38964"
"2020-02-14","0","0"
"2020-02-15","-1","0"
"2020-02-16","0","0"
"2020-02-17","0","0"
"2020-02-18","0","0"
"2020-02-19","1","0"
"2020-02-20","-1","0"
"2020-02-21","0","0"
"2020-02-22","1","0"
"2020-02-23","-1","0"
"2020-02-24","1","0"
"2020-02-25","-1","0"
"2020-02-26","1","0"
"2020-02-27","-1","0"
"2020-02-28","1","0"
"2020-02-29","-1","0"
"2020-03-01","0","0"
"2020-03-02","20","41"
"2020-03-03","16","30"
"2020-03-04","47","65"
"2020-03-05","53","76"
"2020-03-06","52","58"
"2020-03-07","49","61"
"2020-03-08","57","59"
"2020-03-09","49","93"
"2020-03-10","54","54"
"2020-03-11","66","77"
"2020-03-12","52","74"
"2020-03-13","60","71"
"2020-03-14","52","85"
"2020-03-15","44","52"
"2020-03-16","54","65"
"2020-03-17","53","81"
"2020-03-18","62","81"
"2020-03-19","49","63"
"2020-03-20","88","106"
"2020-03-21","62","98"
"2020-03-22","44","101"
"2020-03-23","49","90"
"2020-03-24","50","107"
"2020-03-25","65","64"
"2020-03-26","59","97"
"2020-03-27","38","74"
"2020-03-28","38","77"
"2020-03-29","41","81"
"2020-03-30","55","95"
"2020-03-31","78","83"
"2020-04-01","762","3623"
"2020-04-02","500","1370"
"2020-04-03","221","759"
"2020-04-04","44","98"
"2020-04-05","1","1"
"2020-04-06","-1","-1"
"2020-04-07","2","-5"
"2020-04-08","0","0"
"2020-04-09","1","0"
"2020-04-10","0","0"
"2020-04-11","0","0"
"2020-04-12","0","0"
"2020-04-13","9","19"
"2020-04-14","74","98"
"2020-04-15","53","65"
"2020-04-16","44","74"
"2020-04-17","59","78"
"2020-04-18","49","74"
"2020-04-19","34","54"
"2020-04-20","70","70"
"2020-04-21","64","58"
"2020-04-22","43","71"
"2020-04-23","45","50"
"2020-04-24","51","51"
"2020-04-25","31","61"
"2020-04-26","52","51"
"2020-04-27","42","53"
"2020-04-28","53","65"
"2020-04-29","46","46"
"2020-04-30","49","53"
"2020-05-01","49","64"
"2020-05-02","47","66"
"2020-05-03","40","63"
"2020-05-04","51","55"
"2020-05-05","43","42"
