"日期","好评","差评"
"2020-01-01","26","52"
"2020-01-02","15","57"
"2020-01-03","16","48"
"2020-01-04","33","67"
"2020-01-05","31","65"
"2020-01-06","17","26"
"2020-01-07","31","44"
"2020-01-08","24","40"
"2020-01-09","226","683"
"2020-01-10","120","320"
"2020-01-11","83","230"
"2020-01-12","47","170"
"2020-01-13","32","81"
"2020-01-14","42","136"
"2020-01-15","58","110"
"2020-01-16","68","229"
"2020-01-17","55","173"
"2020-01-18","63","151"
"2020-01-19","51","125"
"2020-01-20","29","6"
"2020-01-21","54","142"
"2020-01-22","29","110"
"2020-01-23","38","121"
"2020-01-24","-113744","-50677"
"2020-01-25","114001","52194"
"2020-01-26","35","141"
"2020-01-27","30","122"
"2020-01-28","33","98"
"2020-01-29","31","123"
"2020-01-30","49","159"
"2020-01-31","33","123"
"2020-02-01","26","123"
"2020-02-02","50","117"
"2020-02-03","52","110"
"2020-02-04","43","126"
"2020-02-05","46","151"
"2020-02-06","43","135"
"2020-02-07","40","79"
"2020-02-08","1","2"
"2020-02-09","-1","-2"
"2020-02-10","0","0"
"2020-02-11","-114170","-52804"
"2020-02-12","-56","-196"
"2020-02-13","-66","-210"
"2020-02-14","-84","-208"
"2020-02-15","114377","53420"
"2020-02-16","-1","-2"
"2020-02-17","0","0"
"2020-02-18","0","0"
"2020-02-19","0","0"
"2020-02-20","1","2"
"2020-02-21","0","0"
"2020-02-22","0","0"
"2020-02-23","-1","-2"
"2020-02-24","1","2"
"2020-02-25","-1","-2"
"2020-02-26","0","0"
"2020-02-27","1","2"
"2020-02-28","-1","-2"
"2020-02-29","0","0"
"2020-03-01","0","0"
"2020-03-02","42","102"
"2020-03-03","14","30"
"2020-03-04","68","189"
"2020-03-05","80","232"
"2020-03-06","58","161"
"2020-03-07","80","242"
"2020-03-08","85","227"
"2020-03-09","89","243"
"2020-03-10","84","245"
"2020-03-11","85","217"
"2020-03-12","85","210"
"2020-03-13","84","211"
"2020-03-14","69","204"
"2020-03-15","55","218"
"2020-03-16","173","246"
