比赛名称,斗鱼（话题阅读）（万）,斗鱼（话题讨论）,斗鱼（视频播放）（万）,bilibili总决赛播放量（万）,虎牙总决赛最高播放量（万）
2024KPL年度总决赛,,,,418.6,60.8
2024KPL夏季赛,19.3,3841,1199.3,383.8,38.1
2024KPL春季赛,13.5,1133,1201.9,196.4,116.3
2023王者荣耀世界冠军杯,,,,290.9,84.8
2023KPL夏季赛,14.8,652,1433.3,158.9,48.6
2023KPL春季赛,17.1,927,1624.0 ,153,273.3
2022王者荣耀世界冠军杯,,,,130,
2022KPL夏季赛,174,10000,,267.4,8.9
2022KPL春季赛,260.2,26000,1093.2,185.7,15.8
2021KPL秋季赛,18.2,9481,1468.5,130.8,34.1
2021王者荣耀世界冠军杯,,,,189.6,
2021KPL春季赛,99.5,190000,2529.4,256.5,41.7
2020KPL秋季赛,26.9,83000,721.2,200,
2020王者荣耀世界冠军杯,,,,943.4,
2020KPL春季赛,34.6,2963,1205.8,230.2,
