日期,1星,2星,3星,4星,5星,abs1,abs2,abs3,abs4,abs5,平均评分
2020/1/1,10,5,33,130,1253,10,5,33,130,1253,4.824598183
2020/1/2,-3,2,12,27,275,3,2,12,27,275,4.78369906
2020/1/3,3,4,15,57,404,3,4,15,57,404,4.770186335
2020/1/4,8,-2,20,81,655,8,2,20,81,655,4.792428198
2020/1/5,5,6,18,48,516,5,6,18,48,516,4.794266442
2020/1/6,3,1,8,29,230,3,1,8,29,230,4.778597786
2020/1/7,4,2,9,37,289,4,2,9,37,289,4.774193548
2020/1/8,2,4,6,53,531,2,4,6,53,531,4.85738255
2020/1/9,20,5,14,44,369,20,5,14,44,369,4.630530973
2020/1/10,11,2,11,32,303,11,2,11,32,303,4.710306407
2020/1/11,-250,-42,-115,-166,-947,250,42,115,166,947,3.998684211
2020/1/12,11,4,9,35,295,11,4,9,35,295,4.692090395
2020/1/13,301,59,142,234,1657,301,59,142,234,1657,4.206435437
2020/1/14,20,7,20,35,261,20,7,20,35,261,4.486880466
2020/1/15,14,5,9,30,197,14,5,9,30,197,4.533333333
2020/1/16,35,15,18,29,222,35,15,18,29,222,4.21630094
2020/1/17,19,5,6,14,70,19,5,6,14,70,3.973684211
2020/1/18,15,5,8,11,54,15,5,8,11,54,3.903225806
2020/1/19,22,2,5,13,60,22,2,5,13,60,3.852941176
2020/1/20,39,6,16,10,45,39,6,16,10,45,3.137931034
2020/1/21,30,12,8,7,55,30,12,8,7,55,3.401785714
2020/1/22,-238,-46,-110,-199,-1316,238,46,110,199,1316,4.209533787
2020/1/23,35,9,17,17,121,35,9,17,17,121,3.904522613
2020/1/24,291,51,131,219,1414,291,51,131,219,1414,4.146248813
2020/1/25,19,3,4,10,66,19,3,4,10,66,3.990196078
2020/1/26,17,6,4,8,60,17,6,4,8,60,3.926315789
2020/1/27,10,1,1,13,38,10,1,1,13,38,4.079365079
2020/1/28,17,0,3,9,52,17,0,3,9,52,3.975308642
2020/1/29,14,2,6,11,83,14,2,6,11,83,4.267241379
2020/1/30,18,5,1,15,81,18,5,1,15,81,4.133333333
2020/1/31,22,7,3,8,83,22,7,3,8,83,4
2020/2/1,16,9,14,3,49,16,9,14,3,49,3.659340659
2020/2/2,18,1,2,11,68,18,1,2,11,68,4.1
2020/2/3,17,6,0,8,62,17,6,0,8,62,3.989247312
2020/2/4,23,4,6,12,58,23,4,6,12,58,3.757281553
2020/2/5,13,6,5,9,60,13,6,5,9,60,4.043010753
2020/2/6,-251,-47,-119,-200,-1298,251,47,119,200,1298,4.173368146
2020/2/7,292,52,131,215,1426,292,52,131,215,1426,4.148865784
2020/2/8,14,10,11,9,65,14,10,11,9,65,3.926605505
2020/2/9,20,4,4,-2,59,20,4,4,2,59,3.853932584
2020/2/10,19,5,2,5,65,19,5,2,5,65,3.958333333
2020/2/11,-248,-45,-118,-198,-1304,248,45,118,198,1304,4.184004182
2020/2/12,12,5,12,17,85,12,5,12,17,85,4.20610687
2020/2/13,17,7,12,15,127,17,7,12,15,127,4.280898876
2020/2/14,299,50,137,216,1472,299,50,137,216,1472,4.155473781
2020/2/15,-252,-40,-112,-204,-1266,252,40,112,204,1266,4.169690502
2020/2/16,288,47,133,222,1435,288,47,133,222,1435,4.161882353
2020/2/17,19,6,16,11,81,19,6,16,11,81,3.969924812
2020/2/18,20,2,6,12,85,20,2,6,12,85,4.12
