ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ,
2020/1/1,47,8,14,10,55,3.134328358
2020/1/2,26,6,4,11,18,2.830769231
2020/1/3,17,1,1,2,36,3.684210526
2020/1/4,35,5,0,7,39,3.11627907
2020/1/5,19,4,6,2,32,3.380952381
2020/1/6,8,4,5,6,11,3.235294118
2020/1/7,12,2,3,1,30,3.729166667
2020/1/8,14,2,4,6,38,3.8125
2020/1/9,20,3,13,18,220,4.51459854
2020/1/10,31,6,22,54,381,4.51417004
2020/1/11,22,4,10,32,186,4.401574803
2020/1/12,14,3,5,7,42,3.845070423
2020/1/13,13,1,4,4,37,3.86440678
2020/1/14,12,5,4,3,28,3.576923077
2020/1/15,35,6,11,16,107,3.88
2020/1/16,23,1,9,4,36,3.397260274
2020/1/17,16,5,10,10,46,3.747126437
2020/1/18,25,6,6,10,63,3.727272727
2020/1/19,20,3,5,6,48,3.719512195
2020/1/20,23,7,6,5,58,3.686868687
2020/1/21,15,2,5,2,35,3.677966102
2020/1/22,16,3,3,5,43,3.8
2020/1/23,8,4,1,7,49,4.231884058
2020/1/24,9,2,5,7,52,4.213333333
2020/1/25,12,1,0,4,50,4.179104478
2020/1/26,9,2,3,8,38,4.066666667
2020/1/27,15,0,2,11,50,4.038461538
2020/1/28,14,2,0,7,49,4.041666667
2020/1/29,7,2,6,4,43,4.193548387
2020/1/30,13,3,8,11,55,4.022222222
2020/1/31,8,1,1,5,34,4.142857143
2020/2/1,4,0,2,3,34,4.465116279
2020/2/2,11,2,2,7,57,4.227848101
2020/2/3,8,2,2,5,51,4.308823529
2020/2/4,8,3,2,5,51,4.275362319
2020/2/5,3,3,6,7,57,4.473684211
2020/2/6,8,0,3,7,75,4.516129032
2020/2/7,6,2,6,5,61,4.4125
2020/2/8,7,0,2,9,67,4.517647059
2020/2/9,12,1,6,2,62,4.21686747
2020/2/10,10,0,4,9,76,4.424242424
2020/2/11,14,1,5,12,87,4.319327731
2020/2/12,8,3,4,7,72,4.404255319
2020/2/13,12,2,7,11,111,4.447552448
2020/2/14,55,10,19,25,133,3.70661157
2020/2/15,29,5,15,15,92,3.871794872
2020/2/16,30,6,5,8,100,3.953020134
2020/2/17,26,6,8,13,90,3.944055944
2020/2/18,49,1,13,7,135,3.868292683
2020/2/19,27,2,10,19,113,4.105263158
2020/2/20,36,11,11,17,130,3.946341463
2020/2/21,36,9,17,14,125,3.910447761
2020/2/22,48,4,13,22,114,3.746268657
2020/2/23,21,5,9,12,115,4.203703704
2020/2/24,35,11,18,18,118,3.865
2020/2/25,24,3,7,9,98,4.092198582
2020/2/26,42,6,13,14,122,3.852791878
2020/2/27,48,7,8,13,150,3.92920354
2020/2/28,29,8,19,19,106,3.91160221
2020/2/29,28,1,3,5,102,4.09352518
2020/3/1,20,2,8,16,104,4.213333333
2020/3/2,22,5,3,14,108,4.190789474
2020/3/3,25,8,10,17,125,4.12972973
2020/3/4,19,4,9,12,91,4.125925926
2020/3/5,25,7,11,17,147,4.22705314
2020/3/6,18,5,10,11,120,4.280487805
2020/3/7,19,4,9,8,103,4.202797203
2020/3/8,20,4,13,11,94,4.091549296
2020/3/9,20,2,9,17,101,4.187919463
2020/3/10,37,4,9,14,106,3.870588235
2020/3/11,34,6,9,15,114,3.949438202
2020/3/12,30,5,12,24,115,4.016129032
2020/3/13,34,0,6,9,95,3.909722222
2020/3/14,12,3,5,14,114,4.452702703
2020/3/15,36,6,12,18,102,3.827586207
2020/3/16,31,9,20,26,133,4.00913242
2020/3/17,27,5,13,18,119,4.082417582
2020/3/18,32,6,3,18,164,4.237668161
2020/3/19,42,7,14,24,116,3.812807882
2020/3/20,17,5,10,7,109,4.256756757
2020/3/21,25,3,11,12,123,4.17816092
2020/3/22,22,0,6,9,91,4.1484375
2020/3/23,22,2,11,9,126,4.264705882
2020/3/24,22,3,6,10,106,4.19047619
2020/3/25,28,9,10,16,145,4.158653846
2020/3/26,35,5,16,18,137,4.028436019
2020/3/27,15,4,9,18,102,4.27027027
2020/3/28,14,2,9,10,81,4.224137931
2020/3/29,22,7,15,3,75,3.836065574
2020/3/30,16,1,11,12,124,4.384146341
2020/3/31,15,5,10,10,155,4.461538462
2020/4/1,17,3,13,8,137,4.376404494
2020/4/2,33,11,31,99,889,4.69332079
2020/4/3,17,2,7,8,125,4.396226415
2020/4/4,1,0,0,0,10,4.636363636
2020/4/5,21,2,6,5,65,3.919191919
2020/4/6,23,6,9,9,121,4.18452381
2020/4/7,15,4,8,12,136,4.428571429
2020/4/8,17,4,4,11,141,4.440677966
2020/4/9,44,11,36,103,804,4.615230461
2020/4/10,27,6,8,16,134,4.172774869
2020/4/11,21,6,5,12,135,4.30726257
2020/4/12,21,3,6,12,89,4.106870229
2020/4/13,19,6,8,11,118,4.25308642
2020/4/14,24,7,8,13,86,3.942028986
2020/4/15,26,3,8,12,102,4.066225166
2020/4/16,28,3,5,12,122,4.158823529
2020/4/17,28,6,12,13,106,3.987878788
2020/4/18,29,4,6,11,80,3.838461538
2020/4/19,21,3,8,12,89,4.090225564
2020/4/20,40,4,14,4,95,3.700636943
2020/4/21,17,4,10,7,94,4.189393939
2020/4/22,16,2,8,7,84,4.205128205
2020/4/23,15,6,4,4,92,4.256198347
2020/4/24,13,3,5,3,58,4.097560976
2020/4/25,20,3,3,9,83,4.118644068
2020/4/26,15,4,6,6,83,4.210526316
2020/4/27,15,2,4,6,67,4.14893617
2020/4/28,14,1,2,8,52,4.077922078
2020/4/29,20,5,5,11,95,4.147058824
2020/4/30,10,5,4,12,87,4.36440678
2020/5/1,10,0,2,6,53,4.295774648
2020/5/2,0,0,0,0,0,#DIV/0!
2020/5/3,17593,3115,6269,9695,81254,4.135474789
2020/5/4,0,0,0,0,0,#DIV/0!
2020/5/5,0,0,0,0,0,#DIV/0!
2020/5/6,17651,3125,6288,9721,81577,4.135905105
2020/5/7,15,1,5,4,76,4.237623762
2020/5/8,18,2,4,3,84,4.198198198
2020/5/9,17,4,4,9,78,4.133928571
2020/5/10,15,3,5,13,80,4.206896552
2020/5/11,10,3,3,7,65,4.295454545
2020/5/12,4,1,6,0,61,4.569444444
2020/5/13,6,4,3,3,60,4.407894737
2020/5/14,13,0,3,4,55,4.173333333
2020/5/15,7,3,1,4,60,4.426666667
2020/5/16,24,3,11,8,87,3.984962406
2020/5/17,11,4,11,7,73,4.198113208
2020/5/18,12,0,2,4,47,4.138461538
2020/5/19,9,5,6,0,52,4.125
2020/5/20,0,0,0,0,9,5
2020/5/21,0,0,0,0,0,#DIV/0!
2020/5/22,0,0,0,0,0,#DIV/0!
2020/5/23,0,0,0,0,0,#DIV/0!
2020/5/24,0,0,0,0,0,#DIV/0!
2020/5/25,8,2,4,2,44,4.2
2020/5/26,15,3,3,4,40,3.784615385
2020/5/27,7,5,2,6,50,4.242857143
2020/5/28,20,4,17,29,356,4.636150235
2020/5/29,20,6,21,51,359,4.582056893
2020/5/30,21,6,6,20,156,4.358851675
2020/5/31,16,3,6,10,87,4.221311475
2020/6/1,10,2,2,5,79,4.43877551
2020/6/2,-2,1,1,1,9,5.2
2020/6/3,0,0,0,0,0,#DIV/0!
2020/6/4,-3,0,-2,0,-2,2.714285714
2020/6/5,3,2,4,6,31,4.304347826
2020/6/6,13,2,8,5,73,4.217821782
2020/6/7,10,4,7,9,73,4.27184466
2020/6/8,16,2,3,5,23,3.346938776
2020/6/9,8,1,4,4,29,3.97826087
2020/6/10,6,2,1,9,24,4.023809524
2020/6/11,9,1,3,3,38,4.111111111
2020/6/12,7,0,2,6,36,4.254901961
2020/6/13,25,5,11,12,72,3.808
2020/6/14,14,5,7,6,54,3.941860465
2020/6/15,10,2,1,4,26,3.790697674
2020/6/16,9,1,6,5,23,3.727272727
2020/6/17,8,2,5,0,22,3.702702703
2020/6/18,4,1,3,1,41,4.48
2020/6/19,9,1,6,8,41,4.092307692
2020/6/20,20,1,8,10,58,3.87628866
2020/6/21,25,2,9,7,67,3.809090909
2020/6/22,7,0,3,3,36,4.244897959
2020/6/23,7,0,6,2,47,4.322580645
2020/6/24,12,0,3,4,66,4.317647059
2020/6/25,16,3,7,10,65,4.03960396
2020/6/26,9,2,2,14,46,4.178082192
2020/6/27,9,1,5,7,63,4.341176471
2020/6/28,7,1,1,5,35,4.224489796
2020/6/29,8,3,3,7,52,4.260273973
2020/6/30,7,4,7,6,35,3.983050847
2020/7/1,9,0,6,2,29,3.913043478
2020/7/2,12,0,6,12,29,3.779661017
2020/7/3,10,1,7,3,37,3.965517241
2020/7/4,9,3,7,8,67,4.287234043
2020/7/5,13,2,4,7,54,4.0875
2020/7/6,10,2,3,3,46,4.140625
2020/7/7,7,2,4,5,33,4.078431373
2020/7/8,8,1,3,1,10,3.173913043
