日期,一星,二星,三星,四星,五星,平均评分
2020/1/1,18,33,34,68,1307,4.789726027
2020/1/2,15,0,5,9,369,4.801507538
2020/1/3,25,13,24,42,652,4.697089947
2020/1/4,30,31,33,70,1306,4.762585034
2020/1/5,27,25,37,65,1117,4.746656176
2020/1/6,17,8,18,26,508,4.733102253
2020/1/7,10,0,13,32,724,4.874197689
2020/1/8,15,20,28,59,1030,4.796006944
2020/1/9,32,18,18,70,1163,4.778631822
2020/1/10,25,22,60,90,1598,4.790529248
2020/1/11,34,7,43,114,1869,4.827285922
2020/1/12,39,30,40,106,1591,4.760797342
2020/1/13,24,16,37,65,1501,4.827754108
2020/1/14,39,33,17,92,1414,4.761128527
2020/1/15,28,27,33,76,1583,4.808242702
2020/1/16,39,15,44,115,1641,4.782092772
2020/1/17,40,11,44,82,1669,4.803358613
2020/1/18,51,10,43,96,1746,4.78622816
2020/1/19,22,16,40,113,1735,4.829179647
2020/1/20,34,14,32,76,1664,4.825274725
2020/1/21,47,26,43,82,1692,4.77037037
2020/1/22,29,26,48,154,1953,4.799095023
2020/1/23,44,19,36,92,2131,4.829026701
2020/1/24,46,28,52,154,2644,4.820109439
2020/1/25,53,26,33,148,2538,4.819871337
2020/1/26,52,44,45,114,2193,4.777777778
2020/1/27,52,27,42,92,1850,4.774600097
2020/1/28,35,26,41,105,1760,4.794102694
2020/1/29,24,32,37,98,1544,4.790201729
2020/1/30,34,7,59,97,1662,4.799892415
2020/1/31,31,35,35,94,1512,4.769771529
2020/2/1,45,7,27,97,1365,4.771576898
2020/2/2,38,19,47,83,1413,4.75875
2020/2/3,47,28,41,83,1455,4.735792019
2020/2/4,39,27,63,87,1310,4.705111402
2020/2/5,47,23,31,67,1316,4.739892183
2020/2/6,40,41,51,84,1511,4.728430805
2020/2/7,52,28,55,114,1568,4.71601541
2020/2/8,42,41,63,101,1593,4.718478261
2020/2/9,45,36,58,60,1425,4.714285714
2020/2/10,60,34,55,109,1380,4.657509158
2020/2/11,38,48,65,106,1446,4.6876101
2020/2/12,54,36,49,98,1464,4.694297472
2020/2/13,71,34,67,97,1616,4.672679045
2020/2/14,88,33,96,160,1791,4.629612546
2020/2/15,64,52,47,122,1839,4.70433145
2020/2/16,77,45,54,85,1793,4.690360273
2020/2/17,70,54,51,129,1646,4.654871795
2020/2/18,74,43,76,136,1689,4.646679881
2020/2/19,74,63,60,133,1704,4.637168142
2020/2/20,73,56,71,135,1668,4.632051922
2020/2/21,87,61,86,165,1844,4.613018279
2020/2/22,108,57,58,141,1805,4.603503919
2020/2/23,55,19,37,81,1185,4.68627451
2020/2/24,42,16,22,83,1207,4.749635036
2020/2/25,47,21,21,73,1217,4.734590283
2020/2/26,83,39,49,135,2055,4.711139348
2020/2/27,160,96,177,281,2351,4.49004894
2020/2/28,61,47,85,95,1524,4.641280353
2020/2/29,77,21,54,116,1692,4.696428571
