"日期","收入预估~iPad"
"2024-12-31","44922"
"2024-12-30","44958"
"2024-12-29","45006"
"2024-12-28","45003"
"2024-12-27","44921"
"2024-12-26","45120"
"2024-12-25","44870"
"2024-12-24","44771"
"2024-12-23","44776"
"2024-12-22","44804"
"2024-12-21","44815"
"2024-12-20","44922"
"2024-12-19","44721"
"2024-12-18","45165"
"2024-12-17","44943"
"2024-12-16","45112"
"2024-12-15","44827"
"2024-12-14","44786"
"2024-12-13","44903"
"2024-12-12","44802"
"2024-12-11","44996"
"2024-12-10","44857"
"2024-12-09","44946"
"2024-12-08","45142"
"2024-12-07","44821"
"2024-12-06","45113"
"2024-12-05","45144"
"2024-12-04","45042"
"2024-12-03","44961"
"2024-12-02","44764"
"2024-12-01","44745"
"2024-11-30","44805"
"2024-11-29","44805"
"2024-11-28","45087"
"2024-11-27","44825"
"2024-11-26","45070"
"2024-11-25","44844"
"2024-11-24","45116"
"2024-11-23","45009"
"2024-11-22","44930"
"2024-11-21","45146"
"2024-11-20","45097"
"2024-11-19","44972"
"2024-11-18","45090"
"2024-11-17","44941"
"2024-11-16","44824"
"2024-11-15","44942"
"2024-11-14","44742"
"2024-11-13","32348"
"2024-11-12","33227"
"2024-11-11","33370"
"2024-11-10","33380"
"2024-11-09","33372"
"2024-11-08","33218"
"2024-11-07","33128"
"2024-11-06","37413"
"2024-11-05","45033"
"2024-11-04","17859"
"2024-11-03","21542"
"2024-11-02","23668"
"2024-11-01","18484"
"2024-10-31","22835"
"2024-10-30","23783"
"2024-10-29","24044"
"2024-10-28","34621"
"2024-10-27","32383"
"2024-10-26","35128"
"2024-10-25","19020"
"2024-10-24","17722"
"2024-10-23","19474"
"2024-10-22","23168"
"2024-10-21","20738"
"2024-10-20","22499"
"2024-10-19","32468"
"2024-10-18","43761"
"2024-10-17","13624"
"2024-10-16","12904"
"2024-10-15","14255"
"2024-10-14","16499"
"2024-10-13","15793"
"2024-10-12","12818"
"2024-10-11","13271"
"2024-10-10","14953"
"2024-10-09","15468"
"2024-10-08","17744"
"2024-10-07","15354"
"2024-10-06","14036"
"2024-10-05","15193"
"2024-10-04","15575"
"2024-10-03","17944"
"2024-10-02","21360"
"2024-10-01","22436"
"2024-09-30","23705"
"2024-09-29","16637"
"2024-09-28","17868"
"2024-09-27","12914"
"2024-09-26","13940"
"2024-09-25","17344"
"2024-09-24","21843"
"2024-09-23","17056"
"2024-09-22","17389"
"2024-09-21","15238"
"2024-09-20","16789"
"2024-09-19","16893"
"2024-09-18","21328"
"2024-09-17","25706"
"2024-09-16","33691"
"2024-09-15","41380"
"2024-09-14","52237"
"2024-09-13","94386"
"2024-09-12","17886"
"2024-09-11","22270"
"2024-09-10","24059"
"2024-09-09","31927"
"2024-09-08","43353"
"2024-09-07","29526"
"2024-09-06","12032"
"2024-09-05","15528"
"2024-09-04","17707"
"2024-09-03","17341"
"2024-09-02","15473"
"2024-09-01","11261"
"2024-08-31","14500"
"2024-08-30","11283"
"2024-08-29","12037"
"2024-08-28","14181"
"2024-08-27","15267"
"2024-08-26","18012"
"2024-08-25","19680"
"2024-08-24","22353"
"2024-08-23","20278"
"2024-08-22","22310"
"2024-08-21","21676"
"2024-08-20","31472"
"2024-08-19","27904"
"2024-08-18","21977"
"2024-08-17","27818"
"2024-08-16","23714"
