"日期","一星","二星","三星","四星","五星"
"2020-01-01","0","0","0","0","0"
"2020-01-02","0","0","0","0","0"
"2020-01-03","0","0","0","0","0"
"2020-01-04","0","0","0","0","0"
"2020-01-05","0","0","0","0","0"
"2020-01-06","0","0","0","0","0"
"2020-01-07","0","0","0","0","0"
"2020-01-08","0","0","0","0","0"
"2020-01-09","0","0","0","0","0"
"2020-01-10","0","0","0","0","0"
"2020-01-11","0","0","0","0","0"
"2020-01-12","0","0","0","0","0"
"2020-01-13","0","0","0","0","0"
"2020-01-14","0","0","0","0","0"
"2020-01-15","0","0","0","0","0"
"2020-01-16","0","0","0","0","0"
"2020-01-17","0","0","0","0","0"
"2020-01-18","0","0","0","0","0"
"2020-01-19","0","0","0","0","0"
"2020-01-20","0","0","0","0","0"
"2020-01-21","0","0","0","0","0"
"2020-01-22","0","0","0","0","0"
"2020-01-23","0","0","0","0","0"
"2020-01-24","0","0","0","0","0"
"2020-01-25","0","0","0","0","0"
"2020-01-26","0","0","0","0","0"
"2020-01-27","0","0","0","0","0"
"2020-01-28","0","0","0","0","0"
"2020-01-29","0","0","0","0","0"
"2020-01-30","0","0","0","0","0"
"2020-01-31","0","0","0","0","0"
"2020-02-01","0","0","0","0","0"
"2020-02-02","0","0","0","0","0"
"2020-02-03","0","0","0","0","0"
"2020-02-04","0","0","0","0","0"
"2020-02-05","0","0","0","0","0"
"2020-02-06","0","0","0","0","0"
"2020-02-07","0","0","0","0","0"
"2020-02-08","0","0","0","0","0"
"2020-02-09","0","0","0","0","0"
"2020-02-10","0","0","0","0","0"
"2020-02-11","0","0","0","0","0"
"2020-02-12","0","0","0","0","0"
"2020-02-13","0","0","0","0","0"
"2020-02-14","0","0","0","0","0"
"2020-02-15","0","0","0","0","0"
"2020-02-16","0","0","0","0","0"
"2020-02-17","0","0","0","0","0"
"2020-02-18","0","0","0","0","0"
"2020-02-19","0","0","0","0","0"
"2020-02-20","0","0","0","0","0"
"2020-02-21","0","0","0","0","0"
"2020-02-22","0","0","0","0","0"
"2020-02-23","0","0","0","0","0"
"2020-02-24","0","0","0","0","0"
"2020-02-25","0","0","0","0","0"
"2020-02-26","0","0","0","0","0"
"2020-02-27","0","0","0","0","0"
"2020-02-28","0","0","0","0","0"
"2020-02-29","0","0","0","0","0"
"2020-03-01","0","0","0","0","0"
"2020-03-02","0","0","0","0","0"
"2020-03-03","0","0","0","0","0"
"2020-03-04","0","0","0","0","0"
"2020-03-05","0","0","0","0","0"
"2020-03-06","0","0","0","0","0"
"2020-03-07","0","0","0","0","0"
"2020-03-08","0","0","0","0","0"
"2020-03-09","0","0","0","0","0"
"2020-03-10","0","0","0","0","0"
"2020-03-11","0","0","0","0","0"
"2020-03-12","0","0","0","0","0"
"2020-03-13","0","0","0","0","0"
"2020-03-14","0","0","0","0","0"
"2020-03-15","0","0","0","0","0"
"2020-03-16","0","0","0","0","0"
"2020-03-17","0","0","0","0","0"
"2020-03-18","0","0","0","0","0"
"2020-03-19","0","0","0","0","0"
"2020-03-20","0","0","0","0","0"
"2020-03-21","0","0","0","0","0"
"2020-03-22","0","0","0","0","0"
"2020-03-23","0","0","0","0","0"
"2020-03-24","0","0","0","0","0"
"2020-03-25","0","0","0","0","0"
"2020-03-26","0","0","0","0","0"
"2020-03-27","0","0","0","0","0"
"2020-03-28","0","0","0","0","0"
"2020-03-29","0","0","0","0","0"
"2020-03-30","0","0","0","0","0"
"2020-03-31","0","0","0","0","0"
"2020-04-01","0","0","0","0","0"
"2020-04-02","0","0","0","0","0"
"2020-04-03","0","0","0","0","0"
"2020-04-04","0","0","0","0","0"
"2020-04-05","0","0","0","0","0"
"2020-04-06","0","0","0","0","0"
"2020-04-07","0","0","0","0","0"
"2020-04-08","0","0","0","0","0"
"2020-04-09","0","0","0","0","0"
"2020-04-10","0","0","0","0","0"
"2020-04-11","0","0","0","0","0"
"2020-04-12","0","0","0","0","0"
"2020-04-13","0","0","0","0","0"
"2020-04-14","0","0","0","0","0"
"2020-04-15","0","0","0","0","0"
"2020-04-16","0","0","0","0","0"
"2020-04-17","0","0","0","0","0"
"2020-04-18","0","0","0","0","0"
"2020-04-19","0","0","0","0","0"
"2020-04-20","0","0","0","0","0"
"2020-04-21","0","0","0","0","0"
"2020-04-22","0","0","0","0","0"
"2020-04-23","0","0","0","0","0"
"2020-04-24","0","0","0","0","0"
"2020-04-25","0","0","0","0","0"
"2020-04-26","0","0","0","0","0"
"2020-04-27","0","0","0","0","0"
"2020-04-28","0","0","0","0","0"
"2020-04-29","0","0","0","0","0"
"2020-04-30","0","0","0","0","0"
"2020-05-01","0","0","0","0","0"
"2020-05-02","0","0","0","0","0"
"2020-05-03","0","0","0","0","0"
"2020-05-04","0","0","0","0","0"
"2020-05-05","0","0","0","0","0"
"2020-05-06","0","0","0","0","0"
"2020-05-07","0","0","0","0","0"
"2020-05-08","0","0","0","0","0"
"2020-05-09","0","0","0","0","0"
"2020-05-10","0","0","0","0","0"
"2020-05-11","0","0","0","0","0"
"2020-05-12","0","0","0","0","0"
"2020-05-13","0","0","0","0","0"
"2020-05-14","0","0","0","0","0"
"2020-05-15","0","0","0","0","0"
"2020-05-16","0","0","0","0","0"
"2020-05-17","0","0","0","0","0"
"2020-05-18","0","0","0","0","0"
"2020-05-19","0","0","0","0","0"
"2020-05-20","0","0","0","0","0"
"2020-05-21","0","0","0","0","0"
"2020-05-22","0","0","0","0","0"
"2020-05-23","0","0","0","0","0"
"2020-05-24","0","0","0","0","0"
"2020-05-25","0","0","0","0","0"
"2020-05-26","0","0","0","0","0"
"2020-05-27","0","0","0","0","0"
"2020-05-28","0","0","0","0","0"
"2020-05-29","0","0","0","0","0"
"2020-05-30","0","0","0","0","0"
"2020-05-31","0","0","0","0","0"
"2020-06-01","0","0","0","0","0"
"2020-06-02","0","0","0","0","0"
"2020-06-03","0","0","0","0","0"
"2020-06-04","0","0","0","0","0"
"2020-06-05","0","0","0","0","0"
"2020-06-06","0","0","0","0","0"
"2020-06-07","0","0","0","0","0"
"2020-06-08","0","0","0","0","0"
"2020-06-09","0","0","0","0","0"
"2020-06-10","0","0","0","0","0"
"2020-06-11","0","0","0","0","0"
"2020-06-12","0","0","0","0","0"
"2020-06-13","0","0","0","0","0"
"2020-06-14","0","0","0","0","0"
"2020-06-15","0","0","0","0","0"
"2020-06-16","0","0","0","0","0"
"2020-06-17","0","0","0","0","0"
"2020-06-18","0","0","0","0","0"
"2020-06-19","0","0","0","0","0"
"2020-06-20","0","0","0","0","0"
"2020-06-21","0","0","0","0","0"
"2020-06-22","0","0","0","0","0"
"2020-06-23","0","0","0","0","0"
"2020-06-24","0","0","0","0","0"
"2020-06-25","0","0","0","0","0"
"2020-06-26","0","0","0","0","0"
"2020-06-27","0","0","0","0","0"
"2020-06-28","0","0","0","0","0"
"2020-06-29","0","0","0","0","0"
"2020-06-30","0","0","0","0","0"
"2020-07-01","0","0","0","0","0"
"2020-07-02","0","0","0","0","0"
"2020-07-03","0","0","0","0","0"
"2020-07-04","0","0","0","0","0"
"2020-07-05","0","0","0","0","0"
"2020-07-06","0","0","0","0","0"
"2020-07-07","0","0","0","0","0"
"2020-07-08","0","0","0","0","0"
"2020-07-09","0","0","0","0","0"
"2020-07-10","0","0","0","0","0"
"2020-07-11","0","0","0","0","0"
"2020-07-12","0","0","0","0","0"
"2020-07-13","0","0","0","0","0"
"2020-07-14","0","0","0","0","0"
"2020-07-15","0","0","0","0","0"
"2020-07-16","0","0","0","0","0"
"2020-07-17","0","0","0","0","0"
"2020-07-18","0","0","0","0","0"
"2020-07-19","0","0","0","0","0"
"2020-07-20","0","0","0","0","0"
"2020-07-21","0","0","0","0","0"
"2020-07-22","0","0","0","0","0"
"2020-07-23","0","0","0","0","0"
"2020-07-24","0","0","0","0","0"
"2020-07-25","0","0","0","0","0"
"2020-07-26","0","0","0","0","0"
"2020-07-27","0","0","0","0","0"
"2020-07-28","0","0","0","0","0"
"2020-07-29","0","0","0","0","0"
"2020-07-30","0","0","0","0","0"
"2020-07-31","0","0","0","0","0"
"2020-08-01","0","0","0","0","0"
"2020-08-02","0","0","0","0","0"
"2020-08-03","0","0","0","0","0"
"2020-08-04","0","0","0","0","0"
"2020-08-05","0","0","0","0","0"
"2020-08-06","0","0","0","0","0"
"2020-08-07","0","0","0","0","0"
"2020-08-08","0","0","0","0","0"
"2020-08-09","0","0","0","0","0"
"2020-08-10","0","0","0","0","0"
"2020-08-11","0","0","0","0","0"
"2020-08-12","0","0","0","0","0"
"2020-08-13","0","0","0","0","0"
"2020-08-14","0","0","0","0","0"
"2020-08-15","0","0","0","0","0"
"2020-08-16","0","0","0","0","0"
"2020-08-17","0","0","0","0","0"
"2020-08-18","0","0","0","0","0"
"2020-08-19","0","0","0","0","0"
"2020-08-20","0","0","0","0","0"
"2020-08-21","0","0","0","0","0"
"2020-08-22","0","0","0","0","0"
"2020-08-23","0","0","0","0","0"
"2020-08-24","0","0","0","0","0"
"2020-08-25","0","0","0","0","0"
"2020-08-26","0","0","0","0","0"
"2020-08-27","0","0","0","0","0"
"2020-08-28","0","0","0","0","0"
"2020-08-29","0","0","0","0","0"
"2020-08-30","0","0","0","0","0"
"2020-08-31","0","0","0","0","0"
"2020-09-01","0","0","0","0","0"
"2020-09-02","0","0","0","0","0"
"2020-09-03","0","0","0","0","0"
"2020-09-04","0","0","0","0","0"
"2020-09-05","0","0","0","0","0"
"2020-09-06","0","0","0","0","0"
"2020-09-07","0","0","0","0","0"
"2020-09-08","0","0","0","0","0"
"2020-09-09","0","0","0","0","0"
"2020-09-10","0","0","0","0","0"
"2020-09-11","0","0","0","0","0"
"2020-09-12","0","0","0","0","0"
"2020-09-13","0","0","0","0","0"
"2020-09-14","0","0","0","0","0"
"2020-09-15","0","0","0","0","0"
"2020-09-16","0","0","0","0","0"
"2020-09-17","0","0","0","0","0"
"2020-09-18","0","0","0","0","0"
"2020-09-19","0","0","0","0","0"
"2020-09-20","0","0","0","0","0"
"2020-09-21","0","0","0","0","0"
"2020-09-22","0","0","0","0","0"
"2020-09-23","0","0","0","0","0"
"2020-09-24","0","0","0","0","0"
"2020-09-25","0","0","0","0","0"
"2020-09-26","5803","430","730","761","8499"
"2020-09-27","6317","413","423","390","4028"
"2020-09-28","2797","125","179","211","1492"
"2020-09-29","9452","861","1089","1727","13461"
"2020-09-30","4442","457","688","1246","9975"
"2020-10-01","2249","219","432","787","6198"
"2020-10-02","1998","229","384","701","5673"
"2020-10-03","1881","281","387","671","5226"
"2020-10-04","1346","155","234","414","3970"
"2020-10-05","1055","126","206","433","3361"
"2020-10-06","1110","150","261","425","3464"
"2020-10-07","840","122","172","332","2548"
"2020-10-08","782","117","198","352","2309"
"2020-10-09","720","116","142","267","2104"
"2020-10-10","568","67","105","199","1392"
"2020-10-11","580","56","100","172","1335"
"2020-10-12","864","109","141","253","1758"
"2020-10-13","424","59","97","168","1025"
"2020-10-14","498","76","105","158","1187"
"2020-10-15","417","50","89","157","952"
"2020-10-16","407","37","93","159","1074"
"2020-10-17","339","60","84","144","921"
"2020-10-18","518","93","133","193","1236"
"2020-10-19","459","81","114","164","1209"
"2020-10-20","182","30","51","97","520"
"2020-10-21","335","33","47","118","676"
"2020-10-22","271","35","48","90","578"
"2020-10-23","310","33","67","144","711"
"2020-10-24","425","58","63","144","813"
"2020-10-25","411","56","82","155","1020"
"2020-10-26","478","81","96","195","1181"
"2020-10-27","209","32","57","66","590"
"2020-10-28","304","37","48","105","645"
"2020-10-29","228","31","48","89","507"
"2020-10-30","293","40","51","93","575"
"2020-10-31","182","35","48","80","655"
"2020-11-01","289","50","75","119","853"
"2020-11-02","266","40","62","128","717"
"2020-11-03","164","22","19","73","370"
"2020-11-04","143","22","35","56","382"
"2020-11-05","189","31","46","80","507"
"2020-11-06","207","26","61","78","518"
"2020-11-07","180","28","34","64","524"
