原始日期,Dota2国际邀请赛,LoL全球总决赛,LoL季中冠军赛,LPL春季赛,LPL夏季赛,年份
2013-12-31,1600000.0,,,236341.11,237974.1,2013
2014-12-31,10931103.0,2130000.0,,231839.05,235868.6,2014
2015-12-31,18429613.05,2130000.0,200000.0,378782.4,378782.4,2015
2016-12-31,20770460.0,5070000.0,450000.0,540291.5,526799.0,2016
2017-12-31,24687919.0,4946969.0,1690000.0,508210.5,508210.5,2017
2018-12-31,25532177.0,6450000.0,1370520.0,552695.5,539595.0,2018
2019-12-31,34330069.0,2225000.0,250000.01,520100.0,498400.0,2019
2020-12-31,43573016.59725062,2340000.0,600000.0,496510.0,609364.9,2020
2021-12-31,40018400.0,2180500.0,244975.0,644070.0,650328.0,2021
2022-12-31,18930256.0,2225000.0,245000.0,634384.8,613410.0,2022
2023-12-31,3380904.0,2225000.0,250000.0,611520.0,583926.0,2023
2024-12-31,2581982.0,2225000.0,250000.0,580356.0,577752.0,2024
