市场规模:游戏全球:年,市场规模:游戏:移动游戏:全球:年,市场规模:游戏:移动游戏:平板:全球:年,市场规模:游戏:移动游戏:智能手机:全球:年,市场规模:游戏:PC游戏:全球:年,市场规模:游戏:PC游戏:网页:全球:年,市场规模:游戏:PC游戏:客户端:全球:年,市场规模:游戏:主机游戏:全球:年,年份,中国游戏市场实际销售收入（亿元）,中国游戏用户规模（百万）,审批数量:进口网络游戏:合计:年,审批数量:进口网络游戏:PC:年,审批数量:进口网络游戏:移动:年,审批数量:进口网络游戏:游戏机:年
,,,,,,,,2009,,,29,29,0,0
,,,,,,,,2010,,,24,24,0,0
,,,,,,,,2011,,,41,41,0,0
,,,,,,,,2012,,,45,45,0,0
,,,,,,,,2013,,,58,53,5,0
,,,,,,,,2014,,,59,48,3,8
,,,,,,,,2015,,,82,24,19,39
99.6,1.4,,,31.9,,,1.3,2016,,,227,37,104,84
116.0,50.4,11.4,39.1,32.3,5.2,27.1,33.3,2017,,,465,52,335,65
134.9,63.2,13.2,50.0,33.4,4.3,29.2,38.3,2018,,,53,10,38,2
148.8,68.2,13.4,54.7,35.3,3.5,31.8,45.3,2019,2308.77,641.08,180,31,135,14
174.9,86.3,11.4,74.9,37.4,3.2,34.2,51.2,2020,2786.87,664.79,97,12,74,10
175.8,90.7,11.6,79.0,35.9,2.6,33.3,49.2,2021,2965.13,666.24,76,11,55,11
184.4,92.2,,,40.5,2.3,38.2,51.8,2022,2658.84,664.07,44,9,33,4
183.9,89.9,,,41.5,1.9,39.6,52.4,2023,3029.64,668.09,98,20,76,8
187.7,92.6,,,43.2,,,51.9,2024,3257.83,674.36,110,23,85,13
