时间,开服数量:国内网页游戏:总计:当期值:月,开服数量:国内网页游戏:第一名:当期值:月,开服数量:国内网页游戏:第二名:当期值:月,开服数量:国内网页游戏:第三名:当期值:月,实际销售收入:国内游戏市场:当期值:月,实际销售收入:中国游戏客户端市场:当期值:月,实际销售收入:中国游戏移动端市场:当期值:月,实际销售收入:自主研发网游海外市场:当期值:月,开服数量:国内网页游戏运营平台:总计:当期值:月,开服数量:国内网页游戏运营平台:第一名:当期值:月,开服数量:国内网页游戏运营平台:第二名:当期值:月,开服数量:国内网页游戏运营平台:第三名:当期值:月,游戏APP预估下载量:iphone:游戏:当期值:月,游戏APP预估下载量:ipad:游戏:当期值:月,游戏APP预估收入:iphone:休闲:当期值:月,游戏APP预估收入:iphone:动作:当期值:月,游戏APP预估收入:iphone:角色扮演:当期值:月,游戏APP预估收入:iphone:策略:当期值:月,游戏APP预估收入:iphone:益智解谜:当期值:月,游戏APP预估收入:iphone:模拟:当期值:月,游戏APP预估收入:iphone:冒险:当期值:月,游戏APP预估收入:iphone:卡牌:当期值:月,游戏APP预估收入:iphone:桌面:当期值:月,游戏APP预估收入:iphone:家庭聚会:当期值:月,游戏APP预估收入:iphone:游戏:当期值:月,游戏APP预估收入:iphone:竞速:当期值:月,游戏APP预估收入:iphone:体育:当期值:月,游戏APP预估收入:iphone:字谜:当期值:月,游戏APP预估收入:iphone:娱乐场:当期值:月,游戏APP预估收入:iphone:音乐:当期值:月,游戏APP预估收入:iphone:问答:当期值:月,游戏APP预估收入:ipad:休闲:当期值:月,游戏APP预估收入:ipad:动作:当期值:月,游戏APP预估收入:ipad:角色扮演:当期值:月,游戏APP预估收入:ipad:策略:当期值:月,游戏APP预估收入:ipad:益智解谜:当期值:月,游戏APP预估收入:ipad:模拟:当期值:月,游戏APP预估收入:ipad:冒险:当期值:月,游戏APP预估收入:ipad:卡牌:当期值:月,游戏APP预估收入:ipad:桌面:当期值:月,游戏APP预估收入:ipad:家庭聚会:当期值:月,游戏APP预估收入:ipad:游戏:当期值:月,游戏APP预估收入:ipad:竞速:当期值:月,游戏APP预估收入:ipad:体育:当期值:月,游戏APP预估收入:ipad:字谜:当期值:月,游戏APP预估收入:ipad:娱乐场:当期值:月,游戏APP预估收入:ipad:音乐:当期值:月,游戏APP预估收入:ipad:问答:当期值:月,游戏APP数量:iphone:休闲:当期值:月,游戏APP数量:iphone:动作:当期值:月,游戏APP数量:iphone:角色扮演:当期值:月,游戏APP数量:iphone:策略:当期值:月,游戏APP数量:iphone:益智解谜:当期值:月,游戏APP数量:iphone:模拟:当期值:月,游戏APP数量:iphone:冒险:当期值:月,游戏APP数量:iphone:卡牌:当期值:月,游戏APP数量:iphone:桌面:当期值:月,游戏APP数量:iphone:家庭聚会:当期值:月,游戏APP数量:iphone:游戏:当期值:月,游戏APP数量:iphone:竞速:当期值:月,游戏APP数量:iphone:体育:当期值:月,游戏APP数量:iphone:字谜:当期值:月,游戏APP数量:iphone:娱乐场:当期值:月,游戏APP数量:iphone:音乐:当期值:月,游戏APP数量:iphone:问答:当期值:月,游戏APP数量:ipad:休闲:当期值:月,游戏APP数量:ipad:动作:当期值:月,游戏APP数量:ipad:角色扮演:当期值:月,游戏APP数量:ipad:策略:当期值:月,游戏APP数量:ipad:益智解谜:当期值:月,游戏APP数量:ipad:模拟:当期值:月,游戏APP数量:ipad:冒险:当期值:月,游戏APP数量:ipad:卡牌:当期值:月,游戏APP数量:ipad:桌面:当期值:月,游戏APP数量:ipad:家庭聚会:当期值:月,游戏APP数量:ipad:游戏:当期值:月,游戏APP数量:ipad:竞速:当期值:月,游戏APP数量:ipad:体育:当期值:月,游戏APP数量:ipad:字谜:当期值:月,游戏APP数量:ipad:娱乐场:当期值:月,游戏APP数量:ipad:音乐:当期值:月,游戏APP数量:ipad:问答:当期值:月,开服数量:国内网页游戏研发商:第一名:当期值:月（组）,开服数量:国内网页游戏研发商:第二名:当期值:月（组）,开服数量:国内网页游戏研发商:第三名:当期值:月（组）
2006-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2007-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2008-06-30,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2008-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2009-06-30,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2009-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2010-06-30,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2010-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2011-06-30,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
2011-12-31,-2.0655312086049424e-16,2.220446049250313e-16,0.0,1.4023869784738819e-16,2.6586919800234013e-16,-8.326672684688674e-16,-6.972979698522913e-16,7.535343507562233e-16,1.0765799026668185e-16,2.8047739569477637e-16,4.674623261579606e-17,-2.1035804677108228e-16,,,-3.469446951953614e-17,0.0,3.469446951953614e-18,-6.071532165918825e-18,2.42861286636753e-17,6.938893903907228e-18,2.42861286636753e-17,-7.806255641895632e-18,1.9081958235744878e-17,1.734723475976807e-18,6.938893903907228e-18,2.2985086056692694e-17,-3.122502256758253e-17,6.938893903907228e-18,-1.5178830414797062e-17,1.0625181290357943e-17,6.938893903907228e-18,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-18,-1.734723475976807e-17,-3.122502256758253e-17,-6.938893903907228e-18,3.469446951953614e-18,-1.3877787807814457e-17,1.100465205072787e-17,-1.431146867680866e-17,3.469446951953614e-18,-8.673617379884035e-19,-2.3852447794681098e-17,-8.673617379884035e-18,6.938893903907228e-18,-1.0408340855860843e-17,1.0408340855860843e-17,-3.9898639947466563e-17,2.6020852139652106e-17,-1.0408340855860843e-17,1.3877787807814457e-17,-6.938893903907228e-18,1.0408340855860843e-17,1.3877787807814457e-17,0.0,-3.122502256758253e-17,2.42861286636753e-17,-2.42861286636753e-17,-3.469446951953614e-18,1.0191500421363742e-17,-1.214306433183765e-17,2.42861286636753e-17,3.469446951953614e-18,0.0,-9.806970050855549e-17,-1.313763912473102e-16,-7.586524001605237e-17,7.401486830834377e-17,2.0354088784794536e-16,3.14563190310461e-17,-4.9960036108132046e-17,-7.586524001605237e-17,3.14563190310461e-17,-6.661338147750939e-17,-1.6653345369377347e-17,9.992007221626409e-17,4.255854927729767e-17,-1.0177044392397268e-16,-5.551115123125783e-17,1.0362081563168128e-16,-6.661338147750939e-17,1.9867148861713328e-16,-1.8698493046318425e-16,3.0385051200267443e-16
