id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
4936946621092266,Nfv9k4A9c,2535631844,乱买王,我刺激战场的友人被我忽悠的要去当ie，问我玫珂菲周咋买联名盒我金铲铲的友人被我忽悠的每天吸淇淇盛世美颜就是我这个铲子本赛季怕是要止步钻石了？？？很难评！但是目前心里只有楼和李莲花🪷,,,,,0,0,2,2023-08-20 22:54,傅诗淇YYDS ,,江苏,黄V
4936921866833446,NfuvosFGS,7634140990,戏宿_,你们真结婚啊一群人把现场炸成刺激战场,,,,,0,0,0,2023-08-20 21:15,Redmi K40,,江苏,普通用户
4936904405157970,Nfu3elDP4,7716593053,忆起十七,王者峡谷待不下去我要去刺激战场,,,,,0,0,0,2023-08-20 20:06,Redmi Note 12 Turbo,,河北,普通用户
4936879835449418,NftpBmRDQ,5557312749,荆小恒,刺激战场,,,,,0,2,0,2023-08-20 18:28,iPhone客户端,,河北,普通用户
4936852190793763,NfsH13kuD,7279163020,才始从春归,AG超玩会超话一起晚八点档观看刺激战场🚬ag3：0es，wbs5，ess6ag3：1es，ags5，ess6ag3：2es，wbs5，ags6其他情况，wbs5，ags6我接受前两种情况，ag你看着办,,,,,0,11,17,2023-08-20 16:39,AG超玩会超话,,四川,普通用户
4936915905676607,NfulMnOKb,6292668589,长沙TEC体坛电子竞技俱乐部,#tec夏季赛总冠军##2023pel夏决冠军之夜#兄弟们捧着奖杯🏆回家啦！体坛电子竞技俱乐部超话L长沙TEC体坛电子竞技俱乐部的微博视频,,,,"tec夏季赛总冠军,2023pel夏决冠军之夜",10,101,724,2023-08-20 20:52,体坛电子竞技俱乐部超话,,上海,蓝V
4936913020268760,Nfuh817UQ,7234347930,NVbiabiabia,NOVA和平精英超话有太多的话想说，却说不出什么来……我不敢想象今天拿冠军的是曾经和我们有恩怨的体坛当他们在上面捧杯的时候你们在想什么呢？佳佳是否会想起曾经喊的那句“你们有几个冠军吗？”现在他们在上面捧杯你们在下面仰望我天真的以为来到了曾经淋金色雨的地方来到了曾经辉煌过的地方你们会重新书写传奇可现在我想我错了上次在这你们是PEC冠军这次在这你们是PEL总决赛倒数无数次刷新总决赛的最差记录到底有没有想过今年的G赛怎么办？去年断了三连今年难道连进都不进了吗？说实话，我并不在资格赛上抱希望今年G赛我也没指望你们进很难接受，也不得不接受只要自己觉得没有遗憾那就这样吧恩恩惨了点吧在RSG看NV捧PEL冠军在NV看RSG捧PEL冠军我不知道他能打多久我也不知道他究竟能不能实现大满贯但我真心希望我一直陪伴的崽崽们能有一个好的未来能有一个充满美好的职业生涯能有一个没有遗憾的职业生涯,,,,,1,51,113,2023-08-20 20:40,NOVA和平精英超话,,山东,普通用户
4936910261191060,NfucG4ZQE,7814297730,和平路路酱,今日总结来啦！！已经期待接下来的表演了！！#TEC夏季赛总冠军##2023pel夏决冠军之夜#,,,,"TEC夏季赛总冠军,2023pel夏决冠军之夜",0,3,7,2023-08-20 20:29,和平精英超话,,陕西,红V
4936910021071187,Nfuci4uFd,7566954229,和平小师妹,#tec夏季赛总冠军##天最佳新秀##2023PEL夏决冠军之夜#【2023PEL夏季赛总决赛D4】【今日总结】⭐今日六场比赛过后选手及队伍数据总结如下,,,,"tec夏季赛总冠军,天最佳新秀,2023PEL夏决冠军之夜",0,1,7,2023-08-20 20:28,和平精英职业联赛超话,,河北,红V
4936909887902570,Nfuc4x9OO,7566954229,和平小师妹,#tec夏季赛总冠军##2023PEL夏决冠军之夜#【2023PEL夏季赛总决赛D4】【伤害榜】截至第二十四场伤害榜第一名：@广州TT阿杰第二名：@北京WBG丶北斋第三名：@WBG-Suk第四名：@深圳STE派大兴第五名:@Sukiikk,,,"广州TT阿杰,北京WBG丶北斋,WBG-Suk,深圳STE派大兴,Sukiikk","tec夏季赛总冠军,2023PEL夏决冠军之夜",0,1,3,2023-08-20 20:28,和平精英职业联赛超话,,河北,红V
