id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
4893459229968146,MDdiGFPay,6549273296,谁在空气里下安眠药了,和平精英最喜欢的歌是ss2赛季的onmyway可以说是见证了从刺激战场变成光子和平精英的过程那时候一更新马上叫朋友重新下载从这首歌我可以回想起以前这首歌对我真的意义重大第一次听是西茶在游戏里用载具载我的时候车里自动放的当时就觉得很好听ss3的livefast也好听后面就没玩了,,,,,0,0,0,2023-04-22 22:50,iPhone客户端,,广东,普通用户
4893438111913613,MDcKD81OJ,3306530192,wang炜颉_秋枫传媒,#秋枫传媒##公路车#【刺激战场】精彩的比赛过程，需要不同的视角来呈现，不能拘泥于定式。,,天津·芦台春生态园,,"秋枫传媒,公路车",2,4,30,2023-04-22 21:27,Xiaomi 12S Ultra,,天津,黄V
4893433733323259,MDcDzdWwX,5516068319,阳光下那一抹乄幸福LHI,战火勋章超话#战火勋章国产战争大片#@战火勋章战火勋章里终于来了，这款游戏的战场特别刺激，兵种细节刻画，可以在其中看到每个兵种的历史，真实还原了历史上的二战场面，真的太逼真了，游戏体验感非常强，大家一起来体验一下吧,,,战火勋章,战火勋章国产战争大片,0,0,0,2023-04-22 21:09,战火勋章超话,,湖北,黄V
4893431422523985,MDczQaABr,7731681623,浪漫风格指南,#了不起舞社2微博开分8.0#这个battle模式特别的刺激，看起来就像是舞者们的战场一样，不得不说了不起！舞社2你是懂我的#了不起舞社2微博开分8#,,,,"了不起舞社2微博开分8.0,了不起舞社2微博开分8",0,0,0,2023-04-22 21:00,iPhone客户端,,天津,普通用户
4893419468228930,MDcgyywIG,7626648446,刘也Yea工作室,刘也超话刺激战场，实力出征；热血助力，重铸荣光！今晚决赛场上，看@刘也Yea重拳出击！,,,刘也Yea,,4995,2021,2518,2023-04-22 20:12,刘也超话,,浙江,蓝V
4893368868143676,MDaWWyaxC,7428508111,萌神九尾,“助贫”6级粉丝，竟意外爆出金光，之前的“努力”全白费了！#地铁逃生##刺激战场##吃鸡##潜力创作大赏#L萌神九尾的微博视频,,,,"地铁逃生,刺激战场,吃鸡,潜力创作大赏",0,0,1,2023-04-22 16:51,微博视频号,,黑龙江,黄V
4893343895258011,MDaiFm3QD,5819685962,赏金猎人雪凌,挑战用“工作台”给的钱买枪，买这枪一把轻松500万，堪称6级克星#地铁逃生##刺激战场##吃鸡##潜力创作大赏#L赏金猎人雪凌的微博视频,,,,"地铁逃生,刺激战场,吃鸡,潜力创作大赏",2,1,5,2023-04-22 15:12,微博视频号,,黑龙江,黄V
4893288043647832,MD8QAfiY0,6284016463,只想搞此沙的钱,自闭了，我的刺激战场里只有枪没有皮肤,,,,,0,0,0,2023-04-22 11:30,HUAWEI P40 Pro 5G,,辽宁,普通用户
4893476501587765,MDdKy6F37,7505622394,L不like香菜_,和平精英酷二狗超话#酷二狗#晚安恨补课,,,,酷二狗,0,0,2,2023-04-22 23:59,和平精英酷二狗超话,,北京,普通用户
4893476283483161,MDdKceC81,5820144220,游戏第六人汤汤,#宋茜33是懂节目效果的##宋茜33主打一个快乐#和平精英职业联赛超话玩的就是一个开心，主打一个快乐，真的太精彩太欢乐啦L游戏第六人汤汤的微博视频,,,,"宋茜33是懂节目效果的,宋茜33主打一个快乐",50,50,58,2023-04-22 23:58,和平精英职业联赛超话,,广东,红V
4893476154509680,MDdJZiVaM,6398265652,唯爱Vic22,宋茜超话没办法了手机画质太糊了现场我已经喊疯了#宋茜长发##和平精英品牌代言人宋茜#L唯爱vic22的微博视频,,,,"宋茜长发,和平精英品牌代言人宋茜",1,0,5,2023-04-22 23:58,宋茜超话,,浙江,黄V
4893475860644592,MDdJw2HGE,6280826326,猫心铃,和平精英交易超话光遇耳坠号想共个和平号，要aq的,,,,,0,0,1,2023-04-22 23:57,和平精英交易超话,,广西,普通用户
