Word,Frequency
王者,35065
荣耀,32869
超话,30401
夏季,23649
选手,20372
##,13903
2023KPL,13135
加油,13016
一起,12903
最佳,11260
快来,10692
心目,10341
call,9635
助威,9310
AG,9078
KPL,8719
O2023KPL,8631
Hero,8578
微博,8049
TTG,8016
广州,6751
成都,6387
超玩会,6115
视频,5977
南京,5890
一诺,5262
狼队,5255
九尾,5184
战队,4790
无畏,4755
比赛,4606
WB,4253
周深,4126
我们,4054
TES,3943
一个,3897
季后赛,3847
总决赛,3710
kpl,3371
北京,3359
真的,3286
对战,3172
可以,2919
春季,2875
自己,2611
游戏,2596
你们,2567
就是,2491
钎城,2441
交易,2426
俱乐部,2348
观光团,2312
这个,2263
没有,2188
今天,2186
冠军,2107
什么,2036
拿下,1994
上海,1980
皮肤,1951
长沙,1949
职业联赛,1885
恭喜,1880
元方,1860
DYG,1859
滔搏,1836
2024KPL,1766
电竞,1755
大家,1749
峡谷,1742
2024,1718
重庆,1701
进行,1686
年度,1680
傲寒,1616
有没有,1613
今日,1580
队伍,1577
现在,1569
直播,1566
卡布,1551
还是,1528
深圳,1515
科技,1493
KSG,1487
快乐,1448
他们,1430
挑战者杯,1417
千玺,1415
英雄,1397
喜欢,1386
清清,1371
不是,1368
世冠,1355
活动,1339
时候,1339
清融,1326
马嘉祺,1301
希望,1254
但是,1247
2022,1229
夺冠,1223
分部,1215
一直,1211
乐园,1208
期待,1204
巅峰,1203
知道,1200
怎么,1179
还有,1175
C#,1170
情人节,1160
MVP,1142
粉丝,1139
2023,1137
陪玩团,1129
赛季,1115
正在,1115
最后,1111
记忆,1100
觉得,1099
TA,1096
一下,1089
老赖,1080
脑梗,1080
代言人,1075
eStarPro,1045
打野,1044
决赛,1044
2022KPL,1041
KI,1039
O2022KIC,1035
战胜,1034
已经,1007
感觉,1007
暖阳,1000
苏州,994
2023kpl,973
复旦大学,969
Kpl,965
祝福,962
少年,951
不要,939
大使,937
这么,936
开始,934
因为,934
看到,933
分钟,924
晋级,903
品牌,897
久酷,891
武汉,886
推荐,875
不会,857
继续,855
败者,847
直接,844
大叔,841
射手,839
不能,837
10,826
yyqx,826
击杀,825
hero,812
队友,799
胜利,795
现场,794
杭州,792
相信,788
中转站,778
啊啊啊,770
eStar,765
不然,763
一笙,759
一次,757
成功,755
一点,745
获得,740
员工,739
O2024KPL,735
努力,733
拿到,726
总冠军,725
需要,723
老婆,710
常规赛,709
链接,709
解说,704
文案,703
可能,693
时间,689
参与,688
星痕,677
一定,670
辅助,667
泣血,663
哈哈哈,661
赛场,660
旅游,658
ttg,656
宝宝,655
貂蝉,655
冰尘,654
时刻,650
精彩,648
一样,646
两个,645
出来,641
教练,637
00,635
世界,634
好好,632
竞选,629
遗憾,622
这样,619
Fly,619
中路,617
张真源,615
特别,615
第一,615
电子竞技,615
体验,614
对面,613
时代,612
终于,608
音乐,605
RW,605
团队,603
为什么,599
操作,596
VG,595
神秘,594
机会,592
评论,591
如果,589
杨玉环,586
成为,585
那个,585
公孙,584
很多,581
今晚,578
星宇,574
水晶,573
永远,570
黑市,564
起来,561
谢谢,560
妖刀,557
有人,555
金色,550
网页,549
第一轮,548
娱乐,545
心率,543
然后,542
诈骗,541
手榜,540
茶话会,538
梓墨,535
有点,531
第二轮,531
所以,529
那么,527
30,525
我方,524
最好,524
问题,523
比分,523
运营,521
郑州,521
结束,521
LKPL,520
团战,518
战狼队,517
星耀,511
MD,508
状态,508
看看,507
20,507
属于,495
大会,493
登场,492
挑杯,492
MTG,491
实力,491
控诉,488
人们,486
一波,486
或者,484
本局,484
宣传片,484
排位,484
直播间,481
追讨,480
虽然,480
智库,480
一场,475
加入,471
节奏,467
赛点,467
观光,465
长生,464
支持,464
之前,464
所有,459
要求,459
应该,458
天津,458
正文,455
王昭君,454
可爱,453
的话,452
竞浪,452
XYG,451
一局,449
19,449
多少,447
首发,447
ag,446
一把,445
小乔,441
配合,441
计划,436
采访,434
双方,432
TFBOYS,430
小胖,428
未来,427
结果,426
选择,425
朋友,425
拖欠工资,420
久诚,420
12,418
每天,416
对方,415
wb,415
腾讯,415
抽奖,414
非常,414
生活,414
HelloKitty,412
淘汰,412
77,410
蜉蝣,409
2024kpl,409
打出,409
项羽,408
DRG,407
80,406
开心,404
第一局,401
XXZ,400
风箫,399
编号,399
以上,398
钟意,398
联动,397
全球,396
闪耀,396
获胜,395
组队,395
对抗,395
位置,394
声音,393
11,391
鲁班,389
人数,388
佛山,388
这次,388
不想,385
老夫子,384
帆帆,384
aq,384
厉害,383
关键,383
数据,380
礼物,379
越来越,379
一些,379
16,377
玩家,376
预测,375
看见,374
晚上,372
这种,369
东西,368
分享,367
只能,366
压力,366
钻石,366
BP,366
大乔,364
第二局,364
比较,363
其实,362
FMVP,362
四周,361
冠王,361
姐妹,361
病危,360
入口,359
别人,359
到底,359
赛前,358
之后,358
宋亚轩,358
主页,358
赛后,355
一年,355
一天,355
15,355
创作,353
周震南,353
今年,352
8.24,352
技术,351
不过,351
准备,350
乔兮,349
心态,349
记录,347
只有,346
Avs,346
发现,345
LGD,345
虞姬,344
好看,343
最终,343
关注,343
展区,342
赛事,342
个人,342
应援,340
目前,338
呜呜,335
预约,335
阵容,333
夏天,332
确实,332
一句,332
不到,330
90,330
爆发,329
热爱,329
不好,329
感谢,327
17,326
寒心,326
语音,325
明天,325
第一次,325
31,324
中国,323
四个,322
表现,322
对决,322
对手,321
记得,321
小队,320
以后,318
第三局,318
参加,317
风暴,317
是不是,317
花海,317
成长,316
Day1,315
舞台,314
高地,312
见证,311
新春,308
想要,308
边路,307
亚运会,307
段位,307
新星,307
唯一,307
13,307
超级,306
无双,305
凌云,305
输出,305
孙尚香,304
官方,303
自信,302
tes,301
不了,301
信誉,301
讨薪,300
有些,300
随后,300
星元,300
卢铁,300
vs,299
好听,297
职业,296
夏决,296
回来,296
抽签,295
后面,294
鏖战,294
为了,294
敌方,293
18,293
好像,292
温柔,291
积分,291
其他,290
只是,290
iq,289
打游戏,287
关羽,287
一血,286
处长,285
这里,284
如下,284
几个,284
依旧,283
每次,283
李元芳,281
成绩,281
暴君,281
天幕,279
NBW,278
蓝桉,278
抽取,275
美好,275
不管,274
评分,273
率拉满,272
表情,271
西施,270
第四局,270
冠军杯,270
兄弟,269
纪录片,269
还要,269
24,268
令牌,268
那些,268
fly,267
开启,267
好礼,266
LGDNBW,266
接虞姬,265
以为,265
碎片,262
当时,262
ACE,262
能够,261
观众,261
进入,260
赛程,260
暗影,259
连胜,259
厦门,258
王靖雯,258
归期,256
一切,256
调整,256
KPI,255
这是,254
赛首周,253
小时,252
老板,251
为首,251
中单,251
赛制,249
兔限,249
心中,248
看边,248
bp,247
老师,247
新品,247
技能,245
来信,245
使用,244
陪陪,244
花卷,241
挑战者,241
一周,241
靖风,241
开团,241
