Topic,Count
2023KPL夏季赛,8907
"2022王者世冠KIC,我的2022KPL记忆",1036
周深王者荣耀快乐大使,686
王者荣耀,677
2023KPL夏季赛季后赛,491
王者荣耀观光团,438
2024KPL年度总决赛,350
"竞浪大会,2024最佳电竞战队运营",347
"2023KPL夏季赛季后赛,TES对战Hero",345
2024KPL春季赛,344
"TES对战Hero,2023KPL夏季赛季后赛",267
来接虞姬情人节祝福,258
周深王者荣耀兔限新春祝福曲,232
2023KPL夏季赛总决赛,229
"2023KPL季后赛宣传片,2023KPL夏季赛季后赛",224
和虞姬项羽一起过情人节,214
王靖雯把KPL说成KPI,178
KPL总决赛,174
"傲寒心率拉满,Hero鏖战31分获胜",155
王者荣耀联动HelloKitty,150
"冰尘的牛魔,TES对战Hero",150
接年总冠军超话空降,147
KPL超话助威团,143
2023kpl夏季赛,132
TES对战Hero,130
Hero夏季赛淘汰,117
2024年王者荣耀挑战者杯,116
"狼队对战VG,2024KPL春季赛",113
2024KPL夏季赛,109
2023年王者荣耀挑战者杯,105
狼队八冠王,99
"马嘉祺王者荣耀品牌代言人,马嘉祺 蜉蝣",98
"2023KPL夏季赛季后赛,2023KPL春季赛总决赛,WB对战狼队",93
2024KPL夏季赛决赛,92
TTG夺冠,91
para的生活碎片,85
常规赛最佳选手一笙,84
王者荣耀海岛乐园,84
AG夏季赛夺冠,83
kpl新鲜事,82
"TES对战Hero,2023kpl夏季赛季后赛",78
"TES晋级败者组第二轮,TES战胜Hero",78
"周震南全能ACE,周震南 为你星动",77
"蓝桉伽罗真的C,滔搏好猛",75
"TES手握四个赛点,TES对战Hero",74
无畏拿到霸总offer,70
2023kpl夏季赛季后赛,70
"2023KPL春季赛首周最佳选手,2023KPL春季赛首周最佳阵容",69
"TES对战Hero,2023KPL夏季赛",69
竞浪大会,68
2023kpl夏季赛总决赛,65
"元方智库诈骗失能脑梗员工77万,卢铁男诈骗失能脑梗员工77万,上海元方科技诈骗失能脑梗员工77万,原创视频,卢铁男,AG夺冠,元方智库拖欠工资,元方智库,元方智库欠薪,元方智库违法裁员恶意欠薪,元方智库拖欠报销款,牛军钰,蔡磊,全红婵,沫沫,开封王婆,谈珏,董宇辉,辛巴,小杨哥,复旦大学,猎罪图鉴2, ,脑梗大叔泣血控诉老赖上海元方科技欠薪,永夜星河,乔任梁,脑梗大叔追讨老赖上海元方科技",60
乐园观光团,60
"TTG对战狼队,2023KPL夏季赛总决赛",60
2023KPL春季赛总决赛,58
"王者荣耀新星计划,王者荣耀攻略",57
"王者荣耀,超话创作官",54
KPL,54
"2023KPL夏季赛总决赛,TTG对战狼队",52
KPL春季赛有我见证,51
星痕棒球运动少年,51
"王者荣耀,游戏悬赏令,同游搭子请上车",50
"周深奔跑吧,周深王者荣耀快乐大使",48
九尾,47
"2023KPL夏季赛,TES对战Hero",45
王者荣耀新星计划,45
王者荣耀联动hellokitty,45
"超话大赏,年度十大竞技超话",45
"王者荣耀,春游的100种操作",44
"妖刀黄忠五杀,狼队对战情久",44
"王者荣耀新星计划,王者荣耀",42
"MD全员实力派,MD对战RW",42
"eStar有自己的胜利公式,KSG对战eStar",41
是KPL不是KPI,40
清清转打野,39
"Hero夏季赛淘汰,2023KPL夏季赛季后赛,2023KPL夏季赛",39
tes对战hero,38
AG夺冠,37
北京WB春决加油,36
王者荣耀超话,36
现在是钎城时间,36
"2024PEL秋季赛,2024PEL",36
"TTG夺冠,TTG夏季赛总冠军",34
kpl,34
"妖刀把把C,归期的姬小满",33
周深新歌祈愿山海,33
"MD越级挑战RW成功,MD战胜RW",33
观光团,33
狼队的情人节来信,33
久酷选手KPL五周年快乐,32
2024kpl年度总决赛,31
2023KPL春季赛首周最佳选手,31
kpl赛评团,31
"周深王者荣耀快乐大使,周深奔跑吧",31
"周深献唱KPL年度总决赛主题曲,腾讯音乐由你榜",30
"杭州亚运会倒计时30天,电竞运动员与你一起倒数亚运,一人一句祝福亚运会",30
"蓝桉的戈娅,TTG对战TES",30
2023KPL春季赛,29
为KPL世冠加油,29
"一诺李元芳绕后三杀,AG战胜WB",29
"老狼拆迁队,狼队追平比分",28
"KSG对战BOA,2024KPL春季赛",28
Hero,27
王者荣耀幸运小队,27
"2023KPL夏季赛季后赛,TES对战Hero,2023KPL夏季赛",27
NEST2023,27
"妖刀关键抢龙,狼队对战VG",26
2023kpl春季赛总决赛,26
"腾讯音乐由你榜,周深献唱KPL年度总决赛主题曲",26
"不然总决赛MVP,天狼星天为首",25
"TES对战Hero,2023KPL春季赛总决赛,WB对战狼队",24
"夏决特派员,2024kpl夏季赛决赛",24
"2023kpl夏季赛季后赛,tes对战hero",24
JackeyLove因职业病做手术,24
"喵鱼对战XHW,2023年王者荣耀挑战者杯",24
"狼队全员火力全开,向鱼干将扎心了",24
一诺下一个五年还想留在赛场,23
"王者荣耀,游戏",23
2023kpl春季赛,23
"我心中的电竞梦之队,iQOO11S",22
"周深新歌看见我,腾讯音乐由你榜",22
AG对战WB,22
"AG对战WB,2023年王者荣耀挑战者杯",22
2023王者荣耀挑战者杯,22
一笙苏烈四杀,21
"TES晋级败者组第二轮,2023KPL夏季赛季后赛,2023KPL夏季赛",21
2023KPL季后赛宣传片,21
"2024KPL春季赛,狼队对战VG",21
"无畏粉丝吃得太好了,无畏夜宵推广大使",21
TTG没睡醒吗,21
TES战胜Hero,21
ttg夺冠,21
2024KPL年总决赛,21
"超话创作官,王者荣耀",21
"轩染的花木兰,AG闪电战",20
KPL冠军教练再添一员,20
"2024周深9.29Hz巡回演唱会,腾讯音乐由你榜",20
和狼队淋同一场金色雨,20
"狼队八冠王,狼队春季赛总冠军",20
妖刀黄忠五杀,20
"轻语司空震MVP,KSG对战eStar",19
无畏喊话帆帆,19
KPL夏日烟花盛典,19
周深王者荣耀品牌代言人,19
"eStar战胜KSG,2024年王者荣耀挑战者杯",18
"王者荣耀女子公开赛,王者荣耀,溯回初心,战至巅峰",18
王者荣耀集训队祝福亚运会,18
和WB乔兮赏月过中秋,18
紫幻说来TTG第一天就知道要夺冠,18
Hero下赛季见,18
"2023年王者荣耀挑战者杯,喵鱼对战XHW",18
"TES晋级败者组第二轮,2023KPL夏季赛季后赛",18
KPL提词器,17
王者荣耀陪玩超话,17
"通天边路清清,TTG战胜狼队",17
Fly每一次决赛都让人热血沸腾,16
"不然哭了,不然真的值得",16
王者返场皮肤花式拉票,16
原来娱乐圈都在峡谷social,16
TES战胜TTG,16
"王者周年庆礼物即将抵达,王者周年庆版本明日上线",16
"TTG冠军戒指,捧杯吧TTG",16
无畏情人节心动大片,16
"貂蝉农女一,貂蝉1215生日快乐,予蝉一场风花雪月",16
"KPL夏决中场秀全是刀子,王靖雯迎光而上夏决Live",16
"周深新专辑反深代词,腾讯音乐由你榜",15
eStar签运,15
"tes对战hero,2023kpl夏季赛季后赛",15
王者荣耀观光,15
"子阳大乔极限救援,eStar战胜KSG",15
"AG晋级挑杯淘汰赛,AG战胜EDGM",15
"天狼互扎心窝子,天狼狠话都是刀子,2023KPL夏季赛总决赛",15
"AG对战KSG,2024KPL夏季赛决赛",15
"黄子韬kpl春决特邀点赞官,黄子韬美团青春大使",15
周深新歌夏日妄想,15
"小凡现场,2023KPL夏季赛",15
KPL总决赛狠话环节,15
"TES对战Hero,kpl赛评团",15
和小鲁班一起自律打卡7天,15
"AG对战EDGM,2024年王者荣耀挑战者杯",15
"处长前方,2023KPL夏季赛季后赛",15
一诺李元芳绕后三杀,14
"TTG金色的雨,夏日风暴TTG",14
"AG晋级挑杯淘汰赛,2024年王者荣耀挑战者杯",14
"狼队第八冠,狼队金色的雨",14
"年度十大竞技超话,超话大赏",14
"星痕貂蝉绝世风华,Hero连扳两局",14
"中秋趣味知识问答,答题挑战赛",14
"天狼互扎心窝子,KPL总决赛狠话环节",14
王者荣耀代练代打,14
"狼队八冠王,狼队春季赛总冠军,狼队八冠金色雨",14
"狼队先到赛点,小胖露娜MVP",14
"TTG狼队回合制打法,向鱼海月好帅",14
"周深反深代词新歌请我不改,腾讯音乐由你榜",14
"钟意荣获夏决MVP,钟意说现在是MVP打野了",13
"TTG对战狼队,2023kpl夏季赛总决赛",13
处长播报时间,13
游戏悬赏令,13
"2023王者荣耀挑战者杯,狼队对战情久",13
"天狼大战全是反转,TTG先下一城",13
KPL总决赛现场太燃了,13
"不然的镜,TTG演我心率",13
"狼队战胜VG,2024KPL春季赛",13
"鸽的明信片,33Svan万物森森",13
"RW10淘汰吃鸡,RW满编吃鸡",13
KPL夏决中场秀全是刀子,13
"2023KPL夏季赛季后赛,傲寒心率拉满,Hero鏖战31分获胜",12
AG对战狼队,12
"有被峡谷来信浪漫到,王者绝美英雄小卡",12
"TES对战Hero,处长前方,2023KPL夏季赛季后赛",12
whatever i am nofear,12
"AG战胜WB,2023年王者荣耀挑战者杯",12
向鱼婉儿百分百胜率,12
"王者荣耀攻略,王者荣耀新星计划",12
AG对战KSG,12
妖刀五杀,12
"不然驯龙高手,TTG先到赛点",12
小胖越打越心寒,12
"AG夏季赛完美谢幕,AG成功复仇KSG",12
"原来娱乐圈都在峡谷social,战至巅峰3悲喜并不相通",12
李九为TTG写诗,12
KPL王者荣耀职业联赛,12
小致分享,12
"王者荣耀新星计划,记录你的热爱,超话创作官",12
"2023kpl夏季赛,kpl",12
"TES晋级败者组第二轮,TES战胜Hero,2023KPL夏季赛季后赛",12
TTG对战TES,12
"还记得QQ游戏的快乐吗 ,QQ游戏居然都二十年了",12
"周深天猫精灵全球代言人,腾讯音乐由你榜",12
"周深奔跑吧,腾讯音乐由你榜",12
"2023kpl夏季赛,hero对战tes",12
kpl总决赛,12
"AG夏季赛夺冠,AG三冠王",12
"tes对战hero,修狗投稿",12
周深新歌唱出了山海人间,12
"2023KPL夏季赛季后赛,TES手握四个赛点,TES对战Hero",12
钎城说坚持给人力量,12
"Hero夏季赛淘汰,2023KPL夏季赛季后赛",12
"kpl,王者荣耀",11
"夏决小记者刺痛上线,2023KPL夏季赛总决赛",11
"2023KPL春季赛首周最佳选手,2023KPL春季赛首周最佳阵容,2023KPL春季赛",11
"KSG对战eStar,2024年王者荣耀挑战者杯",11
"易烊千玺新专辑刘艳芬,易烊千玺十稔终章皆成序",11
王昭君FMVP皮肤,11
助力狼队决战武林,11
"TES太强了,TES战胜TTG",11
"2024KPL夏季赛决赛,AG对战KSG",11
"超话创作官,王者荣耀,游戏高玩宠粉季",11
2024kpl春季赛,11
电粉投稿,11
"对抗路还得看Fly,群狼战术",10
"周深配音狮子王,腾讯音乐由你榜",10
一诺的1226号信箱,10
"游戏悬赏令,同游搭子请上车",10
周深宝藏男孩,10
FLY每一次决赛都让人热血沸腾,10
"KSG四连胜,KSG战胜BOA",10
王者荣耀交易超话,10
"AG对战狼队,2024KPL年总决赛",10
"2023kpl夏季赛总决赛,ttg对战狼队",10
修狗投稿,10
"AG全员战斗爽,AG对战EDGM",10
"钟意说观众越多我越兴奋,2024年王者荣耀挑战者杯",10
KPL年度总决赛,10
"CFPLS21,2023CFPL",10
"XHW战胜喵鱼,2023年王者荣耀挑战者杯",10
"2023KPL春季赛,2023KPL春季赛季后赛",10
"KPL选手卡,KPL光启,KPL闪耀",10
"JDE周季军,JDE稳稳吃鸡",10
ag夏季赛夺冠,10
MD对战RW,9
一诺预测比分成功,9
"黄子韬甜蜜的你,黄子韬kpl春决特邀点赞官",9
KPL中路天花板清融,9
hero,9
"狼猴春决首发名单,狼队冲击第八冠",9
"2023kpl夏季赛,kpl赛评团,tes对战hero",9
"MD对战RW,2024年王者荣耀挑战者杯",9
"鞠婧祎自己拍的VOGUE官宣图,鞠婧祎出席王者荣耀共创之夜",9
"星痕貂蝉绝世风华,Hero连扳两局,2023KPL夏季赛季后赛",9
王者观光团,9
"2024年王者荣耀挑战者杯,凌云战胜TCG",9
"王者荣耀新星计划,王者荣耀同人",9
"TES晋级败者组第二轮,TES战胜Hero,2023KPL夏季赛",9
"你好星期六探班杨紫,杨紫小夭",9
"2023KPL夏季赛季后赛,TES对战Hero,冰尘的牛魔",9
"2024年王者荣耀挑战者杯,世巨A对战WB",9
KPL预言家孤注一掷,9
"TES战胜Hero,2023KPL夏季赛",9
"狼队对战VG,2024kpl春季赛,无畏无惧 敢战敢为",9
爸爸因姜姓难取名给孩子叫去寒,9
梓墨好惨,9
砍宝的三岁礼物,9
"王者炸麦了,2023kpl夏季赛",9
"超话创作官,王者荣耀新星计划",9
"2023KPL夏季赛季后赛,傲寒心率拉满,TES对战Hero",9
"钟意镜出手就是一分,AG3比0抢赛点",9
环配如卿,9
"王者荣耀,微博游戏大赏,我的年度游戏穿搭",9
TTG对战狼队,9
"周柯宇给Fly加油,2023KPL夏季赛总决赛",9
AG夏决乘龙逐光,9
"TES手握四个赛点,2023KPL夏季赛季后赛,TES对战Hero",9
"Hero,kpl赛评团",9
"深圳dyg,使命召唤手游",9
"KPL预言家孤注一掷,2023KPL夏季赛季后赛,TES对战Hero",9
"2024年王者荣耀挑战者杯,TCG对战凌云",9
