text,sentiment_label
第五人格超话为什么要在我攒碎片买怪鸟的时候出这个啊啊啊，好可爱太可爱了吧怎么这么可爱快过来给妈妈亲亲抱抱举高高呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜你让我这个选择困难症患者怎么活啊呜呜呜呜呜呜呜呜呜呜,正面
ZETA第五人格超话三月！,中性
ZETA第五人格超话冲冲冲！！！,负面
第五人格超话#第五创作星#正式告别二月晚安超话家人们三月一起努力艾达和埃米尔同在,中性
ZETA第五人格超话晚好！！！,负面
ZETA第五人格超话????????,中性
第五人格超话大小号，谢谢wy帮我省了几百块哈肝到咒术紫皮就跑路了。,负面
ZETA第五人格超话晚安安！,正面
第五人格交易超话蹲蹲这个配置的号子，金要求有索菲亚惊鸿晖之羽，紫皮卡死可妮兔和浴石，卡门加分，只看官服，速速把这个配置的耗子丢我脸上～,正面
ivl周边市场超话收好价小铁ur和博人scr！慢收不急！好价优先,负面
不愧是我主队mricu，还没开始比赛就能把我送进icu，ivl春季赛~ivl~都躺下吧~感觉打不过抖，奇的人队不知道调整到哪一步了，感觉进度0%，mrc，奇迹×，奇寄√,负面
ivl周边市场超话有没有预计开小食量团的，想吃虾马all,负面
ivl周边市场超话有没有积咪愿意在秋季赛团分我一口余量小马utr和积冠,正面
ivl周边市场超话收收妹克酱夏季赛sr！最好负数收！！,中性
ivl周边市场超话没关系我会降价不包邮发货地北京,负面
ivl周边市场超话第五人格超话狼队第五人格超话第五人格赛事超话分享分享现在有的r卡（真的很容易看出来我是哪推），卡盒要装爆啦！！！每一个出卡姐妹都超级好送了很多小礼物,负面
艾薇捞是真糊啊我说隔壁kpl微博之夜有好几个人选英雄联盟也有咱ivl一个人都没单走一个6,正面
ivl周边市场超话有没有姐妹有推荐的卡册啊，想要那种穿上卡膜也能塞进去的那种，然后我卡有点多,中性
傻兜老师快27岁了到底是什么样的结局才配的上这一路的颠沛流离季后赛的卡梦永远留在了庄园愿深渊的呼唤VI能对椒人好一点也愿ac选手在COA的历练舞台上发光发热待羽翼丰满我们等你归来Gr一穿三猛猛干关关难过关关过向光而生永不言败#第五人格coa6#/#coa6预选赛#/#第五人格#,正面
