Word,Frequency
第五,3555
人格,3486
超话,3047
##,1225
2023IVL,1177
我们,1174
秋季,1133
成都,1125
总决赛,1105
选手,1016
冠军,984
GG,931
ivl,907
你们,841
狼队,795
真的,769
一个,723
夏季,632
战队,630
比赛,600
就是,572
这个,567
深渊,538
自己,507
积极,505
赛事,493
没有,490
夏决,478
可以,461
什么,458
最佳,429
但是,418
时候,409
知道,408
夺冠,403
MRC,400
大家,397
今天,393
对战,371
Gr,368
2024IVL,360
恭喜,360
他们,344
快来,342
现在,339
还是,337
啊啊啊,336
周边,335
市场,324
加油,319
希望,317
微博,307
书山春丽,306
不是,304
心中,300
一起,295
Wolves,291
互移,289
投票,286
show,277
喜欢,275
怎么,273
还有,272
一直,258
已经,247
视频,246
因为,244
开始,240
2024ivl,236
队伍,231
赛季,230
看到,225
mrc,222
然后,222
不要,221
特别,220
IVL,220
奇迹,215
觉得,215
季后赛,210
一下,210
最后,209
粉丝,204
这么,196
为什么,196
求生,193
一次,187
主队,186
2023ivl,179
人队,177
如果,177
交易,175
FMVP,174
感觉,171
这样,168
所以,165
虽然,164
不能,160
冠王,159
不会,158
角色,155
相信,155
gg,154
这次,153
终于,153
很多,153
可能,152
游戏,151
哈哈哈,150
评分,149
宠爱,146
gr,141
助威,140
Mrc,139
状态,138
心安,137
大满贯,137
O2024IVL,137
GR,136
心目,136
队友,136
屠夫,135
直接,134
俱乐部,133
小程,130
遗憾,129
出来,129
继续,129
决赛,128
教练,128
老师,128
永远,128
预选赛,128
两个,127
问题,127
呼唤,126
获得,126
一年,126
电子竞技,125
时间,125
一点,124
有没有,124
结果,124
发财,123
拿下,123
一样,123
佣兵,123
需要,122
其实,121
加声量,121
四冠,121
精彩,118
那么,118
努力,118
属于,117
一定,116
实力,116
非常,114
线下,114
唯一,113
之前,113
好好,112
不到,111
其他,110
歌剧,108
巅峰,108
阵容,106
监管者,106
东玄,104
联动,104
2024,102
空军,101
每次,100
487,100
朋友,98
今年,98
直播,97
先知,97
第一次,96
解说,96
庄园,96
一路,95
只有,94
最好,93
那个,93
小迪,92
必要,92
朱雀,91
救人,91
亚军,91
期待,90
的话,90
比分,90
开心,90
有点,89
荣光,89
一场,88
几个,88
O2023IVL,88
拿到,88
之后,88
排位,87
所有,87
起来,87
这种,85
WBG,85
为了,85
结束,85
应该,84
一些,84
活动,84
宝宝,83
别人,83
破轮,81
选择,81
好像,81
园丁,80
成为,80
以后,80
只是,80
五冠,79
感谢,79
BAN,79
每个,79
失误,79
C#,79
多少,79
第一个,78
厉害,78
甚至,78
舞台,78
网易,78
有人,77
FPX,77
第一,77
值得,76
成绩,76
牵制,76
监管,76
开门,75
发现,75
胜利,75
各位,74
fmvp,74
现场,74
穆祉,73
小马,73
ZQ,73
评论,73
守夜人,73
晚上,72
演员,72
记得,72
关注,71
击倒,71
辛苦,70
开局,70
竞选,70
MR,70
成功,69
当时,69
古董商,69
不好,69
操作,68
看着,68
渔女,68
确实,68
情况,67
任何,67
赛场,66
金雨,66
只能,66
祭司,66
压力,66
事情,66
舞女,65
常规赛,65
世界,64
看看,63
或者,63
心态,63
分部,63
Weibo,63
幸福,62
入殓,62
很棒,62
全球,62
可爱,62
下次,61
00,61
新人,61
xc,61
xawm,61
最终,60
地图,60
一步,60
发挥,60
不想,60
未来,60
平局,60
看好,59
容易,59
2025,59
指挥,59
经历,59
不过,59
总是,59
这是,58
追击,58
少年,58
欢迎,57
调香,57
一天,57
而且,57
23,57
机会,57
皮皮虾,57
囚徒,57
心理学家,57
我方,57
再次,57
COA7,56
是不是,56
问问,56
果冻,56
想要,56
支持,56
重要,56
本局,55
呜呜,55
调整,55
回来,55
病患,55
作为,55
后面,54
超级,54
bp,54
第一天,54
实至名归,54
赛区,54
女巫,54
可惜,53
来时路,53
链接,53
预测,52
皮皮,52
生活,52
22,52
越来越,52
正文,51
天天,51
动作,51
留不住,51
隐士,51
只要,51
夏天,51
这里,51
低保,50
16,50
稳定,50
重走,50
2023,50
突然,50
总冠军,50
退役,49
心理,49
版本,49
明天,49
Wolves487,49
COA6,49
见证,48
真是,48
不了,48
之名,48
个人,48
前锋,48
比较,47
下半场,47
皮肤,47
选图,47
准备,47
荣耀,47
队员,47
一切,47
半局,47
sr,47
人们,47
一句,47
ob,47
去年,46
肯定,46
目前,46
完全,46
后来,46
世一歌,46
手机,45
既然,45
能够,45
ios,45
新年快乐,45
博弈,45
表现,45
可是,45
快乐,45
小女孩,44
激动,44
正常,44
PICK,44
人生,44
以为,44
赛后,44
多次,44
你好,44
昨天,44
所有人,43
以及,43
认识,43
变成,43
孩子,43
最近,43
接受,43
姐妹,43
谢谢,43
难过,43
出出,43
要求,43
生气,43
这些,43
我要,42
相关,42
更好,42
调酒师,42
创作,42
职业,42
还要,42
今日,42
一把,42
直播间,42
道歉,42
中国,42
新年,42
森林,42
不管,41
电竞,41
心里,41
奖杯,41
网页,41
昆虫,41
留下,41
共号,41
根本,41
出现,41
一条,41
我会,41
整个,40
东西,40
别的,40
无心,40
10,40
夺得,40
磨合,40
五年,40
组队,40
抗压,40
不错,40
三个,39
一张,39
过来,39
赛程,39
以狼,39
亮点,39
看见,39
休息,39
玩吧,39
火灾,39
很大,39
卡梦,39
本来,39
过去,38
飞行家,38
以前,38
时空,38
失败,38
珍宝,38
才能,38
好看,38
上半场,38
正在,38
不用,38
许诺,38
每天,38
一种,38
属性,38
bo2,38
觉觉,38
老板,38
对面,37
画家,37
不敢,37
联赛,37
匹配,37
心情,37
有些,37
晋级,37
成长,37
参与,37
应援,37
告诉,37
首发,37
花辞,37
87,37
打出,36
ur,36
前线,36
下去,36
不行,36
配合,36
做到,36
不断,36
理解,35
遇到,35
到底,35
质疑,35
目标,35
程序,35
约瑟夫,35
第二,35
日本,35
走来,35
加入,34
听到,34
愿意,34
使徒,34
人类,34
瞬间,34
之影,34
好感,34
上场,34
本人,34
一点点,34
收到,34
首个,34
再见,34
三跑,34
玩家,34
野人,33
就算,33
预告,33
首先,33
一轮,33
487FMVP,33
演绎,33
夫人,33
以来,33
没什么,33
除了,33
小时,33
限定,33
cp,33
主播,33
机械师,33
官方,33
那种,33
明明,33
11,32
大概,32
两年,32
就要,32
元旦,32
是因为,32
一局,32
时刻,32
淋金雨,32
证明,32
恶心,32
狼人,31
地窖,31
紫薯,31
震慑,31
进步,31
发生,31
下来,31
推荐,31
返场,31
感动,31
积分,31
意思,31
脑子,31
好友,31
好多,31
12,31
20,31
完成,31
再说,31
进入,30
运气,30
氛围,30
不同,30
身上,30
双方,30
一位,30
放弃,30
创造,30
体验,30
说话,30
向前,30
Grvs,30
分享,30
ppxia,30
留幻,30
刚刚,30
同时,30
想到,30
原来,30
这件,30
立得,30
带薪休假,30
补补,30
抽奖,29
预约,29
难受,29
香迹,29
王者,29
资源,29
哼哼,29
破防,29
爱丽,29
大陆,29
哈哈哈哈,29
公示,29
求求,29
位置,29
对不起,29
bo3,29
全部,29
找到,29
紫皮,29
祝福,29
帖子,29
认为,28
头像,28
紧张,28
面对,28
不配,28
获胜,28
幸运,28
队内,28
故事,28
枯草,28
精准,28
工作,28
价格,28
溺爱,28
霸王,28
茶姬,28
奖励,28
战报,28
迎来,28
多年,28
虚妄,28
爱酱,28
带来,28
主持,28
了解,28
完美,28
阿策,28
金光,28
重新,27
来说,27
当然,27
对方,27
星河,27
技术,27
18,27
代肝,27
要是,27
富江,27
建议,27
生日,27
原因,27
小号,27
礼物,27
永眠,27
数据,27
心疼,27
wbg,27
四个,27
处理,27
节奏,27
名字,27
从来,27
下午,27
必须,27
强调,27
陪伴,27
哪个,27
能力,27
赛果,26
调查员,26
技能,26
里面,26
提前,26
精华,26
bo1,26
随从,26
会师,26
iv,26
平台,26
进行,26
DongX,26
运营,26
实在,26
低谷,26
营业,26
经常,26
账号,26
三年,26
坚持,26
态度,26
请问,26
守墓,25
出去,25
中期,25
这场,25
优势,25
鼓励,25
啥意思,25
哪里,25
地方,25
回家,25
日常,25
蜘蛛,25
那些,25
光遇,25
最强,25
快速,25
保持,25
全局,25
音乐,25
没想到,25
名许,25
安慰,25
另外,25
复盘,25
曾经,24
DOU5,24
观众,24
不够,24
团队,24
优化,24
而是,24
人员,24
启动,24
来临,24
主页,24
适合,24
侦探,24
信誉,24
协会,24
上限,24
上线,24
