id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
5025023394058168,OauYjh1Ik,5709989398,不禅之,微博俱乐部WB王者荣耀战队超话这时候就不要提抬二队了，二队不是背锅侠，人家都是一队打出来积分优势后让二队锻炼一下，一队也调整一下。我们二队好的时候当猫爬架差的时候才被想起来。微博的新场馆又大又漂亮，哥几个有没有机会用要看自己的造化了，粉丝能陪你们，你们能让粉丝一直陪吗？,,,,,0,4,12,2024-04-20 00:00,微博俱乐部WB王者荣耀战队超话,,浙江,普通用户
5025023397986836,OauYjxvJW,7721828373,是香芋味的冰淇淋,"马嘉祺超话#马嘉祺小熊花园#💜#马嘉祺楼间楼演唱会#💜#马嘉祺全能c位唱跳双担#💜#全能音乐人马嘉祺#💜#马嘉祺王者荣耀品牌代言人#💜#马嘉祺一起去未来#💜#马嘉祺这是我的岛#💜#青年演员马嘉祺#💜#南孚持久赋能,紫海全程高能#“谢谢大家在你们身上绽放的星火，点燃驱散了我周身的黑暗”@时代少年团队长-马嘉祺",,,时代少年团队长-马嘉祺,"马嘉祺小熊花园,马嘉祺楼间楼演唱会,马嘉祺全能c位唱跳双担,全能音乐人马嘉祺,马嘉祺王者荣耀品牌代言人,马嘉祺 一起去未来,马嘉祺这是我的岛,青年演员马嘉祺,南孚持久赋能,紫海全程高能",1,24,4,2024-04-20 00:00,马嘉祺超话,,四川,黄V
5025023386192550,OauYipYXQ,1992473971,只给我一次的爱变成了几千朵花,王者荣耀启动,,,,,0,4,0,2024-04-19 23:59,,,安徽,普通用户
5025023337174208,OauYdu6l2,5846314175,小纯熙22,#2024KPL春季赛#我已为广州TTG.清清加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.清清加油吧！O2024KPL春季赛选手榜,,,,2024KPL春季赛,0,0,0,2024-04-19 23:59,微博游戏,,新疆,普通用户
5025023334552952,OauYdj6qI,7288368416,晕头小KU,#2024KPL春季赛#我已为苏州KSG.久酷加油助威！他是我心目中的最佳选手！快来和我一起为苏州KSG.久酷加油吧！O2024KPL春季赛选手榜,,,,2024KPL春季赛,0,0,0,2024-04-19 23:59,微博游戏,,江苏,普通用户
5025023335338338,OauYdmoKe,6328493802,朗姆酒桃味香菜雪糕,王者荣耀超话王者荣耀【偶像歌手RACH63】我的酷洛米唱片今日收购价917块，复制链接来我的小站售卖，加油吧！Kuromi！,,,,,0,0,0,2024-04-19 23:59,王者荣耀超话,,广东,普通用户
5025023333237915,OauYddAkr,7202740287,大海亲吻我啊,哎，玩感情比玩王者荣耀容易,,,,,0,0,1,2024-04-19 23:59,,,湖南,普通用户
5025023323279623,OauYcdLb9,7432644389,又被看到了_,#2024KPL春季赛#我已为广州TTG加油助威！他是我心目中的最佳战队！快来和我一起为广州TTG加油吧！O2024KPL春季赛战队榜,,,,2024KPL春季赛,0,0,1,2024-04-19 23:59,微博游戏,,江苏,普通用户
5025023317773547,OauYbwCfN,6416487629,两弯水,#2024KPL春季赛#我已为广州TTG.清清加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.清清加油吧！O2024KPL春季赛选手榜,,,,2024KPL春季赛,0,0,0,2024-04-19 23:59,微博游戏,,上海,普通用户
5025023297849302,OauY9wVXE,7549169882,赐蓁御剑,#2024KPL春季赛#我已为杭州LGD.NBW.九尾加油助威！他是我心目中的最佳选手！快来和我一起为杭州LGD.NBW.九尾加油吧！O2024KPL春季赛选手榜,,,,2024KPL春季赛,0,0,0,2024-04-19 23:59,微博游戏,,山东,普通用户
5025021106063810,OauUCprto,7619734411,藤椒皮丘,#周深王者荣耀品牌代言人#千家万路，相约王者峡谷。龙腾盛世，祈愿山海安宁。是守路的人，是行者，亦是归人。和王者荣耀品牌代言人周深一起，同贺龙年新春！@卡布叻_周深,,,卡布叻_周深,周深王者荣耀品牌代言人,0,0,0,2024-04-19 23:50,Xiaomi MIX Fold 3,,山东,普通用户
5025020397225798,OauTtujL8,6116873277,烤余区位,穿着这件衣服正好进王者峡谷，背心上面还能打广告直接进骆驼祥子剧组拉黄包车，然后背心儿上面是赞助商的名字去奥特曼剧组当一天怪兽，他的罪名就是穿屌丝背心儿罪,,,,,0,4,43,2024-04-19 23:48,,,河南,金V
5025020357903430,OauTpxa2G,6979892512,Z秀外慧中,我对我自己的认知还是蛮准的比如我为什么一直不玩王者荣耀因为我觉得我自己本身就玩不好这游戏结果一上手嗯果然我这手感不咋地轮盘对于新手来说真难,,,,,0,4,6,2024-04-19 23:47,iPhone 12,,黑龙江,黄V
5025018880984901,OauR248dv,1811893237,指法芬芳张大仙z,#王者荣耀张大仙#这就是我，下可黄金局翻车，上可无双通天代！L指法芬芳张大仙z的微博视频,,,,王者荣耀张大仙,24,45,267,2024-04-19 23:42,微博视频号,,湖北,金V
5025018396544502,OauQfrswu,6018598272,马铃薯片好吃,王者荣耀超话游戏区服：q区赛季段位：星耀组队人数：2人组队要求：排位/娱乐/匹配都可以！想找一个能一起打游戏的朋友，最好是姐妹！我可以给你蹭皮肤（虽然也没有很多）我主玩中路，如果你玩中路我也可以去补其他位置！希望你打游戏可以开麦，因为我平常就是开麦的！希望你在打排位的时候逆风不摆烂，毕竟我逆风也不会摆烂！希望你的游戏时间是晚上和周末，和我一样。玩的菜没关系，我也不强！希望我们之前不要我单方面找你玩游戏，有时间了能互相叫着一起玩！,,,,,0,5,0,2024-04-19 23:40,王者荣耀超话,,上海,普通用户
5025018030064225,OauPF0gHT,7620044276,五香皮丘,#周深王者荣耀品牌代言人#千家万路，相约王者峡谷。龙腾盛世，祈愿山海安宁。是守路的人，是行者，亦是归人。和王者荣耀品牌代言人周深一起，同贺龙年新春！@卡布叻_周深,,,卡布叻_周深,周深王者荣耀品牌代言人,0,0,0,2024-04-19 23:38,Xiaomi MIX Fold 3,,山东,普通用户
