id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
4958343951287783,NotN95p0H,2921235843,卸载中hh,#eStar签运#调整好状态加油吧,,,,eStar签运,0,0,0,2023-10-18 23:59,Android,,新疆,普通用户
4958343874741021,NotN1jTm5,5713488239,爱是张艺兴永不变,#eStar签运#麻了,,,,eStar签运,0,0,0,2023-10-18 23:59,我机智的小脑瓜,,山东,普通用户
4958343773817342,NotMRg142,2948520825,C琳X汐J,#2023KPL夏季赛#我已为北京WB.暖阳加油助威！他是我心目中的最佳选手！快来和我一起为北京WB.暖阳打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:59,微博游戏,,浙江,普通用户
4958343711687726,NotML753o,7241951232,浪漫篇,#2023KPL夏季赛#我已为成都AG加油助威！他是我心目中的最佳战队！快来和我一起为成都AG打call吧！O2023KPL夏季赛战队榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:58,微博游戏,,山东,普通用户
4958343678394916,NotMHzdTS,7241951232,浪漫篇,#2023KPL夏季赛#我已为成都AG超玩会.一诺加油助威！他是我心目中的最佳选手！快来和我一起为成都AG超玩会.一诺打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:58,微博游戏,,山东,普通用户
4958343668171647,NotMGyhOL,7241951232,浪漫篇,#2023KPL夏季赛#我已为广州TTG.九尾加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.九尾打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:58,微博游戏,,山东,普通用户
4958343430668989,NotMj2O29,7533359742,来口星星粥,#2023KPL夏季赛#我已为广州TTG.九尾加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.九尾打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:57,微博游戏,,浙江,普通用户
4958343405504475,NotMgn5XR,6455039942,可以一直很快乐,eStar超话下场要是输了麻烦你estar赛训组给我发offer，这种躺着赚钱的工作我也想干，我直接理解成为,,,,,0,0,1,2023-10-18 23:57,eStar超话,,北京,普通用户
4958343326074041,NotM8pu8p,7751282990,iiu_3sh,#2023KPL夏季赛#我已为重庆狼队加油助威！他是我心目中的最佳战队！快来和我一起为重庆狼队打call吧！O2023KPL夏季赛战队榜,,,,2023KPL夏季赛,0,0,0,2023-10-18 23:57,微博游戏,,新疆,普通用户
4958278896586184,Nos6drDmM,3605618362,电总ssysd,#电粉投稿#敢梦敢刚还得是你,,,,电粉投稿,3,23,369,2023-10-18 19:41,KPL超话,,北京,黄V
