id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
5025020234957464,OauTdkNF6,6674657866,爱在敌手,第五人格红蝶超话我觉得，在蝴蝶那么多技巧都被最近的优化搞垮以后，让我们回归红蝶机制本身，OK。先回调美人相和般若相的各数值（增加移速，减少擦刀时间），然后把红蝶刹那生灭燕尾蝶的距离和离魂移魄的距离回调于第一版一致。然后燕尾蝶上限加到五个，初始两个，缩短攒蝶cd。最后想让红蝶多些上限的话，可以加一条：把两个蝴蝶当一个用无视地形高墙附身时间加十秒，把三个蝴蝶捏一个用无视地形高墙附身时间再加十秒且时间不到不会在求生者身上消失。现版本ob那么多，给红蝶加强的恶心点怎么了,,,,,0,9,20,2024-04-19 23:47,第五人格红蝶超话,,辽宁,普通用户
5025016338976007,OauMVBF4j,7747400515,晚点减肥,荒岛物资紧缺食物稀少有吃的已经很不错了某些人还能挑食我不是好人要是我肯定觉得这些人油饼饿s他们算了而严浩翔则是“我特意撒点盐去腥尝尝吗”严浩翔你没必要对他们这么好🥲#严浩翔这是我的岛##TheBeast-严浩翔#L晚点减肥的微博视频,,,,严浩翔这是我的岛,3,4,55,2024-04-19 23:31,严浩翔超话,,浙江,红V
5025006889996551,OauxGFWyH,5240148987,金色圆顶下的Bee,还是喜欢深渊二这种布置就像游戏开局的求生者地桌子和监管者椅子的感觉老李这个震慑的时候我惊呼了！虽然最后平了但是帅是永远的！！,,,,,0,0,0,2024-04-19 22:54,iPhone客户端,,浙江,普通用户
5025001453915795,OauoVgqFZ,5368107023,花生酱小龙虾,不知道公告说的求生者用板车跳到轨道上异常偏移到滑梯上是哪种情况，但是这个点站台跳滑梯和滑梯跳站台的跳点都是没有影响的，倒是湖景村双十一跳小船和唐人街跳二楼的两个点确确实实是没了。,,,,,0,2,0,2024-04-19 22:32,vivo X30专业影像,,江西,普通用户
5024999362793006,OaulybIAu,5413608391,a29936,第五人格超话事件起因是我压好机子，律师是第二次倒地了，我发了压好密码机，但是律师一动不动，本想着监管来我这，我就修开，可是监管不来，律师一个劲点我需要帮助，是真不知道监管会来管吗，也不跑到一个好遛鬼的地方就倒在角落不动。我想着算了不修开了，我去找地窖（有点不清楚就剩最后一个求生者，博士是直接斩杀，还是有倒地时间爬地窖），但是监管的确如我所料就一直守着律师，而我走地窖了，后面就是这样子。这古董商差不多是秒倒还好意思反问我为啥不开机。萌新都这样子了吗，真不知道博士机制吗，技术差也就算了，意识都不够,,,,,0,1,0,2024-04-19 22:24,第五人格超话,,浙江,普通用户
5024995107406572,OaueGv4MQ,5663257991,麦麦辣maledy,第五人格共号超话求个iOS号主玩求生者不玩排位帮做协会任务,,,,,0,7,1,2024-04-19 22:07,第五人格共号超话,,河南,普通用户
5024994771338064,Oaue95C5G,7577619675,詅祈,演绎之星建议投我们作曲家理由如下第一：弗雷德里克•克雷伯格是庄园里名字最长的求生者第二：作曲家是男求生者中颜值最高最有才华的的宝宝第三：我们作曲家在推演里就常常被诟病巧言令色依附他人，惨被被家族抛弃，也算见过大风大浪第四：我们可丽饼干皮肤少的可怜第五：人格演绎之星是作曲家弗雷德里克·克雷伯格的,,,,,0,0,0,2024-04-19 22:06,妹宝狗奴のiPhone XR,,吉林,普通用户
5025023092068684,OauXP8G9S,6967999493,祈玥昭昭如愿,晚上吃饱了到楼下遛弯风吹过来好舒服哦偶遇了一只每天都在楼下转悠的罗威纳（巨巨巨凶）主人让它抱抱姐姐吧我连忙摆手但是它真的好帅啊hy现在越来越聪明了每天监督我早睡的任务她真是轻车熟路了玩第五人格的时候心血来潮想和她玩自定义hy：我当监管者不能抓你的那种自定义嘛我：你可以抓我啊抓到我就哭,,,,,0,1,0,2024-04-19 23:58,HUAWEI Mate 40E,,北京,普通用户
5025021116026449,OauUDphKN,7643693702,道宗行走江离,Weibo第五人格战队超话博人和小狗的数据之前还调笑我们WBG很会平局的出列！现在是监管者时代,,,,,0,5,91,2024-04-19 23:50,Weibo第五人格战队超话,,上海,普通用户
5025020298924986,OauTjBrNo,6102939179,越冬九九,第一把玩了一下监管者，自闭了我要退游,,,,,0,1,0,2024-04-19 23:47,,,江苏,黄V
