Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.0077332626,0.08234155,0.007891875,0.89431936,0.0077139335
0.025449578,0.89786005,0.025124798,0.026495758,0.025069805
0.028743574,0.02872294,0.028699663,0.8852434,0.028590415
0.066679895,0.06744303,0.06668031,0.7325171,0.06667964
0.01113859,0.011246327,0.011172829,0.9550469,0.011395354
0.009130324,0.9634112,0.0092010535,0.009128926,0.009128499
0.0016468858,0.13471885,0.048350442,0.8136554,0.0016284363
0.014789387,0.9421375,0.014346097,0.014341434,0.014385612
0.008014077,0.8343304,0.0080521945,0.008066675,0.14153665
0.006255436,0.97487456,0.006280029,0.006255842,0.0063341083
0.011122893,0.75277424,0.011132927,0.21370304,0.011266863
0.010004141,0.5892734,0.11916287,0.01020534,0.2713543
0.013577163,0.9460126,0.01339919,0.013375353,0.013635667
0.010085545,0.2321149,0.7372628,0.010504331,0.0100324005
0.04040568,0.040346306,0.8384753,0.040772572,0.040000148
0.6711532,0.059099663,0.05394514,0.2130864,0.002715599
0.62179273,0.083787315,0.122328505,0.14952944,0.022561995
0.6673031,0.046887934,0.05891965,0.19012365,0.036765646
0.009797937,0.9231863,0.009623144,0.010137132,0.0472555
0.2989834,0.1467217,0.08097221,0.46839365,0.0049290136
0.009461756,0.8497289,0.12236136,0.009262573,0.009185415
0.8778125,0.009588914,0.093519844,0.009554397,0.009524378
0.23575784,0.012898284,0.7259714,0.012861567,0.012510869
0.15894204,0.6483216,0.11520316,0.070831366,0.0067018345
0.004148,0.12423362,0.024786215,0.8426503,0.004181866
0.01196241,0.1576458,0.15033427,0.66829175,0.011765748
0.003900623,0.88430846,0.104040176,0.0038985736,0.0038521464
0.3432025,0.2528033,0.0019615693,0.4000825,0.0019501478
0.066742696,0.3998307,0.066834584,0.3998508,0.066741265
0.016686287,0.9329171,0.016688831,0.016903661,0.016804107
0.005535478,0.97806185,0.00551265,0.005483872,0.0054062
0.0025036978,0.5574038,0.035857815,0.4017424,0.0024922267
0.010528518,0.010547038,0.010540147,0.010527887,0.95785636
0.010528519,0.010547105,0.010540149,0.010527888,0.95785636
0.010528519,0.010546934,0.010540149,0.010527888,0.95785654
0.010528519,0.010547051,0.010540182,0.010527888,0.95785636
0.011764872,0.13950092,0.011784265,0.0117671415,0.8251828
0.010528517,0.010547034,0.01054018,0.010527886,0.95785636
0.010528518,0.010547053,0.0105401585,0.010527887,0.95785636
0.010528517,0.010547229,0.010540178,0.010527886,0.9578562
0.010528519,0.010547123,0.010540155,0.010527888,0.95785636
0.007368308,0.14052482,0.76322204,0.08155385,0.0073309294
0.010828152,0.0668906,0.9010999,0.010649242,0.010532042
0.11439062,0.013695474,0.84461296,0.013953753,0.013347215
0.007762168,0.007783332,0.9690431,0.0077181524,0.007693281
0.014401937,0.16217738,0.26988262,0.35247177,0.20106624
0.15249296,0.011706838,0.77087414,0.011362558,0.053563535
0.009351535,0.009238853,0.7893179,0.182997,0.009094687
0.15147315,0.012740096,0.81033295,0.012952606,0.012501154
0.009302481,0.0092620645,0.9630382,0.009305511,0.009091717
0.02908859,0.028781345,0.5528647,0.36069193,0.028573452
0.85377306,0.0068138978,0.0067744493,0.104931384,0.027707262
0.6914922,0.0057698935,0.0057997685,0.29118904,0.0057490417
0.040298022,0.0023486216,0.002340918,0.9526835,0.002328895
0.015902871,0.2333606,0.5396753,0.19558832,0.015472888
0.025993412,0.02523265,0.025630224,0.89677495,0.02636878
0.942605,0.014335541,0.014395027,0.014378356,0.014286022
