id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
4981899145252661,Nymzom2sl,7456279672,蕲欢sefen,#和平精英年度颁奖盛典#我已为@NV-Coolboy助力一次，快来和我一起为TA加油吧！#PEL全明星投票#OPEL年度最具人气名场面,,,NV-Coolboy,"和平精英年度颁奖盛典,PEL全明星投票",0,0,1,2023-12-22 23:59,势力榜,,福建,普通用户
4981899120083581,Nymzm0lK5,5995521926,浮空格,主打一个爽和平精英超话#和平精英手册#,,,,和平精英手册,0,2,1,2023-12-22 23:59,OPPO K9s 5G,,山东,普通用户
4981899097283797,NymzjuyQB,7805733181,生姜半橙,程潇超话cx#程潇学姐妆#cx#程潇和平精英直播#温暖阳光和你的笑都是璀璨夺目的光𝓣𝒽𝓮𝓌𝒶𝓇𝓂𝓈𝓊𝓃𝓈𝒽𝒾𝓃𝓮𝒶𝓃𝒹𝓎𝓸𝓊𝓇𝓈𝓂𝒾𝓁𝓮𝒶𝓇𝓮𝒷𝓇𝒾𝓰𝒽𝓉@程潇,,,程潇,"程潇学姐妆,程潇和平精英直播",1,3,2,2023-12-22 23:59,程潇超话,,福建,黄V
4981899077880131,Nymzhx3YT,6457632455,缨饼,和平精英超话帮我朋友发一下，iosq区想共号的来，很适合女孩子的号！自由度很高！,,,,,0,26,6,2023-12-22 23:59,和平精英超话,,浙江,普通用户
4981899013661213,NymzbfmrP,7805733181,生姜半橙,"程潇超话cx#程潇和平精英直播#cx#程潇大梦归离#“入骨的爱，与未圆满的结局”""𝐋𝐨𝐯𝐞𝐭𝐨𝐭𝐡𝐞𝐛𝐨𝐧𝐞,𝐚𝐧𝐝𝐚𝐧𝐮𝐧𝐡𝐚𝐩𝐩𝐲𝐞𝐧𝐝𝐢𝐧𝐠.""@程潇",,,程潇,"程潇和平精英直播,程潇大梦归离",0,0,0,2023-12-22 23:59,程潇超话,,福建,黄V
4981898953101934,Nymz5d0Xc,7400538822,杭州LGD和平精英,"#lgd的特种兵明信片#LGD和平精英大家庭超话银杏叶和米米猫猫！来晚了点的晚安！大家早点休息啦！#杭城少年,追光向前#",,,,"lgd的特种兵明信片,杭城少年,追光向前",6,44,382,2023-12-22 23:58,LGD和平精英大家庭超话,,四川,蓝V
4981898666840501,NymyCsHwF,6972357618,战战QAQ,#和平精英年度颁奖盛典#我已为@诚Zzzzzz助力一次，快来和我一起为TA加油吧！#PEL全明星投票#OPEL年度最具人气名场面,,,诚Zzzzzz,"和平精英年度颁奖盛典,PEL全明星投票",0,0,0,2023-12-22 23:57,势力榜,,江西,普通用户
4981898508501446,NymymzFC6,6083168466,A爆了的少年,#和平精英年度颁奖盛典#我已为@助力一次，快来和我一起为名场面助力吧！#PEL全明星投票#OPEL年度最具人气名场面,,,,"和平精英年度颁奖盛典,PEL全明星投票",0,0,0,2023-12-22 23:57,势力榜,,广东,普通用户
4981898300362741,Nymy21wmF,7826284838,ByIand,和平精英超话🥬接几个ios托管🉑预约下赛季（包王牌➕周活跃➕手册任务）,,,,,0,0,1,2023-12-22 23:56,和平精英超话,,天津,普通用户
4981893990713800,Nymr52ZGU,7098591296,坠菟收光,#凪洁#非要打个不恰当的比喻，洁就像凪的某种精神药物共处了很长时间后，药效渗透进毛孔钻进骨髓，让他成瘾，无限拔高他的快乐阈值，所以“再也无法回到没有品尝到这份快感的时光”了分道扬镳之后，戒断反应就汹涌地袭来了。感知不到刺激、兴奋、挑战，只有加倍的无趣。只能死死锚定洁作为终点目标，哪怕短暂地赢过一次都能激动到脱力。说到底还是个利己的家伙，说出“拿去吧洁世一”“YESBOSS”的时候看似把自己当配角，实际心里指不定多爽呢。“为洁的胜利而行动”怎么不算凪的主人公感呢？洁不在身边，连爱空这个U20比赛之后才接触蓝锁的人都能说出“没了洁你就这种水平吗”，用糸师凛的球场即战场论视角来看无异于丢了洁就丢盔弃甲把心脏赤裸裸暴露在敌人的刺刀面前。偏偏洁又是个慕强而从不怀旧，向上而不念旧情的利己主义者，从拍过他的背说出“拜拜天才”的那一刻起，就明示着“我要超越你去寻找下一段竞争关系”了。尽快跟上版本吧，天才。你的眼中始终映着他的身影，只不过从前是正面，而之后只有背影。,,,,凪洁,38,17,521,2023-12-22 23:39,荣耀80 5G,,江西,红V
4981893256448025,NympTr3qp,1077173264,互联网分析师于斌,感觉网易好惨。以前，刺激战场把荒野行动搞死。现在，元梦之心又想把蛋仔派对打死。仔细想了下，腾讯有钱，有人，有qq，有微信，有虎牙，有斗鱼等直播宣发平台，当有竞争时，腾讯全网会禁止网易的任何游戏，网易有什么呢?好像没有。感觉游戏的尽头是腾讯。,,,,,8,4,44,2023-12-22 23:36,微博网页版,,江苏,红V
