id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
5114533197120214,P664DtSia,5232335000,苏叶HCY,#2024PEL全明星#我已为@杭州LGD和平精英送上奖杯，TA是我最喜爱的俱乐部，快来和我一起为TA加油吧！点击为TA送奖杯↓O2024PEL全明星,,,杭州LGD和平精英,2024PEL全明星,0,0,0,2024-12-23 00:00,势力榜,,安徽,普通用户
5114533200266430,P664E17jg,6611909043,我想回家啊疯了疯了疯了,#2024PEL全明星#我已为@杭州LGD和平精英送上奖杯，TA是我最喜爱的俱乐部，快来和我一起为TA加油吧！点击为TA送奖杯↓O2024PEL全明星,,,杭州LGD和平精英,2024PEL全明星,0,0,0,2024-12-23 00:00,势力榜,,湖南,普通用户
5114533179557965,P664BE6sJ,7115185690,谁都不是圣人yjw,#2024PEL全明星#我已为@杭州LGD和平精英送上奖杯，TA是我最喜爱的俱乐部，快来和我一起为TA加油吧！点击为TA送奖杯↓O2024PEL全明星,,,杭州LGD和平精英,2024PEL全明星,0,0,0,2024-12-22 23:59,势力榜,,江苏,普通用户
5114533163567535,P664AeY4T,6098184360,ziizizi_,33Svan超话,,,,,0,1,0,2024-12-22 23:59,33Svan超话,,马来西亚,普通用户
5114533142856335,P664ybZ3V,5585250287,超级小花_,#2024PEL全明星#我已为@杭州LGD和平精英送上奖杯，TA是我最喜爱的俱乐部，快来和我一起为TA加油吧！点击为TA送奖杯↓O2024PEL全明星,,,杭州LGD和平精英,2024PEL全明星,0,0,0,2024-12-22 23:59,势力榜,,浙江,黄V
5114533109041834,P664uBWc2,7643229316,鱼刺粥yu,我推荐@和平精英为2024#微博年度喜爱游戏#，每次打开都像开启一场神秘的探险，成为生活中不可或缺的调味剂戳>>微博年度喜爱作品&IP一起来#微博之夜#推荐你欲罢不能的热门游戏，加入粉丝战队参与解锁成就席位，更有盛典门票等你赢！#微博年度喜爱作品&IP#,,,和平精英,"微博年度喜爱游戏,微博之夜,微博年度喜爱作品&IP",0,0,0,2024-12-22 23:59,微博品牌活动,,广西,普通用户
5114533100915622,P664u3Qc6,7566277810,G隅霁r,2024#竞浪大会#年度期待推荐进行中，#2024最佳电竞战队运营#我已推荐了上海RW-和平精英6次！活动入口戳→【O网页链接】,,,,"竞浪大会,2024最佳电竞战队运营",0,0,0,2024-12-22 23:59,微博品牌活动,,四川,普通用户
5114533096720120,P664tscd2,7218928566,栗子梨子香,33Svan超话#竞浪大会#2,,,,竞浪大会,0,0,0,2024-12-22 23:59,33Svan超话,,江苏,普通用户
5114533078633921,P664rAe4N,6130263415,今天金魚記起我了嗎,#2024PEL秋季赛##2024PEL#我已为JDE・Paraboy加油助威！他是我心目中的最佳选手！快来和我一起为JDE・Paraboy打call吧O2024PEL秋季赛选手榜,,,,"2024PEL秋季赛,2024PEL",0,0,0,2024-12-22 23:59,微博游戏,,中国香港,普通用户
5114533075749144,P664ro7C8,2859930730,青葱拌芥末,#2024PEL全明星#我已为@杭州LGD和平精英送上奖杯，TA是我最喜爱的俱乐部，快来和我一起为TA加油吧！点击为TA送奖杯↓O2024PEL全明星,,,杭州LGD和平精英,2024PEL全明星,0,0,0,2024-12-22 23:59,势力榜,,山东,普通用户
