text,sentiment_label
我刺激战场的友人被我忽悠的要去当ie，问我玫珂菲周咋买联名盒我金铲铲的友人被我忽悠的每天吸淇淇盛世美颜就是我这个铲子本赛季怕是要止步钻石了？？？很难评！但是目前心里只有楼和李莲花🪷,负面
你们真结婚啊一群人把现场炸成刺激战场,正面
王者峡谷待不下去我要去刺激战场,正面
刺激战场,正面
AG超玩会超话一起晚八点档观看刺激战场🚬ag3：0es，wbs5，ess6ag3：1es，ags5，ess6ag3：2es，wbs5，ags6其他情况，wbs5，ags6我接受前两种情况，ag你看着办,正面
#tec夏季赛总冠军##2023pel夏决冠军之夜#兄弟们捧着奖杯🏆回家啦！体坛电子竞技俱乐部超话L长沙TEC体坛电子竞技俱乐部的微博视频,正面
NOVA和平精英超话有太多的话想说，却说不出什么来……我不敢想象今天拿冠军的是曾经和我们有恩怨的体坛当他们在上面捧杯的时候你们在想什么呢？佳佳是否会想起曾经喊的那句“你们有几个冠军吗？”现在他们在上面捧杯你们在下面仰望我天真的以为来到了曾经淋金色雨的地方来到了曾经辉煌过的地方你们会重新书写传奇可现在我想我错了上次在这你们是PEC冠军这次在这你们是PEL总决赛倒数无数次刷新总决赛的最差记录到底有没有想过今年的G赛怎么办？去年断了三连今年难道连进都不进了吗？说实话，我并不在资格赛上抱希望今年G赛我也没指望你们进很难接受，也不得不接受只要自己觉得没有遗憾那就这样吧恩恩惨了点吧在RSG看NV捧PEL冠军在NV看RSG捧PEL冠军我不知道他能打多久我也不知道他究竟能不能实现大满贯但我真心希望我一直陪伴的崽崽们能有一个好的未来能有一个充满美好的职业生涯能有一个没有遗憾的职业生涯,正面
今日总结来啦！！已经期待接下来的表演了！！#TEC夏季赛总冠军##2023pel夏决冠军之夜#,正面
#tec夏季赛总冠军##天最佳新秀##2023PEL夏决冠军之夜#【2023PEL夏季赛总决赛D4】【今日总结】⭐今日六场比赛过后选手及队伍数据总结如下,正面
#tec夏季赛总冠军##2023PEL夏决冠军之夜#【2023PEL夏季赛总决赛D4】【伤害榜】截至第二十四场伤害榜第一名：@广州TT阿杰第二名：@北京WBG丶北斋第三名：@WBG-Suk第四名：@深圳STE派大兴第五名:@Sukiikk,负面
#TEC夏季赛总冠军#三年蛰伏待今朝，冠军加冕见世界！恭喜体坛拿下夏季赛总冠军，我们全球总决赛见！,正面
【2023PEL夏季赛总决赛荣誉体系颁奖】#天最佳新秀##tec夏季赛总冠军#恭喜@ST天i获得2023PEL夏季赛最佳新秀的荣誉！,正面
#TEC夏季赛总冠军#太不容易了，在质疑中演绎巅峰，恭喜长沙TEC拿下2023PEL夏季赛总冠军！,正面
发布了头条文章：《当和平精英赛事再度回到东体》#2023pel夏决##2023pel夏决冠军之夜#O当和平精英赛事再度回到东体,正面
和平精英职业联赛超话好棒,正面
Fightonceagain！#华晨宇PEL新歌绝境战神#由品牌代言人@华晨宇yu演绎的@和平精英2023电竞年度主题曲《绝境战神》已上线！绝境之下依然为冠军梦执着，以极致的热爱、孤绝的勇敢背水一战！这一次，谁将站上至高顶峰？Wearereadytofightonceagain！8月17日-8月20日，锁定@PEL和平精英职业联赛各大观赛平台，一起迎风而战！8月20日PEL夏决暨空投节盛典，见证#华晨宇PEL夏决空投秀#主题曲舞台首秀！#2023PEL夏决#点击试听：@QQ音乐：K绝境战神@酷狗音乐：O网页链接@酷我音乐：O网页链接,正面
#华晨宇和平精英品牌代言人#品牌代言人@华晨宇yu超级空投秀即将惊喜空降！《和平精英》2023电竞年度主题曲助力空投惊喜，期待华晨宇新歌首唱舞台点燃冠军名场面！#华晨宇PEL夏决空投秀#观赛指南：8月20日15:20起，跟着小P一起锁定@PEL和平精英职业联赛各大观赛平台，PEL夏决暨空投节盛典，#一起去追空投雨#！#2023PEL夏决#LPEL和平精英职业联赛的微博视频,正面
精英王座，为冠军而战！#一起去追空投雨#由和平精英品牌代言人@王嘉尔打造的和平精英亚运版本官方歌曲《ZONE（圈）》舞台首秀来袭！@PSY_P、@布瑞吉_bridge共同演绎，一起在PEL夏决空投秀中感受力量，全力进圈，精英一起上场！#王嘉尔PEL夏决跨界新歌首秀##王嘉尔助力和平精英亚运版本#LPEL和平精英职业联赛的微博视频,正面
评论老师的文案比《慈父》更适配！同意的扣1@K_Svan：“来，孩子，刚买的梳子，试试看好不好用，不好用咱下回一起去集上买”#2023pel夏决冠军之夜#,正面
#华晨宇PEL新歌绝境战神#8月17日，一起见证@PEL和平精英职业联赛夏季赛总决赛开赛，赛场有歌曲惊喜释出，助燃冠军诞生！8月17日22:00，歌曲上线QQ音乐、酷我音乐、酷狗音乐，记得来听哦！8月20日，华晨宇还将空降PEL夏决暨空投节盛典，一起来观看吧！,正面
#2023pel夏决##我为天霸举大旗#【2023PEL夏季总决赛Day3】Vlog昨日的两局鸡真的泰裤辣Tianba和平精英超话L天霸电子竞技俱乐部的微博视频,正面
我靠啊啊啊啊啊啊啊啊啊#bilibili#PEL和平精英职业联赛的视频O华晨宇PEL夏决超级空投秀惊艳全场《绝境战神》+《名场面》+《飞行指挥家》,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#欢乐赛太好看了期待世界赛资格赛！,正面
#WBG最强车队收官之战##北京WBG晋级全球总决赛#微博俱乐部WBG和平精英战队超话追光队服返场宝子们都抢到了嘛真的太酷啦好好看~今日的已售罄明天记得定定闹钟抢哦,中性
