id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
5025023271636264,OauY76RFm,7091405849,扒拉啦啦啦-,伞兵paraboy超话无论如何伞宝什么决定都支持！休息也好上场也好一切都只要是本人意愿都可以,,,,,0,0,2,2024-04-19 23:59,伞兵paraboy超话,,陕西,普通用户
5025023221564507,OauY26yZZ,7382421637,数学九分厨,和平精英出这个弱智载具我要笑死了,,,,,0,0,0,2024-04-19 23:59,iPhone客户端,,内蒙古,普通用户
5025023218420588,OauY1zkzW,5028452433,故人的味道,伞兵paraboy超话真要不上就不上，巴西回来都没好好休息,,,,,0,1,1,2024-04-19 23:59,伞兵paraboy超话,,上海,普通用户
5025023163368400,OauXWe8h2,7333526498,雪松觅檀香,伞兵paraboy超话扒拉加油！！！别丧啊,,,,,0,1,3,2024-04-19 23:59,伞兵paraboy超话,,安徽,普通用户
5025022869767666,OauXsEZ10,2537376330,杯子_04,伞兵paraboy超话好好休息稳平心态你是最棒的加油扒拉,,,,,0,1,1,2024-04-19 23:57,伞兵paraboy超话,,山东,普通用户
5025022619944695,OauX3FJ4j,6586292406,狐闹89369,伞兵paraboy超话其实可以下令再试试上周的阵容的，看看有没有化学反应还是真的只是上周凑巧打好了,,,,,0,3,2,2024-04-19 23:56,伞兵paraboy超话,,福建,普通用户
5025022466591712,OauWOrENW,5578387778,Mooooovo丶,AG和平精英超话真的没有心软的神来啵啵一下吗,,,,,0,3,1,2024-04-19 23:56,AG和平精英超话,,四川,普通用户
5025022332633437,OauWBb34N,7494381251,__还没醒_,伞兵paraboy超话扒拉我相信你好吧,,,,,0,0,0,2024-04-19 23:55,伞兵paraboy超话,,马来西亚,普通用户
5025021993156744,OauW3dfde,6348900401,7口卤粉,和平精英超话刷赞会有限制吗，以前好像看到有人说过，忘记多少了,,,,,0,3,1,2024-04-19 23:54,和平精英超话,,浙江,普通用户
5025021821194279,OauVM50Gz,5856406604,清和初7,新的王牌印记拿下！,,,,,0,0,1,2024-04-19 23:53,,,云南,普通用户
5025008613589466,OauAtf3MC,1842064661,梨云笑重度依赖,摸我当你的homie在玩刺激战场,,,,,1,0,5,2024-04-19 23:01,iPhone,,美国,普通用户
5024949117132117,Oat2vtVo9,7619767453,wqghtdmzgnsmsa,这是刺激战场，休业一周，我再刺激。,,,,,0,0,0,2024-04-19 19:04,Xiaomi Civi 3,,河南,普通用户
5024943326891097,OasTasUGJ,7836656496,星空越海正飞扬sky,自我介绍一下：姓名：星空越海正飞扬sky国籍：清华大学所在国家荣誉：诺贝尔文学奖读者游戏高级品鉴师感动中国特别喜剧人参与亿万彩票项目参与者地球人类科研实验室观察者社会主接班人各大购物平台货物购买者蜜雪冰城品尝者爱奇艺会员拥有者0.2万博主杨超越忠实唯粉社会经验：在刺激战场当过几年特种兵现役暗区突围S4赛季先锋使命召唤常驻大师4399游戏盒游戏品鉴官海量游戏游玩测试者高中奋斗的小青年,,,,,0,11,10,2024-04-19 18:41,超越的弟弟Android,,浙江,普通用户
5024942044746925,OasR6jUTj,2748756355,游漫D星辰,谁懂？我捏的闺女，不想放刺激战场……,,,,,0,0,0,2024-04-19 18:36,Xiaomi Civi 3,,河南,普通用户
5024941134843009,OasPDkjT3,7619767453,wqghtdmzgnsmsa,谁懂？我这个老母……把她捏得这么……放刺激战场……,,,,,0,0,0,2024-04-19 18:33,Xiaomi Civi 3,,河南,普通用户
5024920344204746,Oasi6hDQu,6266921326,小抒包,好想买一部8p用用，真的是游戏机皇，当年玩刺激战场，用8p所向披靡，强的可怕,,,,,0,0,0,2024-04-19 17:10,iPhone客户端,,广东,普通用户
5024917053772503,OascNfPoP,5688578541,无语极了o,王者和第五人格同时启动了就差刺激战场了,,,,,0,1,0,2024-04-19 16:57,张小极送的iPhone客户端,,重庆,黄V
5024913989309732,Oas7QD3SY,7534759346,来吃块儿馍,【6399】回来吧刺激战场。L来吃块儿馍的微博视频,,,,,4,8,106,2024-04-19 16:45,微博视频号,,北京,黄V
5025021691691419,OauVz760X,7313859147,唯lululu777,AG和平精英超话怎么还不播播,,,,,0,4,14,2024-04-19 23:53,AG和平精英超话,,贵州,普通用户
5025021301625823,OauUW6OWX,5861574455,7chill伯贤xi,NOVA和平精英超话真没搞懂上周在比赛最后一天换人是想干嘛既然都发现前几句没怎么拿分为什么不轮换从第一到第四这周倒好直接差点反向夺冠真牛逼啊我就一句话该下去沉淀的另有其人而绝对不是☔真的想要好成绩那就好好搞一下赛训！！！！@上海NOVA和平精英,,,上海NOVA和平精英,,0,6,8,2024-04-19 23:51,NOVA和平精英超话,,江苏,普通用户
5025020817967107,OauU9xqBJ,7435994444,田曦薇的美丽老婆,和平精英陪玩俱乐部超话有没有讲英文好听的男陪演个小剧本,,,,,0,7,5,2024-04-19 23:49,和平精英陪玩俱乐部超话,,山东,普通用户
5025020732511212,OauU1axhq,7585722161,遇羽便是晴天,和平精英少羽超话晚安羽哥@快手少羽吖,,,快手少羽吖,,1,6,3,2024-04-19 23:49,和平精英少羽超话,,河南,普通用户
5025020533805939,OauTHfY67,6086411847,云曦悦123456,自然灿超话阿灿，加油，一定要自信，相信自己，你可是自然灿，你可是黄灿啊。阿灿你是亚运会电子竞技和平精英项目的冠军，要相信自己，不要怀疑自己，胜利的秘诀就是相信自己阿灿。L云曦悦123456的微博视频,,,,,0,4,16,2024-04-19 23:48,自然灿超话,,浙江,普通用户
5025019767817616,OauSswNIA,6498140690,白藏拾壹,NOVA和平精英超话转会期把两个指挥放走，我就觉得@上海NOVA和平精英你们管理层脑子有病。上周周决最后一天换人丢冠我也忍着没喷。你TM看看现在这个情况，差点反向夺冠，你是真的要把粉丝全都送走吗？之前没打好说出口的都是“没事没事，下把加油”就怕影响你们心态，现在就是“滚啊”不被你们搞心态我就谢天谢地了，打不好才是常态电子竞技菜是原罪，不行就下去多练，别靠着之前的成绩在场上当大爹。,,,上海NOVA和平精英,,0,8,19,2024-04-19 23:45,NOVA和平精英超话,,湖北,黄V
5025019211810965,OauRz7B77,6987364443,薄荷绿乌龙,AG和平精英超话哈哈哈哈哈哈哈哈哈哈官方发了小宝喊话光光跟着喊米米要笑疯了33又震惊又想笑又丢人的感觉哈哈哈哈哈哈哈哈哈L薄荷绿乌龙的微博视频,,,,,2,10,434,2024-04-19 23:43,AG和平精英超话,,北京,红V
