id,bid,user_id,screen_name,text,article_url,location,at_users,topics,reposts_count,comments_count,attitudes_count,created_at,source,retweet_id,ip,user_authentication
4952183419965973,NlTwNFOBv,6079769383,我是HaPpiNessYy,我也要去看一次KPL我说的！！最好有九尾一诺无畏！！！,,,,,0,1,0,2023-10-01 23:59,iPhone客户端,,广东,普通用户
4952183274210626,NlTwzhFnk,7788202728,小诺糕手ovo,#2023KPL夏季赛#我已为成都AG超玩会.一诺加油助威！他是我心目中的最佳选手！快来和我一起为成都AG超玩会.一诺打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-01 23:59,微博游戏,,山东,普通用户
4952183144189677,NlTwmhzVr,6030827576,不许贴脸,Kpl傲寒超话家人们谁有无畏说给傲寒贴脸看傲寒将军视频的切片啊,,,,,0,3,4,2023-10-01 23:58,Kpl傲寒超话,,云南,普通用户
4952183079966611,NlTwfFOLN,7738354008,许愿成蓁9,#2023KPL夏季赛#我已为广州TTG.九尾加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.九尾打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-01 23:58,微博游戏,,广西,普通用户
4952183029109235,NlTwaCdJ9,6994796407,念念今鑫,#2023KPL夏季赛#我已为广州TTG.九尾加油助威！他是我心目中的最佳选手！快来和我一起为广州TTG.九尾打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-01 23:58,微博游戏,,湖南,黄V
4952182953608376,NlTw3f8HC,7218928566,栗子梨子香,#2023KPL夏季赛#我已为北京WB.乔兮加油助威！他是我心目中的最佳选手！快来和我一起为北京WB.乔兮打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-01 23:58,微博游戏,,江苏,普通用户
4952182938142315,NlTw1yabF,6002486965,哇塞李聪明啊,KPL清融超话我的直播呢,,,,,0,2,2,2023-10-01 23:58,KPL清融超话,,福建,普通用户
4952182903276168,NlTvYdKhq,7218928566,栗子梨子香,#2023KPL夏季赛#我已为南京Hero.久酷加油助威！他是我心目中的最佳选手！快来和我一起为南京Hero.久酷打call吧！O2023KPL夏季赛选手榜,,,,2023KPL夏季赛,0,0,0,2023-10-01 23:57,微博游戏,,江苏,普通用户
4952002625016285,NlOPcl2XP,7787402718,龙王投研,【KPL人物志—虔诚】如果把KPL比作一场以冠军为终点的航行，有的人经历些许风雨就顺利抵达，而有的人沉浮几年仍遥遥无期。在乘风破浪的旅程中，有这样一名选手，联盟欠他一个冠军，那就是RNG.M虔诚。刘学煌，ID虔诚，因家乡别名虔城得以此名。2016年，接触王者荣耀不久的刘学煌，获得武汉城市赛冠军，随后只身一人来到上海开启职业生涯。先后经历了MU、WJY，并在WJY战队通过预选赛来到了KPL的舞台。在WJY正式更名后，RNG.M虔诚正式走入大家的视野。2017年KPL秋季赛，年少轻狂的RNG.M初登舞台便迎来三连胜，但慢慢的也暴露出了问题，最后取得8胜8负的战绩晋级季后赛。那一年，虔诚的苏烈打出了37.8的输出占比，表现惊艳，一战封神。但最终败于JC，彼时的虔诚在微博上写道：下个赛季，一个更强的自己。18年春季赛，虔诚转型打野，并担任RNG.M的指挥。刚开始拿到刺客的比赛，虔诚表现不尽人意，但很快适应了自己的新角色。RNG.M开启横扫的步伐，零封QGHappy、Hero等强队，创造了24小局连胜的记录，至今无人打破。他的打法凶悍，思路清晰，同时也是峡谷中打钱最快的男人，常规赛分均经济603.61，场均击杀4.36，位列所有选手第一位，并荣获常规赛MVP。季后赛由于版本的变动，RNG.M惨遭二轮游。秋季赛开始，RNG.M开始提高训练强度，一路高歌猛进。对阵Hero的比赛中，虔诚使用公孙离以一己之力拿下五杀，这也是很多观众心中最有实力的五杀。22次最佳的他，再度获得常规赛MVP，这个赛季过后，粉丝亲切的称呼他“老刘”。那时的老刘，嘴上笑开了花。季后赛在面对BA黑凤梨和EDG.M的时候，仍然难以克服，最终同样举步季后赛第二轮，这一年虔诚成熟了许多。来到虔诚的第四个赛季，19年KPL春季赛，人员变动，队伍有了更多的排列组合，然而虔诚是始终不变的首发。这个赛季恰恰相反，前期有跌跌撞撞，但最终挺进了季后赛，并在季后赛以4-1战胜RW侠突破自己的第二轮魔咒。他离向粉丝证明只差一步之遥，来到了决赛。决赛中，EStar针对虔诚的英雄池和节奏点，打断了RNG.M的节奏。时间来到第六局，随着水晶被推倒，曲江会展中心充满了欢呼的声音，但不属于他，这是他的第一次总决赛，也是离梦想最近的一次。世冠赛虽然杀入四强，但又败于EStar，虔诚看向奖杯时的身影更落寞了。19年秋季赛，教练希望通过频繁的人员变动让RNG.M重获新生，但没能奏效。这一次以第五名勉强进入季后赛，同时季后赛第一轮就被淘汰，并且无缘19年冬冠。时间来到2020年春季赛，KPL云开赛。虔诚和RNG.M卷土重来，此时的他已不畏任何风雨，遭遇小风小浪并不气馁，很快调整并拿下七连胜，并且击败黑马杭州LGD大鹅，成为第一支“吃鹅”的队伍。在对阵广州TTG.XQ的对局中，解锁了1500击杀里程碑，成为继QGHappy刺痛、EDG.M初晨之后第三个1500杀先生。5.13日RNG.M提前锁定季后赛胜者组席位，最终4-1败于工资体系的TS，世冠赛也没能晋级小组赛。在最终战胜RW侠之后，暴风锐非常激动的拍打自己的桌子。没有人知道他的内心有多大的压力，没有人知道他的内心积压了多少不甘。以前，他只能将这些按在自己的心底，不断的努力，不断的训练，如今，他终于可以在台上将这一切释放出来了。一旁的虔诚则显得冷静许多，他转头看向暴风锐，嘴角微微上扬。曾经，面对不断两轮游的季后赛，他有过退役的念头。但是从退役的悬崖边上返回的他，早已变得更加成熟、理智。当然，在和队友拥抱过后，他还是开怀的笑了起来。王者荣耀世界冠军杯的角逐结束后，2023年KPL（王者荣耀职业联赛）春季转会期大幕随之拉开。1月12日，上海RNG.M发布人员变动公告，宣布队内发育路选手刘学煌（ID：虔诚）正式退役。去年KPL夏季赛成为了刘学煌职业生涯的最后一个赛季。夏季赛结束至今，他大部分时间用在了休息、放松上。休赛期，他在上海周边转了转，来“魔都”打拼多年，他第一次参观东方明珠，顺便也认真替未来做了些打算。还打比赛的时候，他很少有时间和心思考虑这些。城市赛夺冠，刚出道月工资2190元现在回想起来，刘学煌还觉得有些不可思议，“我上学的时候，学校竟然有电竞社，而且还有女同学在打。”那时最流行的是以《英雄联盟》为代表的端游，10个人凑成对阵双方，刘学煌负责下路位置。他自认是半天赋型选手，入行前拿到的最好成绩是老家江西赣州的一个网吧联赛冠军。考上中专后，不太方便用电脑的刘学煌玩起了手游。在武汉举办的王者荣耀城市赛上，刘学煌和好友组建的队伍成功夺冠。在朋友的盛情邀请下，他加入Mu俱乐部正式开启了职业生涯。彼时，俱乐部基地位于上海市青浦区的一座三层小楼，就是从这栋不起眼的建筑中，走出了彭云飞（ID：Fly）、夏圣钦（ID：Hurt）、张奇（ID：凉晨）等众多KPL名将。基地二楼床位不够，刘学煌在三楼打了两个多月地铺，每个月2190块钱的工资不足以支撑在上海的开销，他就抽时间做些兼职维持生计。回忆起来，他只记得那段时间能和志同道合的朋友在一起，“挺热闹，挺好。”俱乐部的老板是后来KPL的首位五冠教练胡庄浩（ID：久哲），当时，他把Mu拆分成三队分别冲击KPL预选赛名额。经历了一队解散“跳槽”到三队、队伍被WJY俱乐部收购、预选赛顺利晋级、再次被收购后进入RNG.M等一系列的波折，刘学煌的生活终于渐趋稳定。在WJY的时候，刘学煌的月薪一跃过万，他和队友拿着到手的工资激动不已。日常生活中，小刘不算大手大脚的人。下面还有个妹妹的他很懂事，到上海后就没再跟父母伸过手，而且会不定期往家里寄钱。剩下的工资和奖金他基本都攒着，“以后用来买车“天才射手”驾到，两夺MVP进入KPL的首个赛季，刘学煌大放异彩。马可波罗、孙尚香等英雄在他手上都打出了不错的效果，新人小刘也由此迅速跻身一线射手行列。2017年KPL秋季赛季后赛败者组首轮，刘学煌和队友上演惊天逆转，让三追四战胜AG超玩会。次轮输给JC后，刘学煌在微博写下一句话：下赛季再见，一个更强的我。2018年春季赛归来，“天才射手”转型打野并逐渐挑起队伍指挥重任。坐在选手席总不自觉摇头晃脑，显得有些“呆萌”的刘学煌在赛场上却展现出杀伐决断、打法凶悍的一面，在他的带领下，RNG.M创造了24小局连胜的辉煌纪录。常规赛期间，他分均经济603.61，场均击杀4.36，位列所有选手第一。不出意外，刘学煌将当季常规赛MVP奖杯带回了家。季后赛，他和队伍最终止步第二轮。经历过“二轮游”，秋季赛重新来过的刘学煌打法更显稳健。凭借深厚的英雄池以及对于打野、发育路位置的深刻理解，队友口中的“老刘”在刺客和射手之间切换自如。至今，刘学煌的残血公孙离豪取“五杀”仍是很多KPL观众心中颇具含金量的名场面。那年，“常规赛的王”RNG.M再度所向披靡，刘学煌也再次捧起常规赛MVP奖杯。时间来到2019年春季赛，挺进季后赛胜者组的RNG.M终于打破“二轮游”魔咒，在战胜RW侠后，他们拿到了总决赛的门票。这是刘学煌进入KPL的第四个赛季，也是他距离冠军最近的一次。刘学煌获得2018年春季赛常规赛MVP。图/RNG.M电子竞技俱乐部遭eStar“双杀”，巅峰难越2019年KPL春季赛总决赛落地西安，在这座古色古香的城市里，留下的却是刘学煌的伤心往事。受到大风天气影响，总决赛露天对决进行到第二局时被紧急叫停，比赛延期至两周后，在西安曲江国际会展中心举行。被针对的英雄选择、eStarPro不断进攻的节奏让刘学煌和RNG.M乱了阵脚，2比4落败，他们倒在了离银龙杯最近的地方。如果那天的西安没刮风，结果会不会不一样？这个问题刘学煌没想过，赛后，他不断反思的是队伍所做的准备、局中的发挥和决策以及自己的失误点。从总决赛舞台上走下来，众人很默契地选择了沉默。被问及事后有没有看过回放时，刘学煌的语气不容置疑：“肯定看过呀，不可能不看。其实大家应该都看了，只是没有互相交流过而已。”俱乐部放了短假让大家调整心情，所有人心照不宣地把这一页翻了过去。“很可惜，但这就是人生嘛，没办法，也没有回头路，走过了也不能后悔了。”下一把再来，下个赛季再来，对于未来的期待短暂掩盖了失利带来的消极情绪。然而，不到一个月后的世冠半决赛，RNG.M以同样的比分输给老对手eStarPro，这无异于在刘学煌的伤口上撒了一把盐。此后，队伍不断求变试图换取更好成绩，但效果不佳。在人员轮换中，坚守的刘学煌仍竭尽全力。2021年KPL春季赛，刘学煌达成了个人职业生涯2000杀成就，成为KPL首位获此殊荣的选手。刘学煌是KPL首位达成2000杀的选手。图/RNG.M电子竞技俱乐部生涯未夺一冠，成最大遗憾2022年春季赛是刘学煌征战KPL的第十个赛季，新人小将已经成为了名副其实的“老刘”。但时间和成绩之间没有必然的联系，最近几个赛季，RNG.M的成绩不尽人意，队伍深陷B组泥潭无法自拔。“（2019年的时候）我以为我们后面可以走得更远，但是没想到就这样了。”好兄弟张奇的离开、挂牌后流拍的窘境、年龄增长带来的状态下滑都让刘学煌渐生退意。春季赛开始前，他在心里跟自己做了约定：六强或者离开。春天的希望最终落空，夏季赛时，原本无意上场的刘学煌受托又坐在了选手席上，“后面基本上是把每一场比赛都当最后一场去打了。”常规赛0比3负于RW侠后，RNG.M提前宣告无缘常规赛第三轮以及季后赛。后面的对决，刘学煌没再出现。在刘学煌看来，队伍成绩一蹶不振，原因有很多：自己没把握住机会，没跟队友、教练沟通好；随着时间推移，大家打得没那么纯粹了；教练组和管理层也出现了一些偏差......“输了嘛，很多东西没有问题也变成了问题。”2021年初，KPL贺岁微电影《赢家2》上映，刘学煌客串了一个小角色，片尾采访花絮中，他掷地有声：“我相信，总有一天，会有一个冠军是虔诚的。”六年多的职业生涯里，始终没能痛快地淋一场“金色雨”让刘学煌倍感遗憾，“曾经也非常有自信，觉得只要坚持下去，总有一天会拿到想要的（成绩），现实确实差得有点多了。”回头看，刘学煌自认已经竭尽全力，“我做了我应该做的，既然还是不行，也没办法了。”24岁退役，未来想在上海开店夏季赛结束后，没有拿到挑战者杯和世冠参赛名额的RNG.M在当年的赛事全部结束。刘学煌这段时间过得还算自在，追追电视剧，看看世界杯，还在上海转了转。2022年年底，刘学煌和俱乐部的合同到期了。在电竞赛场上，24岁的他已经称得上是大龄选手了，但在人生旅程中，精彩生活刚刚开始。趁着年轻，小刘想多去看看外面的世界。未来会是什么样子，他还想象不到，正如六年前，那个医学影像专业毕业的小伙子也没有想到自己会走出赣州，成为拥有众多粉丝的电竞选手。退役后，小刘想开家店，主营密室逃脱、剧本杀业务。这也是他平时放假时，经常跟张奇等好友去的地方。选址还是在上海，毕竟相熟的朋友基本都在这，他也早已习惯了这座城市的生活。“最后想跟大家说的就是，虽然（我以后）不在舞台上了，但是会在其他地方闪闪发光的。”刘学煌眼神坚定，嘴角带着笑意。KPL超话,,,,,3,9,77,2023-10-01 12:01,KPL超话,,北京,普通用户
4952001810794394,NlONT3kEO,7787402718,龙王投研,【KPL选手志—虔诚（前瞻了解版）】虔诚是一名王者荣耀职业电竞选手目前效力于RNG.M的ADC选手，他超强的经济运营能力也造就他的四保一阵容，场均输出非常夸张的一名选手。【RNG.M战队成员名单2022】RNGM虔诚个人资料1、基本资料中文名：刘学煌游戏ID：虔诚所属战队：上海RNG.M位置：ADC2、主要成绩2020KPL职业联赛春季赛KPL并列第五名2019KPL职业联赛秋季赛KPL并列第九2019世界冠军杯冠军杯第四名2019KPL职业联赛春季赛KPL亚军2018冬季冠军杯冠军杯并列第五2018KPL职业联赛秋季赛KPL并列第五2018冠军杯赛冠军杯并列第五2018KPL职业联赛春季赛KPL并列第五2017冠军杯赛冠军杯赏金制3、常用英雄虔诚的个人胜率还是非常不错的，作为队伍中的老将发挥出了自己全部的力量。RNGM虔诚职业数据1、职业场均对比2、基本数据3、单场最高数据4、数据总览KPL超话,,,,,2,2,44,2023-10-01 11:58,KPL超话,,北京,普通用户
