macro income,macro downloads,macro market size,macro game count,macro user scale
1168.6,3794354,148.8,3341,6.4108
1191.206312,5019556,150.5726502,3505,6.420607286
1234.75479,5669826,152.7925347,3676,6.445827758
1288.073417,8959333,155.3474297,3863,6.480159342
1339.990173,10290167,158.1251111,4026,6.517299961
1379.33304,8832599,161.013355,4219,6.550947539
1394.93,6568515,163.8999375,4454,6.5748
1394.708519,8735383,166.6726345,4631,6.591256423
1394.154815,4539611,169.2192222,4860,6.606612719
1393.435,3825876,171.4274766,5061,6.620412055
1392.715185,5035959,173.1851736,5293,6.632197601
1392.161481,3786940,174.3800894,5606,6.641512527
1391.94,4224641,174.9,5845,6.6479
1400.30963,4600076,175.0291758,6142,6.65253204
1421.233704,4244583,175.1303363,6462,6.656756122
1448.435,4684802,175.2089309,6692,6.660378603
1475.636296,6367841,175.2704094,6897,6.663205839
1496.56037,5925991,175.3202211,7108,6.665044186
1504.93,5240045,175.3638158,7359,6.6657
1501.616667,4737437,175.4066429,7592,6.665551042
1493.333333,3235387,175.454152,7852,6.66515
1482.565,3894501,175.5117928,8083,6.664565625
1471.796667,5263427,175.5850146,8377,6.663866667
1463.513333,5184520,175.6792672,8738,6.663121875
1460.2,4318711,175.8,9160,6.6624
1461.51037,5556117,176.0833138,9644,6.661705254
1464.786296,5163128,176.6256335,10087,6.660971258
1469.045,4586034,177.3728947,10532,6.660160873
1473.303704,3290982,178.2710331,10910,6.65923696
1476.57963,4217500,179.2659844,11327,6.658162382
1477.89,3805541,180.3036842,11763,6.6569
1455.894444,3395776,181.3300682,12132,6.654749539
1400.905556,3397259,182.2910721,12460,6.65148341
1329.42,3851428,183.1326316,12846,6.647773502
1257.934444,3990135,183.8006823,12304,6.644291705
1202.945556,3943182,184.2411598,13284,6.641709908
1180.95,2785859,184.4,13367,6.6407
1196.026121,2651053,184.390162,13348,6.643594083
1235.008699,3534821,184.362963,13185,6.650838843
1288.529054,5469952,184.321875,13195,6.660278047
1347.218509,4809246,184.2703704,13170,6.669755463
1401.708384,3361536,184.2119213,13123,6.677114859
1442.63,6158451,184.15,13116,6.6802
1474.862727,6302534,184.0880787,13202,6.680379046
1507.63038,6933706,184.0296296,13248,6.68048281
1538.080946,7352696,183.978125,13259,6.68054904
1563.362412,9760624,183.937037,13155,6.680615482
1580.622768,7052491,183.909838,13080,6.680719887
1587.01,7311680,183.9,12861,6.6809
1578.54037,4109355,183.9368924,12770,6.685155119
1557.366296,5086237,184.04375,12677,6.695497869
1529.84,4785942,184.2148437,12607,6.708985991
1502.313704,6642252,184.4444444,12343,6.722677226
1481.13963,5164207,184.7268229,12361,6.733629316
1472.67,4897582,185.05625,12351,6.7389
1483.643681,3823312,185.4269965,11805,6.740254557
1514.73,3289810,185.8333333,11637,6.741406722
1563.176875,3945351,186.2695312,11530,6.742336922
1626.232222,5652574,186.7298611,11323,6.743025583
1701.143958,5396811,187.2085937,11063,6.743453134
