时间,海外实际销售收入占比:中国自主研发移动游戏:其他地区:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:美国:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:巴西:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:印尼:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:法国:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:英国:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:日本:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:德国:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:韩国:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:土耳其:累计值:半年,海外实际销售收入占比:中国自主研发移动游戏:沙特:累计值:半年
2024-12-31 00:00:00,28.06,31.06,,1.12,1.96,2.71,17.32,3.56,8.89,,1.25
2024-06-30 00:00:00,26.01,33,,,2.41,2.74,15.66,4.7,8.82,,1.26
2023-12-31 00:00:00,24.54,32.51,,1.25,2.16,2.76,18.87,4.42,8.18,,
2023-06-30 00:00:00,26.25,31.77,,1.27,2.13,2.69,19.65,4.57,8.5,0.99,1.02
2022-12-31 00:00:00,30.16,32.31,0.88,0.9,2.15,2.69,17.12,4.34,6.97,,1.16
2022-06-30 00:00:00,30.21,31.72,0.82,0.65,1.98,3.1,17.52,5.02,6.29,0.84,1.85
2021-12-31 00:00:00,27.29,32.58,0.84,0.74,2.07,3.11,18.54,4.96,7.19,0.92,1.76
2021-06-30 00:00:00,25.67,30.58,0.87,0.89,2.22,3.13,20.24,4.86,8.69,1.06,1.61
2020-12-31 00:00:00,26.25,27.55,0.89,0.89,2.07,2.7,23.91,3.93,8.81,0.91,1.75
2020-06-30 00:00:00,24.69,28.23,0.92,1.03,2.22,2.72,23.26,3.83,9.97,1.05,1.61
