时间,游戏APP数量:iphone:游戏:当期值:月,游戏APP数量:iphone:游戏:环比:月,游戏APP数量:ipad:游戏:当期值:月,游戏APP数量:ipad:游戏:环比:月
2025-02-28 00:00:00,11028,-0.96,516,-0.58
2025-01-31 00:00:00,11135,0.65,519,-2.08
2024-12-31 00:00:00,11063,-2.3,530,-0.75
2024-11-30 00:00:00,11323,-1.8,534,0.95
2024-10-31 00:00:00,11530,-0.92,529,-0.75
2024-09-30 00:00:00,11637,-1.42,533,-3.27
2024-08-31 00:00:00,11805,-4.42,551,0.18
2024-07-31 00:00:00,12351,-0.08,550,-2.83
2024-06-30 00:00:00,12361,0.15,566,-0.53
2024-05-31 00:00:00,12343,-2.09,569,-0.18
2024-04-30 00:00:00,12607,-0.55,570,-2.4
2024-03-31 00:00:00,12677,-0.73,584,-1.68
2024-02-29 00:00:00,12770,-0.71,594,-3.88
2024-01-31 00:00:00,12861,-1.67,618,-5.94
2023-12-31 00:00:00,13080,-0.57,657,-10.12
2023-11-30 00:00:00,13155,-0.78,731,-3.31
2023-10-31 00:00:00,13259,0.08,756,-1.05
2023-09-30 00:00:00,13248,0.35,764,-0.91
2023-08-31 00:00:00,13202,0.66,771,0
2023-07-31 00:00:00,13116,-0.05,771,0
2023-06-30 00:00:00,13123,-0.36,771,0.13
2023-05-31 00:00:00,13170,-0.19,770,0.39
2023-04-30 00:00:00,13195,0.08,767,-1.92
2023-03-31 00:00:00,13185,-1.22,782,-2.13
2023-02-28 00:00:00,13348,-0.14,799,-0.62
2023-01-31 00:00:00,13367,0.62,804,-0.74
2022-12-31 00:00:00,13284,7.96,810,2.4
2022-11-30 00:00:00,12304,-4.22,791,-1.62
2022-10-31 00:00:00,12846,3.1,43,-6.52
2022-09-30 00:00:00,12460,2.7,46,12.2
2022-08-31 00:00:00,12132,3.14,41,5.13
2022-07-31 00:00:00,11763,3.85,39,18.18
2022-06-30 00:00:00,11327,3.82,33,-15.38
2022-05-31 00:00:00,10910,3.59,39,5.41
2022-04-30 00:00:00,10532,4.41,37,-15.91
2022-03-31 00:00:00,10087,4.59,44,7.32
2022-02-28 00:00:00,9644,5.28,41,
2022-01-31 00:00:00,9160,4.83,,
2021-12-31 00:00:00,8738,4.31,,
2021-11-30 00:00:00,8377,3.64,,
2021-10-31 00:00:00,8083,2.94,,
2021-09-30 00:00:00,7852,3.42,67,-36.79
2021-08-31 00:00:00,7592,3.17,106,-2.75
2021-07-31 00:00:00,7359,3.53,109,-1.8
2021-06-30 00:00:00,7108,3.06,111,3.74
2021-05-31 00:00:00,6897,3.06,107,15.05
2021-04-30 00:00:00,6692,3.56,93,3.33
2021-03-31 00:00:00,6462,5.21,90,20
2021-02-28 00:00:00,6142,5.08,75,-7.41
2021-01-31 00:00:00,5845,4.26,81,-1.22
2020-12-31 00:00:00,5606,5.91,82,2.5
2020-11-30 00:00:00,5293,4.58,80,6.67
2020-10-31 00:00:00,5061,4.14,75,-5.06
2020-09-30 00:00:00,4860,4.94,79,-9.2
2020-08-31 00:00:00,4631,3.97,87,3.57
2020-07-31 00:00:00,4454,5.57,84,-4.55
2020-06-30 00:00:00,4219,4.79,88,12.82
2020-05-31 00:00:00,4026,4.22,78,-13.33
2020-04-30 00:00:00,3863,5.09,90,5.88
2020-03-31 00:00:00,3676,4.88,85,0
2020-02-29 00:00:00,3505,4.91,85,30.77
2020-01-31 00:00:00,3341,3.92,65,-24.42
2019-12-31 00:00:00,3215,3.31,86,2.38
2019-11-30 00:00:00,3112,100,84,
