时间,游戏APP预估下载量:iphone:游戏:当期值:月,游戏APP预估下载量:iphone:游戏:环比:月,游戏APP预估下载量:ipad:游戏:当期值:月,游戏APP预估下载量:ipad:游戏:环比:月
2025-02-28 00:00:00,5491829,-17.6,476362,-0.84
2025-01-31 00:00:00,6664929,23.5,480378,30.99
2024-12-31 00:00:00,5396811,-4.52,366720,68.17
2024-11-30 00:00:00,5652574,43.27,218066,-56.28
2024-10-31 00:00:00,3945351,19.93,498755,-10.75
2024-09-30 00:00:00,3289810,-13.95,558811,0.31
2024-08-31 00:00:00,3823312,-21.93,557068,-2.9
2024-07-31 00:00:00,4897582,-5.16,573717,9.91
2024-06-30 00:00:00,5164207,-22.25,521997,-25.7
2024-05-31 00:00:00,6642252,38.79,702583,23.7
2024-04-30 00:00:00,4785942,-5.9,567954,-7.88
2024-03-31 00:00:00,5086237,23.77,616566,2.35
2024-02-29 00:00:00,4109355,-43.8,602401,34.53
2024-01-31 00:00:00,7311680,3.68,447785,-28.66
2023-12-31 00:00:00,7052491,-61.69,627707,-8.51
2023-11-30 00:00:00,9760624,32.75,22139,-93.99
2023-10-31 00:00:00,7352696,6.04,368343,-40.12
2023-09-30 00:00:00,6933706,10.01,615142,-4.56
2023-08-31 00:00:00,6302534,2.34,644521,-24.8
2023-07-31 00:00:00,6158451,83.2,857044,16.08
2023-06-30 00:00:00,3361536,-30.1,738347,-19.98
2023-05-31 00:00:00,4809246,-12.08,922695,54.54
2023-04-30 00:00:00,5469952,54.74,597069,-12.84
2023-03-31 00:00:00,3534821,33.34,685060,-6.4
2023-02-28 00:00:00,2651053,-4.84,731915,-27.96
2023-01-31 00:00:00,2785859,-29.35,1015967,-19.27
2022-12-31 00:00:00,3943182,-1.18,1258464,7.08
2022-11-30 00:00:00,3990135,3.6,1175225,-22.97
2022-10-31 00:00:00,3851428,13.37,1525731,28.68
2022-09-30 00:00:00,3397259,0.04,1185655,-5.93
2022-08-31 00:00:00,3395776,-10.77,1260428,13.41
2022-07-31 00:00:00,3805541,-9.77,1111366,-4.96
2022-06-30 00:00:00,4217500,28.15,1169379,-28.74
2022-05-31 00:00:00,3290982,-28.24,1640959,24.85
2022-04-30 00:00:00,4586034,-11.18,1314373,-28.66
2022-03-31 00:00:00,5163128,-7.07,1842468,86.8
2022-02-28 00:00:00,5556117,28.65,986312,
2022-01-31 00:00:00,4318711,-16.7,,
2021-12-31 00:00:00,5184520,-1.5,,
2021-11-30 00:00:00,5263427,35.15,,
2021-10-31 00:00:00,3894501,20.37,,
2021-09-30 00:00:00,3235387,-31.71,55972,-95.07
2021-08-31 00:00:00,4737437,-9.59,1134341,4.3
2021-07-31 00:00:00,5240045,-11.58,1087531,-15.15
2021-06-30 00:00:00,5925991,-6.94,1281696,-7.74
2021-05-31 00:00:00,6367841,35.93,1389170,45.19
2021-04-30 00:00:00,4684802,10.37,956772,-14.36
2021-03-31 00:00:00,4244583,-7.73,1117159,26.34
2021-02-28 00:00:00,4600076,8.89,884255,-21.39
2021-01-31 00:00:00,4224641,11.56,1124893,8.99
2020-12-31 00:00:00,3786940,-24.8,1032150,-11.26
2020-11-30 00:00:00,5035959,31.63,1163181,4.95
2020-10-31 00:00:00,3825876,-15.72,1108358,13.65
2020-09-30 00:00:00,4539611,-48.03,975256,-20.29
2020-08-31 00:00:00,8735383,32.99,1223576,66.72
2020-07-31 00:00:00,6568515,-25.63,733893,-2.38
2020-06-30 00:00:00,8832599,-14.16,751748,47.36
2020-05-31 00:00:00,10290167,14.85,510154,15.38
2020-04-30 00:00:00,8959333,58.02,442160,19.11
2020-03-31 00:00:00,5669826,12.95,371208,-1.43
2020-02-29 00:00:00,5019556,32.29,376590,21.62
2020-01-31 00:00:00,3794354,-15.8,309650,-20.96
2019-12-31 00:00:00,4506557,7.41,391750,-49.71
2019-11-30 00:00:00,4195796,,779043,
