"日期","1星","2星","3星","4星","5星"
"2021-01-01","232","8","41","47","285"
"2021-01-02","279","26","53","67","395"
"2021-01-03","153","11","20","35","185"
"2021-01-04","67","4","19","14","95"
"2021-01-05","151","15","37","27","146"
"2021-01-06","65","3","12","9","62"
"2021-01-07","118","9","16","22","120"
"2021-01-08","64","4","14","12","62"
"2021-01-09","387","44","49","65","409"
"2021-01-10","46","6","8","13","53"
"2021-01-11","231","23","44","41","263"
"2021-01-12","57","4","13","11","81"
"2021-01-13","181","10","37","29","185"
"2021-01-14","11541","1334","1555","888","3169"
"2021-01-15","4765","593","766","354","1417"
"2021-01-16","5246","755","881","483","1667"
"2021-01-17","1683","204","249","128","517"
"2021-01-18","795","99","135","58","315"
"2021-01-19","555","67","76","56","247"
"2021-01-20","711","91","89","75","343"
"2021-01-21","381","63","56","40","205"
"2021-01-22","468","64","78","61","289"
"2021-01-23","631","89","111","84","390"
"2021-01-24","457","58","91","68","297"
"2021-01-25","348","44","70","54","249"
"2021-01-26","599","73","89","90","440"
"2021-01-27","249","23","53","49","210"
"2021-01-28","469","44","94","78","350"
"2021-01-29","381","37","65","48","318"
"2021-01-30","530","39","67","63","405"
"2021-01-31","389","26","65","55","263"
"2021-02-01","463","54","75","72","384"
"2021-02-02","532","62","69","75","324"
"2021-02-03","306","37","61","54","243"
"2021-02-04","566","73","83","106","483"
"2021-02-05","434","51","55","56","355"
"2021-02-06","500","50","60","80","283"
"2021-02-07","568","61","93","75","343"
"2021-02-08","577","42","90","71","294"
"2021-02-09","530","53","60","61","258"
"2021-02-10","756","60","82","68","337"
"2021-02-11","855","73","60","59","332"
"2021-02-12","385","29","48","50","199"
"2021-02-13","202","16","19","26","119"
"2021-02-14","697","43","58","68","368"
"2021-02-15","461","37","51","51","298"
"2021-02-16","486","40","61","56","302"
"2021-02-17","397","31","48","53","346"
"2021-02-18","398","34","54","62","242"
"2021-02-19","133","25","21","16","80"
"2021-02-20","426","17","53","62","364"
"2021-02-21","191","35","48","58","242"
"2021-02-22","123","18","26","33","136"
"2021-02-23","176","21","33","38","193"
"2021-02-24","352","35","46","44","246"
"2021-02-25","419","39","75","66","312"
"2021-02-26","272","16","33","39","229"
"2021-02-27","339","21","44","56","308"
"2021-02-28","166","12","31","25","181"
"2021-03-01","123","7","14","19","135"
"2021-03-02","81","9","17","13","81"
"2021-03-03","102","7","13","23","84"
"2021-03-04","1","1","0","0","1"
"2021-03-05","0","0","0","-1","0"
"2021-03-06","0","0","0","0","0"
"2021-03-07","0","0","0","0","0"
"2021-03-08","0","0","0","0","0"
"2021-03-09","0","0","0","0","0"
"2021-03-10","0","0","0","0","0"
"2021-03-11","0","0","0","0","0"
"2021-03-12","0","0","0","0","0"
"2021-03-13","0","0","0","0","0"
"2021-03-14","0","0","0","0","0"
"2021-03-15","104","10","2","7","85"
"2021-03-16","67","3","3","20","72"
"2021-03-17","142","11","18","11","104"
"2021-03-18","125","8","13","18","95"
"2021-03-19","76","7","9","13","81"
"2021-03-20","346","29","41","74","356"
"2021-03-21","238","23","42","34","282"
"2021-03-22","96","6","20","13","79"
"2021-03-23","128","6","27","24","100"
"2021-03-24","124","6","18","11","95"
"2021-03-25","116","7","21","19","98"
"2021-03-26","139","18","21","25","119"
"2021-03-27","314","27","57","57","306"
"2021-03-28","211","11","33","31","223"
"2021-03-29","111","11","17","17","110"
"2021-03-30","154","10","20","10","114"
"2021-03-31","98","1","14","14","67"
"2021-04-01","135","4","29","32","104"
"2021-04-02","144","17","18","25","112"
"2021-04-03","302","37","53","41","353"
"2021-04-04","368","29","39","50","289"
"2021-04-05","257","17","39","34","227"
"2021-04-06","103","10","19","14","84"
"2021-04-07","118","3","17","19","90"
"2021-04-08","1684","243","480","329","1559"
"2021-04-09","911","169","325","272","1108"
"2021-04-10","1104","184","316","282","1116"
"2021-04-11","467","42","89","89","465"
"2021-04-12","125","8","14","22","82"
"2021-04-13","172","18","22","27","120"
"2021-04-14","204","16","23","14","120"
"2021-04-15","209","15","34","42","144"
"2021-04-16","192","31","49","34","210"
"2021-04-17","313","43","62","54","344"
"2021-04-18","280","29","63","34","303"
"2021-04-19","91","2","15","12","81"
"2021-04-20","154","11","23","15","118"
"2021-04-21","80","12","20","16","65"
"2021-04-22","145","10","24","33","112"
"2021-04-23","166","18","24","42","106"
"2021-04-24","271","17","44","45","239"
"2021-04-25","75","1","12","9","86"
"2021-04-26","132","13","11","22","102"
"2021-04-27","65","7","13","21","77"
"2021-04-28","92","16","19","16","91"
"2021-04-29","75","9","17","11","97"
"2021-04-30","177","29","45","27","142"
"2021-05-01","320","38","66","58","289"
"2021-05-02","295","33","65","49","310"
"2021-05-03","281","30","34","50","245"
"2021-05-04","318","26","68","57","244"
"2021-05-05","190","15","40","49","200"
"2021-05-06","76","7","14","11","86"
"2021-05-07","108","15","21","30","87"
"2021-05-08","107","20","20","20","104"
"2021-05-09","173","19","41","32","180"
"2021-05-10","59","4","22","8","66"
"2021-05-11","137","10","26","16","79"
"2021-05-12","89","6","19","14","53"
"2021-05-13","152","8","25","14","95"
"2021-05-14","120","19","13","30","133"
