"日期","1星","2星","3星","4星","5星"
"2020-01-01","10","5","33","130","1253"
"2020-01-02","-3","2","12","27","275"
"2020-01-03","3","4","15","57","404"
"2020-01-04","8","-2","20","81","655"
"2020-01-05","5","6","18","48","516"
"2020-01-06","3","1","8","29","230"
"2020-01-07","4","2","9","37","289"
"2020-01-08","2","4","6","53","531"
"2020-01-09","20","5","14","44","369"
"2020-01-10","11","2","11","32","303"
"2020-01-11","-250","-42","-115","-166","-947"
"2020-01-12","11","4","9","35","295"
"2020-01-13","301","59","142","234","1657"
"2020-01-14","20","7","20","35","261"
"2020-01-15","14","5","9","30","197"
"2020-01-16","35","15","18","29","222"
"2020-01-17","19","5","6","14","70"
"2020-01-18","15","5","8","11","54"
"2020-01-19","22","2","5","13","60"
"2020-01-20","39","6","16","10","45"
"2020-01-21","30","12","8","7","55"
"2020-01-22","-238","-46","-110","-199","-1316"
"2020-01-23","35","9","17","17","121"
"2020-01-24","291","51","131","219","1414"
"2020-01-25","19","3","4","10","66"
"2020-01-26","17","6","4","8","60"
"2020-01-27","10","1","1","13","38"
"2020-01-28","17","0","3","9","52"
"2020-01-29","14","2","6","11","83"
"2020-01-30","18","5","1","15","81"
"2020-01-31","22","7","3","8","83"
"2020-02-01","16","9","14","3","49"
"2020-02-02","18","1","2","11","68"
"2020-02-03","17","6","0","8","62"
"2020-02-04","23","4","6","12","58"
"2020-02-05","13","6","5","9","60"
"2020-02-06","-251","-47","-119","-200","-1298"
"2020-02-07","292","52","131","215","1426"
"2020-02-08","14","10","11","9","65"
"2020-02-09","20","4","4","-2","59"
"2020-02-10","19","5","2","5","65"
"2020-02-11","-248","-45","-118","-198","-1304"
"2020-02-12","12","5","12","17","85"
"2020-02-13","17","7","12","15","127"
"2020-02-14","299","50","137","216","1472"
"2020-02-15","-252","-40","-112","-204","-1266"
"2020-02-16","288","47","133","222","1435"
"2020-02-17","19","6","16","11","81"
"2020-02-18","20","2","6","12","85"
"2020-02-19","19","5","8","17","100"
"2020-02-20","37","9","5","15","135"
"2020-02-21","26","4","13","7","97"
"2020-02-22","26","2","10","16","131"
"2020-02-23","28","2","1","12","100"
"2020-02-24","-247","-44","-116","-195","-1244"
"2020-02-25","289","55","140","216","1462"
"2020-02-26","25","4","6","18","80"
"2020-02-27","26","8","9","18","144"
"2020-02-28","-251","-44","-119","-198","-1256"
"2020-02-29","15","1","11","19","88"
"2020-03-01","299","56","142","214","1459"
"2020-03-02","21","1","15","21","132"
"2020-03-03","-244","-47","-113","-195","-1257"
"2020-03-04","301","55","125","223","1457"
"2020-03-05","37","7","17","27","152"
"2020-03-06","47","13","12","16","106"
"2020-03-07","-215","-33","-114","-182","-1273"
"2020-03-08","308","54","132","223","1453"
"2020-03-09","40","13","29","22","227"
"2020-03-10","21","7","11","18","108"
"2020-03-11","42","5","14","17","137"
"2020-03-12","-240","-42","-101","-192","-1272"
"2020-03-13","24","7","12","10","94"
"2020-03-14","298","52","134","229","1494"
"2020-03-15","16","5","3","23","144"
"2020-03-16","-249","-42","-108","-191","-1222"
"2020-03-17","307","51","133","220","1461"
"2020-03-18","23","1","9","6","82"
"2020-03-19","31","0","11","21","149"
"2020-03-20","23","5","13","11","95"
"2020-03-21","-253","-44","-112","-190","-1299"
"2020-03-22","25","6","12","1","58"
"2020-03-23","297","49","128","220","1473"
"2020-03-24","23","2","11","7","86"
"2020-03-25","22","6","6","12","62"
"2020-03-26","35","10","14","23","162"
"2020-03-27","15","4","4","10","77"
"2020-03-28","26","4","16","7","69"
"2020-03-29","-251","-44","-115","-200","-1315"
"2020-03-30","302","53","132","225","1467"
"2020-03-31","7","2","8","11","80"
"2020-04-01","-246","-45","-113","-199","-1239"
"2020-04-02","11","8","19","47","478"
"2020-04-03","302","51","135","235","1620"
"2020-04-04","0","0","0","0","0"
"2020-04-05","0","0","0","0","0"
"2020-04-06","0","0","0","0","0"
"2020-04-07","-254","-43","-110","-196","-1201"
"2020-04-08","21","2","7","20","128"
"2020-04-09","327","61","143","234","1687"
"2020-04-10","40","5","13","21","197"
"2020-04-11","21","4","13","13","118"
"2020-04-12","-260","-40","-113","-209","-1285"
"2020-04-13","22","3","10","10","110"
"2020-04-14","306","58","133","221","1462"
"2020-04-15","19","3","5","14","86"
"2020-04-16","21","3","15","18","127"
"2020-04-17","19","2","14","7","129"
"2020-04-18","17","5","13","10","102"
"2020-04-19","85","11","24","15","132"
"2020-04-20","47","7","17","11","45"
"2020-04-21","18","6","9","10","84"
"2020-04-22","22","7","16","4","66"
"2020-04-23","19","7","9","13","81"
"2020-04-24","21","8","7","12","74"
"2020-04-25","24","0","5","9","71"
"2020-04-26","18","3","5","9","73"
"2020-04-27","15","-1","7","12","58"
"2020-04-28","19","3","6","3","70"
"2020-04-29","14","2","5","10","72"
"2020-04-30","22","2","5","10","76"
"2020-05-01","-258","-47","-114","-202","-1233"
"2020-05-02","302","52","128","215","1430"
"2020-05-03","24","3","11","7","115"
"2020-05-04","23","5","14","14","99"
"2020-05-05","10","4","9","7","76"
"2020-05-06","12","5","3","8","62"
"2020-05-07","8","2","13","1","57"
"2020-05-08","-262","-43","-111","-202","-1292"
"2020-05-09","286","49","124","216","1432"
"2020-05-10","25","2","6","3","93"
"2020-05-11","8","-1","-1","2","34"
"2020-05-12","3","0","6","4","57"
"2020-05-13","8","0","6","10","41"
"2020-05-14","14","1","5","5","50"
"2020-05-15","13","3","7","9","71"
"2020-05-16","15","4","6","12","83"
"2020-05-17","11","6","16","12","59"
"2020-05-18","12","1","8","3","39"
"2020-05-19","12","3","3","5","44"
"2020-05-20","3","1","1","0","11"
"2020-05-21","0","0","0","0","0"
"2020-05-22","0","0","0","0","0"
"2020-05-23","0","0","0","0","0"
"2020-05-24","0","0","0","0","0"
"2020-05-25","0","0","0","0","0"
"2020-05-26","19293","4042","9704","14670","98638"
"2020-05-27","4","3","6","2","17"
"2020-05-28","0","0","0","0","0"
"2020-05-29","0","0","0","0","0"
"2020-05-30","0","0","0","0","0"
"2020-05-31","0","0","0","0","0"
"2020-06-01","0","0","0","0","0"
"2020-06-02","0","0","0","0","0"
"2020-06-03","0","0","0","0","0"
"2020-06-04","0","0","0","0","0"
"2020-06-05","0","0","0","0","0"
"2020-06-06","0","0","0","0","0"
"2020-06-07","0","0","0","0","0"
"2020-06-08","6","-2","7","0","9"
"2020-06-09","8","4","5","5","38"
"2020-06-10","21","5","2","4","25"
"2020-06-11","15","6","13","4","27"
"2020-06-12","32","8","5","6","17"
"2020-06-13","58","3","12","16","42"
"2020-06-14","37","1","10","14","42"
"2020-06-15","10","3","5","1","17"
"2020-06-16","16","6","0","6","26"
"2020-06-17","4","2","2","2","35"
"2020-06-18","12","-1","7","8","33"
"2020-06-19","21","5","5","11","27"
"2020-06-20","27","8","5","12","53"
"2020-06-21","20","3","8","16","74"
"2020-06-22","17","0","3","8","31"
"2020-06-23","6","1","7","5","41"
"2020-06-24","26","7","8","7","33"
"2020-06-25","32","2","12","14","94"
"2020-06-26","16","3","6","15","87"
"2020-06-27","22","1","4","2","63"
"2020-06-28","5","-1","8","9","33"
"2020-06-29","4","3","6","9","33"
"2020-06-30","15","0","2","8","41"
"2020-07-01","14","3","5","7","40"
"2020-07-02","17","4","4","9","61"
"2020-07-03","12","0","7","4","45"
"2020-07-04","20","6","9","8","58"
"2020-07-05","25","1","4","7","66"
"2020-07-06","8","6","4","11","56"
"2020-07-07","5","2","7","9","47"
"2020-07-08","12","5","0","11","51"
"2020-07-09","17","-2","13","4","35"
"2020-07-10","12","3","13","19","90"
"2020-07-11","15","0","15","38","247"
"2020-07-12","18","-1","16","28","182"
"2020-07-13","10","5","5","14","128"
"2020-07-14","14","3","8","21","133"
"2020-07-15","20","1","13","12","115"
"2020-07-16","25","11","16","41","420"
"2020-07-17","25","5","22","46","248"
"2020-07-18","36","8","19","29","224"
"2020-07-19","30","-2","9","32","205"
"2020-07-20","32","1","9","34","198"
"2020-07-21","7","4","7","15","89"
"2020-07-22","22","8","4","29","175"
"2020-07-23","24","4","23","26","168"
"2020-07-24","18","5","14","31","142"
"2020-07-25","15","5","8","22","189"
"2020-07-26","10","5","7","22","167"
"2020-07-27","21","1","13","18","134"
"2020-07-28","20","4","14","22","145"
"2020-07-29","16","3","11","20","151"
"2020-07-30","21","5","17","19","118"
"2020-07-31","13","-1","13","24","154"
"2020-08-01","16","3","12","20","126"
"2020-08-02","15","2","10","14","109"
"2020-08-03","13","6","11","10","97"
"2020-08-04","13","1","3","17","82"
"2020-08-05","15","1","12","23","89"
"2020-08-06","16","6","8","10","90"
"2020-08-07","18","2","6","21","92"
"2020-08-08","14","4","18","17","111"
"2020-08-09","7","-1","5","7","70"
"2020-08-10","26","2","5","15","79"
"2020-08-11","18","4","15","37","234"
"2020-08-12","3","8","100","287","1870"
"2020-08-13","25","11","54","126","801"
"2020-08-14","10","5","54","93","604"
"2020-08-15","12","4","32","68","411"
"2020-08-16","18","3","25","70","407"
"2020-08-17","6","-1","17","65","342"
"2020-08-18","10","6","36","82","447"
"2020-08-19","14","1","17","53","280"
"2020-08-20","15","6","20","77","408"
"2020-08-21","21","7","10","41","229"
"2020-08-22","13","2","20","40","238"
"2020-08-23","11","0","13","28","204"
"2020-08-24","15","4","4","50","226"
"2020-08-25","10","2","11","30","165"
"2020-08-26","9","2","14","47","198"
"2020-08-27","16","1","12","37","240"
"2020-08-28","19","4","7","37","330"
"2020-08-29","10","2","6","38","204"
"2020-08-30","15","3","8","23","168"
"2020-08-31","12","1","8","19","161"
"2020-09-01","5","2","4","10","89"
"2020-09-02","3","1","4","15","72"
"2020-09-03","6","1","4","5","45"
"2020-09-04","2","-2","5","2","19"
"2020-09-05","8","2","12","14","133"
"2020-09-06","11","6","12","23","238"
"2020-09-07","-1","2","2","7","33"
